,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:41.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by K. Walker),,2,0
1,1,11:24.0,,K. Love makes 2-pt layup at rim (assist by L. James),2,2
2,1,11:09.0,K. Walker misses 3-pt jump shot from 26 ft,,2,2
3,1,11:06.0,,Defensive rebound by J. Crowder,2,2
4,1,10:59.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),2,5
5,1,10:36.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by D. Howard),,4,5
6,1,10:20.0,,J. Smith makes 2-pt layup from 1 ft (assist by L. James),4,7
7,1,10:14.0,Charlotte full timeout,,4,7
8,1,10:09.0,Personal foul by K. Love (drawn by D. Howard),,4,7
9,1,10:03.0,Turnover by J. Lamb (bad pass; steal by J. Smith),,4,7
10,1,9:57.0,,K. Love misses 3-pt jump shot from 23 ft,4,7
11,1,9:54.0,Defensive rebound by M. Williams,,4,7
12,1,9:47.0,K. Walker makes 2-pt jump shot from 11 ft,,6,7
13,1,9:29.0,,J. Crowder misses 3-pt jump shot from 25 ft,6,7
14,1,9:26.0,Defensive rebound by J. Lamb,,6,7
15,1,9:15.0,M. Williams misses 3-pt jump shot from 22 ft,,6,7
16,1,9:11.0,,Defensive rebound by J. Calderón,6,7
17,1,9:07.0,,L. James misses 2-pt jump shot from 10 ft,6,7
18,1,9:06.0,,Offensive rebound by Team,6,7
19,1,9:06.0,Loose ball foul by M. Kidd-Gilchrist (drawn by L. James),,6,7
20,1,8:58.0,,J. Crowder misses 3-pt jump shot from 23 ft,6,7
21,1,8:54.0,Defensive rebound by K. Walker,,6,7
22,1,8:49.0,Offensive foul by D. Howard (drawn by J. Crowder),,6,7
23,1,8:49.0,Turnover by D. Howard (offensive foul),,6,7
24,1,8:34.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by L. James),6,10
25,1,8:11.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Lamb),,9,10
26,1,7:49.0,,Turnover by J. Smith (bad pass),9,10
27,1,7:40.0,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,,9,10
28,1,7:37.0,,Defensive rebound by J. Calderón,9,10
29,1,7:33.0,,L. James misses 3-pt jump shot from 25 ft,9,10
30,1,7:29.0,Defensive rebound by D. Howard,,9,10
31,1,7:22.0,M. Williams misses 2-pt layup from 2 ft,,9,10
32,1,7:20.0,,Defensive rebound by K. Love,9,10
33,1,7:10.0,,Personal foul by M. Williams (drawn by K. Love),9,10
34,1,6:56.0,,J. Smith misses 3-pt jump shot from 23 ft,9,10
35,1,6:54.0,Defensive rebound by M. Kidd-Gilchrist,,9,10
36,1,6:46.0,Turnover by J. Lamb (bad pass; steal by J. Smith),,9,10
37,1,6:42.0,,Turnover by J. Crowder (bad pass; steal by J. Lamb),9,10
38,1,6:41.0,Shooting foul by J. Crowder (drawn by J. Lamb),,9,10
39,1,6:41.0,J. Lamb makes free throw 1 of 2,,10,10
40,1,6:41.0,J. Lamb makes free throw 2 of 2,,11,10
41,1,6:22.0,,J. Crowder makes 2-pt jump shot from 23 ft (assist by J. Smith),11,12
42,1,6:04.0,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,,11,12
43,1,6:02.0,,Defensive rebound by K. Love,11,12
44,1,5:56.0,,L. James misses 2-pt layup at rim,11,12
45,1,5:50.0,,Offensive rebound by L. James,11,12
46,1,5:47.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by L. James),11,14
47,1,5:33.0,D. Howard makes 2-pt dunk from 1 ft (assist by M. Kidd-Gilchrist),,13,14
48,1,5:11.0,,Turnover by J. Calderón (bad pass; steal by D. Howard),13,14
49,1,5:01.0,M. Williams misses 2-pt jump shot from 10 ft,,13,14
50,1,4:58.0,Offensive rebound by D. Howard,,13,14
51,1,4:56.0,D. Howard makes 2-pt layup from 1 ft,,15,14
