,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
377,4,4:55.0,,M. Chalmers misses 3-pt jump shot from 25 ft,105,98
378,4,4:53.0,Defensive rebound by Team,,105,98
379,4,4:53.0,Indiana full timeout,,105,98
380,4,4:39.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by M. Turner),,108,98
381,4,4:20.0,,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Chalmers),108,101
382,4,4:03.0,V. Oladipo makes 3-pt jump shot from 25 ft,,111,101
383,4,3:52.0,,M. Chalmers makes 2-pt layup from 1 ft,111,103
384,4,3:32.0,Shooting foul by M. Gasol (drawn by T. Young),,111,103
385,4,3:32.0,T. Young makes free throw 1 of 2,,112,103
386,4,3:32.0,T. Young misses free throw 2 of 2,,112,103
387,4,3:32.0,,Defensive rebound by M. Gasol,112,103
388,4,3:32.0,,Memphis full timeout,112,103
389,4,3:16.0,,C. Parsons makes 3-pt jump shot from 27 ft (assist by M. Gasol),112,106
390,4,2:53.0,T. Young misses 2-pt dunk from 1 ft (block by B. Wright),,112,106
391,4,2:49.0,,Defensive rebound by T. Evans,112,106
392,4,2:47.0,,T. Evans makes 2-pt layup from 1 ft,112,108
393,4,2:30.0,Turnover by V. Oladipo (bad pass; steal by B. Wright),,112,108
394,4,2:14.0,,C. Parsons misses 3-pt jump shot from 23 ft,112,108
395,4,2:10.0,Defensive rebound by V. Oladipo,,112,108
396,4,1:51.0,D. Collison makes 2-pt jump shot from 15 ft,,114,108
397,4,1:51.0,,Memphis full timeout,114,108
398,4,1:41.0,,M. Chalmers misses 3-pt jump shot from 25 ft,114,108
399,4,1:39.0,,Offensive rebound by M. Gasol,114,108
400,4,1:37.0,,T. Evans misses 3-pt jump shot from 25 ft,114,108
401,4,1:35.0,,Offensive rebound by C. Parsons,114,108
402,4,1:22.0,,M. Chalmers makes 2-pt jump shot from 10 ft,114,110
403,4,1:04.0,V. Oladipo misses 3-pt jump shot from 26 ft,,114,110
404,4,1:01.0,,Defensive rebound by M. Chalmers,114,110
405,4,0:43.0,,B. Wright misses 2-pt dunk from 1 ft (block by M. Turner),114,110
406,4,0:39.0,,Offensive rebound by T. Evans,114,110
407,4,0:38.0,,T. Evans misses 2-pt layup at rim,114,110
408,4,0:34.0,Defensive rebound by M. Turner,,114,110
409,4,0:24.0,Personal foul by B. Wright (drawn by V. Oladipo),,114,110
410,4,0:24.0,Indiana full timeout,,114,110
411,4,0:24.0,C. Joseph enters the game for T. Young,,114,110
412,4,0:24.0,,B. McLemore enters the game for C. Parsons,114,110
413,4,0:22.0,Personal take foul by B. Wright (drawn by V. Oladipo),,114,110
414,4,0:22.0,V. Oladipo makes free throw 1 of 2,,115,110
415,4,0:22.0,,C. Parsons enters the game for B. McLemore,115,110
416,4,0:22.0,T. Young enters the game for B. Bogdanović,,115,110
417,4,0:22.0,V. Oladipo makes free throw 2 of 2,,116,110
418,4,0:22.0,,Memphis full timeout,116,110
419,4,0:22.0,,B. McLemore enters the game for B. Wright,116,110
420,4,0:22.0,B. Bogdanović enters the game for T. Young,,116,110
421,4,0:15.0,,M. Gasol misses 3-pt jump shot from 25 ft,116,110
422,4,0:13.0,,Offensive rebound by M. Gasol,116,110
423,4,0:12.0,,M. Gasol makes 2-pt jump shot from 10 ft,116,112
424,4,0:12.0,,Shooting foul by V. Oladipo (drawn by M. Gasol),116,112
425,4,0:12.0,,B. Wright enters the game for C. Parsons,116,112
426,4,0:12.0,T. Young enters the game for B. Bogdanović,,116,112
427,4,0:12.0,,M. Gasol makes free throw 1 of 1,116,113
428,4,0:12.0,Indiana full timeout,,116,113
429,4,0:12.0,B. Bogdanović enters the game for T. Young,,116,113
430,4,0:09.0,Turnover by B. Bogdanović (out of bounds lost ball),,116,113
