,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
112,2,9:33.0,L. Stephenson makes 2-pt jump shot from 18 ft (assist by D. Sabonis),,39,29
113,2,9:15.0,,C. Parsons makes 3-pt jump shot from 25 ft,39,32
114,2,9:06.0,D. Collison makes 2-pt layup at rim,,41,32
115,2,8:42.0,,T. Evans makes 2-pt jump shot from 22 ft,41,34
116,2,8:23.0,D. Collison makes 2-pt layup from 2 ft,,43,34
117,2,8:23.0,Shooting foul by M. Chalmers (drawn by C. Joseph),,43,34
118,2,8:23.0,,J. Green enters the game for B. McLemore,43,34
119,2,8:23.0,,D. Brooks enters the game for C. Parsons,43,34
120,2,8:23.0,T. Young enters the game for T. Leaf,,43,34
121,2,8:23.0,C. Joseph misses free throw 1 of 1,,43,34
122,2,8:18.0,,Defensive rebound by B. Wright,43,34
123,2,8:12.0,,Turnover by T. Evans (bad pass; steal by C. Joseph),43,34
124,2,8:04.0,D. Collison makes 2-pt layup from 1 ft (assist by C. Joseph),,45,34
125,2,7:58.0,,M. Chalmers makes 2-pt layup from 1 ft,45,36
126,2,7:46.0,D. Sabonis misses 2-pt layup from 2 ft,,45,36
127,2,7:44.0,,Defensive rebound by J. Green,45,36
128,2,7:43.0,,Turnover by T. Evans (step out of bounds),45,36
129,2,7:30.0,C. Joseph makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,48,36
130,2,7:13.0,,T. Evans misses 3-pt jump shot from 22 ft,48,36
131,2,7:12.0,Defensive rebound by L. Stephenson,,48,36
132,2,7:06.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by L. Stephenson),,50,36
133,2,6:56.0,,Memphis full timeout,50,36
134,2,6:56.0,,J. Ennis enters the game for T. Evans,50,36
135,2,6:38.0,,J. Green makes 2-pt layup at rim (assist by M. Chalmers),50,38
136,2,6:38.0,,Shooting foul by D. Sabonis (drawn by J. Green),50,38
137,2,6:38.0,,J. Green makes free throw 1 of 1,50,39
138,2,6:26.0,D. Collison misses 2-pt jump shot from 19 ft,,50,39
139,2,6:25.0,Offensive rebound by Team,,50,39
140,2,6:25.0,Personal foul by D. Brooks (drawn by D. Collison),,50,39
141,2,6:25.0,,M. Gasol enters the game for B. Wright,50,39
142,2,6:17.0,D. Sabonis misses 2-pt jump shot from 18 ft,,50,39
143,2,6:15.0,,Defensive rebound by D. Brooks,50,39
144,2,6:09.0,,M. Gasol misses 2-pt jump shot from 13 ft,50,39
145,2,6:06.0,Defensive rebound by T. Young,,50,39
146,2,5:52.0,D. Sabonis makes 2-pt jump shot from 11 ft (assist by L. Stephenson),,52,39
147,2,5:33.0,,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),52,41
148,2,5:25.0,Personal foul by M. Chalmers (drawn by D. Collison),,52,41
149,2,5:25.0,V. Oladipo enters the game for C. Joseph,,52,41
150,2,5:25.0,M. Turner enters the game for D. Sabonis,,52,41
151,2,5:11.0,D. Collison makes 2-pt jump shot from 20 ft,,54,41
152,2,4:56.0,,Turnover by D. Brooks (traveling),54,41
153,2,4:41.0,M. Turner misses 2-pt layup from 1 ft (block by M. Gasol),,54,41
154,2,4:38.0,,Defensive rebound by J. Ennis,54,41
155,2,4:35.0,,J. Green makes 2-pt layup from 1 ft (assist by J. Ennis),54,43
156,2,4:28.0,Personal foul by J. Green (drawn by M. Turner),,54,43
157,2,4:28.0,,T. Evans enters the game for M. Chalmers,54,43
158,2,4:28.0,B. Bogdanović enters the game for L. Stephenson,,54,43
159,2,4:18.0,V. Oladipo misses 3-pt jump shot from 22 ft,,54,43
160,2,4:15.0,,Defensive rebound by M. Gasol,54,43
161,2,4:09.0,,M. Gasol misses 3-pt jump shot from 25 ft,54,43
162,2,3:59.0,Defensive rebound by T. Young,,54,43
163,2,3:57.0,T. Young misses 3-pt jump shot from 25 ft,,54,43
164,2,3:57.0,,Defensive rebound by Team,54,43
165,2,3:57.0,,C. Parsons enters the game for J. Green,54,43
166,2,3:36.0,,M. Gasol makes 2-pt hook shot from 9 ft (assist by D. Brooks),54,45
167,2,3:23.0,Personal foul by D. Brooks (drawn by M. Turner),,54,45
168,2,3:23.0,M. Turner makes free throw 1 of 2,,55,45
169,2,3:23.0,M. Turner makes free throw 2 of 2,,56,45
170,2,3:13.0,,Turnover by C. Parsons (traveling),56,45
171,2,2:56.0,V. Oladipo makes 2-pt dunk at rim (assist by M. Turner),,58,45
172,2,2:33.0,,J. Ennis misses 3-pt jump shot from 24 ft,58,45
173,2,2:31.0,Defensive rebound by B. Bogdanović,,58,45
174,2,2:25.0,Personal foul by T. Evans (drawn by D. Collison),,58,45
175,2,2:25.0,Indiana full timeout,,58,45
176,2,2:25.0,D. Collison makes free throw 1 of 2,,59,45
177,2,2:25.0,D. Collison makes free throw 2 of 2,,60,45
178,2,2:07.0,,Turnover by M. Gasol (lost ball; steal by V. Oladipo),60,45
179,2,1:55.0,M. Turner misses 2-pt layup from 1 ft (block by M. Gasol),,60,45
180,2,1:52.0,,Defensive rebound by M. Gasol,60,45
181,2,1:49.0,,D. Brooks misses 2-pt layup at rim,60,45
182,2,1:44.0,,Offensive rebound by D. Brooks,60,45
183,2,1:44.0,,D. Brooks makes 2-pt layup at rim,60,47
184,2,1:21.0,Personal foul by J. Ennis (drawn by D. Collison),,60,47
185,2,1:21.0,D. Collison makes free throw 1 of 2,,61,47
186,2,1:21.0,,M. Chalmers enters the game for J. Ennis,61,47
187,2,1:21.0,D. Collison makes free throw 2 of 2,,62,47
188,2,1:06.0,,Shooting foul by M. Turner (drawn by M. Gasol),62,47
189,2,1:06.0,,M. Gasol makes free throw 1 of 2,62,48
190,2,1:06.0,D. Sabonis enters the game for M. Turner,,62,48
191,2,1:06.0,,M. Gasol makes free throw 2 of 2,62,49
192,2,0:53.0,,Violation by D. Brooks (kicked ball),62,49
193,2,0:49.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,65,49
194,2,0:37.0,,M. Gasol makes 2-pt layup from 1 ft (assist by T. Evans),65,51
195,2,0:28.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,65,51
196,2,0:25.0,,Defensive rebound by M. Chalmers,65,51
197,2,0:04.0,,Shooting foul by D. Sabonis (drawn by T. Evans),65,51
198,2,0:04.0,,T. Evans makes free throw 1 of 2,65,52
199,2,0:04.0,,T. Evans makes free throw 2 of 2,65,53
200,2,0:01.0,V. Oladipo makes 2-pt jump shot from 21 ft,,67,53
201,3,11:42.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,69,53
202,3,11:18.0,,J. Green makes 3-pt jump shot from 24 ft (assist by M. Gasol),69,56
203,3,11:03.0,V. Oladipo misses 2-pt jump shot from 20 ft,,69,56
204,3,11:03.0,,Defensive rebound by M. Gasol,69,56
205,3,10:56.0,,D. Brooks makes 2-pt layup at rim (assist by M. Chalmers),69,58
206,3,10:56.0,,Shooting foul by D. Collison (drawn by D. Brooks),69,58
207,3,10:56.0,,D. Brooks makes free throw 1 of 1,69,59
208,3,10:34.0,V. Oladipo makes 2-pt layup at rim,,71,59
209,3,10:29.0,,D. Brooks makes 2-pt jump shot at rim,71,61
210,3,10:29.0,,Shooting foul by T. Young (drawn by D. Brooks),71,61
211,3,10:29.0,,D. Brooks misses free throw 1 of 1,71,61
212,3,10:25.0,Defensive rebound by T. Young,,71,61
213,3,10:17.0,T. Young misses 2-pt jump shot from 1 ft (block by M. Gasol),,71,61
214,3,10:13.0,,Defensive rebound by M. Gasol,71,61
215,3,10:07.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Chalmers),71,64
216,3,10:05.0,Indiana full timeout,,71,64
217,3,9:57.0,M. Turner misses 3-pt jump shot from 26 ft,,71,64
218,3,9:53.0,,Defensive rebound by D. Brooks,71,64
219,3,9:38.0,,D. Brooks misses 3-pt jump shot from 25 ft,71,64
220,3,9:34.0,Defensive rebound by B. Bogdanović,,71,64
221,3,9:23.0,V. Oladipo makes 2-pt jump shot from 22 ft (assist by D. Collison),,73,64
222,3,9:02.0,,M. Gasol misses 2-pt jump shot from 9 ft,73,64
223,3,8:58.0,,Offensive rebound by D. Brooks,73,64
224,3,8:55.0,,Offensive foul by D. Brooks (drawn by V. Oladipo),73,64
225,3,8:55.0,,Turnover by D. Brooks (offensive foul),73,64
226,3,8:38.0,Personal block foul by J. Green (drawn by V. Oladipo),,73,64
227,3,8:38.0,,Turnover by J. Green (turnover),73,64
228,3,8:29.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,76,64
229,3,8:12.0,,Shooting foul by T. Young (drawn by M. Gasol),76,64
230,3,8:12.0,,M. Gasol makes free throw 1 of 2,76,65
231,3,8:12.0,,M. Gasol makes free throw 2 of 2,76,66
232,3,7:58.0,M. Turner makes 2-pt jump shot from 15 ft (assist by V. Oladipo),,78,66
233,3,7:35.0,,M. Gasol misses 2-pt jump shot from 1 ft (block by M. Turner),78,66
234,3,7:31.0,Defensive rebound by V. Oladipo,,78,66
235,3,7:28.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),,81,66
236,3,7:28.0,,Memphis full timeout,81,66
237,3,7:28.0,,T. Evans enters the game for J. Ennis,81,66
238,3,7:05.0,,Turnover by J. Green (lost ball; steal by T. Young),81,66
239,3,6:49.0,D. Collison misses 3-pt jump shot from 23 ft,,81,66
240,3,6:47.0,Offensive rebound by T. Young,,81,66
241,3,6:45.0,Turnover by T. Young (lost ball; steal by T. Evans),,81,66
242,3,6:38.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Evans),81,69
243,3,6:17.0,V. Oladipo misses 2-pt jump shot from 21 ft,,81,69
244,3,6:15.0,,Defensive rebound by M. Chalmers,81,69
245,3,6:12.0,,T. Evans misses 2-pt layup from 2 ft (block by V. Oladipo),81,69
246,3,6:06.0,Defensive rebound by D. Collison,,81,69
247,3,6:05.0,Shooting foul by J. Green (drawn by D. Collison),,81,69
248,3,6:05.0,D. Collison makes free throw 1 of 2,,82,69
249,3,6:05.0,,C. Parsons enters the game for J. Green,82,69
250,3,6:05.0,,W. Selden enters the game for M. Chalmers,82,69
251,3,6:05.0,D. Collison makes free throw 2 of 2,,83,69
252,3,5:45.0,,C. Parsons makes 2-pt jump shot from 18 ft (assist by M. Gasol),83,71
253,3,5:26.0,Turnover by T. Young (lost ball; steal by D. Brooks),,83,71
254,3,5:12.0,,T. Evans misses 2-pt layup from 1 ft,83,71
255,3,5:10.0,,Offensive rebound by T. Evans,83,71
256,3,5:08.0,,T. Evans misses 2-pt layup at rim (block by M. Turner),83,71
257,3,5:05.0,Defensive rebound by B. Bogdanović,,83,71
258,3,4:57.0,T. Young makes 2-pt layup from 3 ft,,85,71
259,3,4:49.0,,Shooting foul by T. Young (drawn by M. Gasol),85,71
260,3,4:49.0,,M. Gasol misses free throw 1 of 2,85,71
