,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:44.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by O. Porter),,3,0
1,1,11:24.0,,K. Bazemore misses 3-pt jump shot from 25 ft,3,0
2,1,11:21.0,Defensive rebound by M. Gortat,,3,0
3,1,11:03.0,M. Gortat makes 2-pt hook shot from 12 ft (assist by T. Satoranský),,5,0
4,1,10:49.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Bazemore),5,3
5,1,10:32.0,B. Beal misses 2-pt layup from 1 ft,,5,3
6,1,10:30.0,,Defensive rebound by T. Prince,5,3
7,1,10:23.0,,M. Plumlee misses 2-pt layup from 5 ft (block by O. Porter),5,3
8,1,10:23.0,Defensive rebound by Team,,5,3
9,1,10:06.0,M. Morris makes 2-pt jump shot from 16 ft (assist by T. Satoranský),,7,3
10,1,9:48.0,,E. İlyasova misses 3-pt jump shot from 22 ft,7,3
11,1,9:45.0,Defensive rebound by O. Porter,,7,3
12,1,9:36.0,M. Morris misses 2-pt jump shot from 10 ft,,7,3
13,1,9:31.0,Offensive rebound by M. Gortat,,7,3
14,1,9:31.0,M. Gortat makes 2-pt layup at rim,,9,3
15,1,9:10.0,,K. Bazemore misses 3-pt jump shot from 24 ft,9,3
16,1,9:08.0,Defensive rebound by Team,,9,3
17,1,8:56.0,B. Beal misses 2-pt jump shot from 20 ft,,9,3
18,1,8:54.0,,Defensive rebound by Team,9,3
19,1,8:37.0,,Shooting foul by M. Morris (drawn by D. Schröder),9,3
20,1,8:37.0,,D. Schröder makes free throw 1 of 2,9,4
21,1,8:37.0,,D. Schröder makes free throw 2 of 2,9,5
22,1,8:29.0,B. Beal makes 2-pt jump shot from 20 ft (assist by T. Satoranský),,11,5
23,1,8:04.0,,D. Schröder makes 2-pt layup from 1 ft,11,7
24,1,7:47.0,O. Porter misses 3-pt jump shot from 25 ft,,11,7
25,1,7:43.0,,Defensive rebound by M. Plumlee,11,7
26,1,7:32.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by D. Schröder),11,9
27,1,7:11.0,M. Morris misses 2-pt jump shot from 16 ft,,11,9
28,1,7:11.0,Offensive rebound by Team,,11,9
29,1,7:08.0,M. Morris makes 2-pt jump shot from 16 ft (assist by O. Porter),,13,9
30,1,6:50.0,,D. Schröder misses 3-pt jump shot from 22 ft,13,9
31,1,6:46.0,,Offensive rebound by Team,13,9
32,1,6:46.0,,Atlanta full timeout,13,9
33,1,6:46.0,,M. Belinelli enters the game for T. Prince,13,9
34,1,6:46.0,,D. Dedmon enters the game for M. Plumlee,13,9
35,1,6:33.0,,Turnover by K. Bazemore (bad pass; steal by M. Gortat),13,9
36,1,6:26.0,,Violation by D. Dedmon (kicked ball),13,9
37,1,6:14.0,O. Porter misses 2-pt jump shot from 6 ft,,13,9
38,1,6:11.0,,Defensive rebound by D. Dedmon,13,9
39,1,6:06.0,,D. Schröder misses 3-pt jump shot from 25 ft,13,9
40,1,6:03.0,Defensive rebound by M. Morris,,13,9
41,1,6:01.0,Turnover by M. Morris (bad pass),,13,9
42,1,5:47.0,,K. Bazemore misses 2-pt layup from 3 ft,13,9
43,1,5:47.0,,Offensive rebound by Team,13,9
44,1,5:40.0,,K. Bazemore misses 3-pt jump shot from 24 ft,13,9
45,1,5:35.0,Defensive rebound by M. Morris,,13,9
46,1,5:30.0,B. Beal misses 2-pt layup from 1 ft (block by E. İlyasova),,13,9
47,1,5:30.0,,Defensive rebound by Team,13,9
48,1,5:20.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. Schröder),13,12
49,1,5:09.0,Offensive foul by O. Porter (drawn by M. Belinelli),,13,12
