,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:47.0,D. Favors misses 2-pt jump shot from 6 ft,,0,0
1,1,11:46.0,Offensive rebound by R. Gobert,,0,0
2,1,11:36.0,R. Rubio misses 2-pt layup from 1 ft,,0,0
3,1,11:35.0,,Defensive rebound by K. Towns,0,0
4,1,11:29.0,,J. Butler misses 3-pt jump shot from 23 ft,0,0
5,1,11:28.0,,Offensive rebound by A. Wiggins,0,0
6,1,11:26.0,,A. Wiggins misses 2-pt layup at rim,0,0
7,1,11:26.0,Defensive rebound by R. Gobert,,0,0
8,1,11:16.0,Turnover by R. Rubio (bad pass; steal by K. Towns),,0,0
9,1,11:11.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),0,2
10,1,10:56.0,J. Ingles misses 2-pt layup at rim (block by K. Towns),,0,2
11,1,10:56.0,,Defensive rebound by K. Towns,0,2
12,1,10:42.0,,K. Towns makes 2-pt jump shot from 14 ft,0,4
13,1,10:42.0,R. Hood misses 3-pt jump shot from 24 ft,,0,4
14,1,10:41.0,Offensive rebound by R. Gobert,,0,4
15,1,10:32.0,R. Gobert misses 2-pt hook shot from 4 ft,,0,4
16,1,10:31.0,Offensive rebound by R. Gobert,,0,4
17,1,10:27.0,J. Ingles misses 2-pt layup from 1 ft,,0,4
18,1,10:26.0,,Defensive rebound by J. Teague,0,4
19,1,10:10.0,,A. Wiggins misses 3-pt jump shot from 26 ft,0,4
20,1,10:09.0,Defensive rebound by D. Favors,,0,4
21,1,9:56.0,D. Favors makes 2-pt dunk from 3 ft (assist by R. Rubio),,2,4
22,1,9:43.0,,Turnover by J. Teague (bad pass; steal by R. Gobert),2,4
23,1,9:39.0,R. Rubio misses 3-pt jump shot from 25 ft,,2,4
24,1,9:38.0,,Defensive rebound by J. Butler,2,4
25,1,9:24.0,,T. Gibson misses 2-pt layup from 10 ft,2,4
26,1,9:24.0,Defensive rebound by R. Gobert,,2,4
27,1,9:24.0,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),,4,4
28,1,8:43.0,,J. Teague misses 2-pt jump shot from 19 ft,4,4
29,1,8:40.0,,Offensive rebound by T. Gibson,4,4
30,1,8:40.0,,Turnover by T. Gibson (traveling),4,4
31,1,8:22.0,R. Gobert makes 2-pt layup at rim (assist by R. Hood),,6,4
32,1,8:12.0,,A. Wiggins misses 3-pt jump shot from 26 ft,6,4
33,1,8:07.0,Defensive rebound by R. Gobert,,6,4
34,1,8:07.0,Personal foul by K. Towns (drawn by R. Gobert),,6,4
35,1,7:47.0,R. Gobert makes 2-pt layup from 1 ft (assist by D. Favors),,8,4
36,1,7:29.0,,K. Towns misses 2-pt jump shot from 15 ft,8,4
37,1,7:26.0,Defensive rebound by R. Rubio,,8,4
38,1,7:06.0,R. Rubio misses 2-pt jump shot from 17 ft,,8,4
39,1,7:00.0,,Defensive rebound by K. Towns,8,4
40,1,6:52.0,,A. Wiggins makes 2-pt dunk at rim (assist by J. Butler),8,6
41,1,6:28.0,D. Favors misses 2-pt layup from 2 ft,,8,6
42,1,6:25.0,,Defensive rebound by K. Towns,8,6
43,1,6:24.0,,Personal foul by J. Ingles (drawn by A. Wiggins),8,6
44,1,6:24.0,,Minnesota full timeout,8,6
45,1,6:24.0,J. Johnson enters the game for D. Favors,,8,6
46,1,6:24.0,D. Mitchell enters the game for R. Hood,,8,6
47,1,6:11.0,,K. Towns misses 3-pt jump shot from 26 ft,8,6
48,1,6:09.0,,Offensive rebound by Team,8,6
49,1,5:49.0,,J. Butler makes 2-pt jump shot from 10 ft,8,8
50,1,5:43.0,D. Mitchell makes 2-pt jump shot from 5 ft,,10,8
51,1,5:43.0,Shooting foul by K. Towns (drawn by D. Mitchell),,10,8
52,1,5:43.0,,G. Dieng enters the game for K. Towns,10,8
53,1,5:43.0,D. Mitchell misses free throw 1 of 1,,10,8
54,1,5:39.0,,Defensive rebound by T. Gibson,10,8
55,1,5:35.0,,Shooting foul by D. Mitchell (drawn by A. Wiggins),10,8
56,1,5:35.0,,A. Wiggins makes free throw 1 of 2,10,9
57,1,5:35.0,,A. Wiggins makes free throw 2 of 2,10,10
58,1,5:26.0,D. Mitchell misses 2-pt jump shot from 10 ft,,10,10
59,1,5:22.0,,Defensive rebound by J. Teague,10,10
60,1,5:08.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),10,12
61,1,4:51.0,J. Johnson misses 3-pt jump shot from 23 ft,,10,12
62,1,4:45.0,,Defensive rebound by J. Butler,10,12
63,1,4:36.0,,J. Teague misses 3-pt jump shot from 26 ft,10,12
64,1,4:31.0,Defensive rebound by J. Johnson,,10,12
65,1,4:20.0,R. Rubio makes 2-pt layup from 1 ft,,12,12
66,1,4:10.0,,J. Teague misses 2-pt layup from 1 ft,12,12
67,1,4:02.0,,Offensive rebound by A. Wiggins,12,12
68,1,4:02.0,,A. Wiggins makes 2-pt layup at rim,12,14
69,1,3:49.0,J. Johnson misses 2-pt jump shot from 13 ft,,12,14
70,1,3:44.0,,Defensive rebound by T. Gibson,12,14
71,1,3:34.0,,J. Teague misses 3-pt jump shot from 25 ft,12,14
72,1,3:30.0,Defensive rebound by R. Gobert,,12,14
73,1,3:22.0,Turnover by D. Mitchell (bad pass; steal by T. Gibson),,12,14
