,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:40.0,E. Turner makes 2-pt jump shot from 12 ft,,2,0
1,1,11:27.0,,R. Lopez misses 2-pt hook shot from 6 ft (block by J. Nurkić),2,0
2,1,11:23.0,Defensive rebound by S. Napier,,2,0
3,1,11:19.0,S. Napier makes 2-pt layup from 1 ft (assist by E. Turner),,4,0
4,1,11:07.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by K. Dunn),4,2
5,1,10:50.0,C. McCollum misses 2-pt jump shot from 17 ft,,4,2
6,1,10:48.0,,Defensive rebound by J. Holiday,4,2
7,1,10:42.0,,K. Dunn misses 2-pt jump shot from 10 ft,4,2
8,1,10:38.0,Defensive rebound by E. Turner,,4,2
9,1,10:29.0,E. Turner makes 2-pt jump shot from 18 ft,,6,2
10,1,10:12.0,,K. Dunn makes 2-pt layup from 1 ft,6,4
11,1,9:57.0,A. Aminu misses 2-pt layup from 2 ft (block by L. Markkanen),,6,4
12,1,9:55.0,,Defensive rebound by K. Dunn,6,4
13,1,9:52.0,,Offensive foul by K. Dunn (drawn by S. Napier),6,4
14,1,9:52.0,,Turnover by K. Dunn (offensive foul),6,4
15,1,9:41.0,C. McCollum misses 2-pt jump shot from 20 ft,,6,4
16,1,9:37.0,,Defensive rebound by K. Dunn,6,4
17,1,9:29.0,,D. Valentine misses 3-pt jump shot from 25 ft,6,4
18,1,9:25.0,Defensive rebound by A. Aminu,,6,4
19,1,9:15.0,E. Turner misses 3-pt jump shot from 22 ft,,6,4
20,1,9:12.0,,Defensive rebound by L. Markkanen,6,4
21,1,9:04.0,,K. Dunn misses 2-pt jump shot from 9 ft,6,4
22,1,9:00.0,Defensive rebound by C. McCollum,,6,4
23,1,8:54.0,A. Aminu makes 2-pt jump shot from 18 ft (assist by S. Napier),,8,4
24,1,8:39.0,,Turnover by R. Lopez (bad pass; steal by J. Nurkić),8,4
25,1,8:33.0,E. Turner makes 2-pt jump shot from 19 ft (assist by C. McCollum),,10,4
26,1,8:33.0,,Chicago full timeout,10,4
27,1,8:11.0,,K. Dunn misses 2-pt jump shot from 14 ft,10,4
28,1,8:11.0,,Offensive rebound by R. Lopez,10,4
29,1,8:05.0,,R. Lopez makes 2-pt layup at rim,10,6
30,1,7:54.0,C. McCollum misses 2-pt layup from 1 ft (block by R. Lopez),,10,6
31,1,7:49.0,,Defensive rebound by K. Dunn,10,6
32,1,7:40.0,,J. Holiday misses 2-pt jump shot from 14 ft,10,6
33,1,7:37.0,,Offensive rebound by R. Lopez,10,6
34,1,7:35.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Lopez),10,9
35,1,7:20.0,J. Nurkić makes 2-pt jump shot from 20 ft,,12,9
36,1,6:56.0,,K. Dunn makes 2-pt jump shot from 17 ft (assist by R. Lopez),12,11
37,1,6:42.0,S. Napier misses 2-pt jump shot from 6 ft,,12,11
38,1,6:38.0,,Defensive rebound by D. Valentine,12,11
39,1,6:31.0,,R. Lopez misses 2-pt jump shot from 18 ft,12,11
40,1,6:28.0,Defensive rebound by J. Nurkić,,12,11
41,1,6:21.0,E. Turner makes 2-pt jump shot from 14 ft,,14,11
42,1,5:57.0,,R. Lopez makes 2-pt jump shot from 16 ft (assist by J. Holiday),14,13
43,1,5:39.0,E. Turner makes 2-pt layup at rim,,16,13
44,1,5:25.0,,Turnover by K. Dunn (bad pass; steal by J. Nurkić),16,13
45,1,5:14.0,A. Aminu makes 2-pt jump shot from 6 ft,,18,13
46,1,5:04.0,,Offensive foul by K. Dunn (drawn by S. Napier),18,13
47,1,5:04.0,,Turnover by K. Dunn (offensive foul),18,13
48,1,5:04.0,,J. Grant enters the game for K. Dunn,18,13
49,1,5:04.0,,D. Nwaba enters the game for D. Valentine,18,13
50,1,5:04.0,P. Connaughton enters the game for S. Napier,,18,13
51,1,4:55.0,P. Connaughton makes 2-pt layup from 1 ft (assist by C. McCollum),,20,13
52,1,4:43.0,,J. Grant misses 2-pt jump shot from 18 ft,20,13
53,1,4:40.0,Defensive rebound by E. Turner,,20,13
54,1,4:15.0,P. Connaughton makes 3-pt jump shot from 24 ft (assist by E. Turner),,23,13
55,1,4:09.0,,J. Holiday makes 2-pt jump shot from 17 ft,23,15
56,1,3:55.0,A. Aminu misses 3-pt jump shot from 25 ft,,23,15
57,1,3:55.0,,Defensive rebound by D. Nwaba,23,15
58,1,3:49.0,,R. Lopez makes 2-pt jump shot from 16 ft (assist by J. Grant),23,17
59,1,3:28.0,P. Connaughton misses 2-pt layup from 2 ft (block by R. Lopez),,23,17
60,1,3:28.0,Offensive rebound by A. Aminu,,23,17
61,1,3:28.0,A. Aminu makes 2-pt layup from 1 ft,,25,17
62,1,3:28.0,Shooting foul by L. Markkanen (drawn by A. Aminu),,25,17
63,1,3:28.0,,N. Mirotić enters the game for L. Markkanen,25,17
64,1,3:28.0,A. Aminu makes free throw 1 of 1,,26,17
65,1,3:28.0,E. Davis enters the game for J. Nurkić,,26,17
66,1,3:14.0,,J. Holiday misses 3-pt jump shot from 25 ft,26,17
67,1,3:13.0,Z. Collins enters the game for A. Aminu,,26,17
68,1,3:13.0,Offensive rebound by Team,,26,17
69,1,2:56.0,C. McCollum misses 3-pt jump shot from 23 ft,,26,17
70,1,2:56.0,,Defensive rebound by N. Mirotić,26,17
71,1,2:51.0,,N. Mirotić makes 2-pt jump shot from 21 ft (assist by J. Holiday),26,19
72,1,2:38.0,Z. Collins misses 3-pt jump shot from 25 ft,,26,19
73,1,2:35.0,,Defensive rebound by D. Nwaba,26,19
74,1,2:30.0,,N. Mirotić misses 3-pt jump shot from 25 ft,26,19
75,1,2:30.0,Defensive rebound by C. McCollum,,26,19
76,1,2:19.0,C. McCollum misses 2-pt layup from 1 ft,,26,19
77,1,2:19.0,Offensive rebound by E. Davis,,26,19
78,1,2:17.0,Portland full timeout,,26,19
79,1,2:17.0,,B. Portis enters the game for R. Lopez,26,19
80,1,2:07.0,Z. Collins makes 2-pt layup from 4 ft (assist by C. McCollum),,28,19
81,1,1:48.0,,J. Holiday misses 2-pt jump shot from 6 ft,28,19
82,1,1:47.0,Defensive rebound by E. Davis,,28,19
83,1,1:33.0,E. Turner misses 2-pt jump shot from 11 ft,,28,19
84,1,1:33.0,,Defensive rebound by J. Grant,28,19
85,1,1:13.0,,B. Portis makes 2-pt layup from 1 ft,28,21
86,1,0:56.0,Shooting foul by J. Grant (drawn by P. Connaughton),,28,21
87,1,0:56.0,P. Connaughton makes free throw 1 of 3,,29,21
88,1,0:56.0,P. Connaughton makes free throw 2 of 3,,30,21
89,1,0:56.0,,P. Zipser enters the game for J. Holiday,30,21
90,1,0:56.0,S. Napier enters the game for E. Turner,,30,21
91,1,0:56.0,M. Harkless enters the game for C. McCollum,,30,21
92,1,0:56.0,P. Connaughton makes free throw 3 of 3,,31,21
93,1,0:40.0,,Personal foul by Z. Collins (drawn by N. Mirotić),31,21
94,1,0:32.0,,Offensive foul by B. Portis (drawn by S. Napier),31,21
95,1,0:32.0,,Turnover by B. Portis (offensive foul),31,21
96,1,0:07.0,Turnover by P. Connaughton (bad pass; steal by N. Mirotić),,31,21
97,1,0:05.0,,D. Nwaba makes 2-pt dunk at rim,31,23
98,1,0:00.0,S. Napier misses 2-pt jump shot from 7 ft,,31,23
99,1,0:00.0,Offensive rebound by Team,,31,23
100,2,11:53.0,,D. Nwaba misses 2-pt layup from 1 ft (block by E. Davis),31,23
101,2,11:52.0,,Offensive rebound by B. Portis,31,23
102,2,11:51.0,,B. Portis misses 2-pt layup from 1 ft,31,23
103,2,11:50.0,,Offensive rebound by B. Portis,31,23
104,2,11:41.0,,B. Portis makes 2-pt layup at rim,31,25
105,2,11:41.0,Offensive foul by M. Harkless (drawn by J. Grant),,31,25
106,2,11:41.0,Turnover by M. Harkless (offensive foul),,31,25
107,2,11:33.0,,B. Portis makes 2-pt jump shot from 20 ft (assist by N. Mirotić),31,27
108,2,11:09.0,E. Davis makes 2-pt dunk at rim (assist by S. Napier),,33,27
109,2,10:53.0,,N. Mirotić makes 2-pt jump shot from 9 ft (assist by B. Portis),33,29
110,2,10:38.0,Z. Collins makes 2-pt layup from 1 ft (assist by S. Napier),,35,29
111,2,10:22.0,,J. Grant misses 2-pt jump shot from 13 ft,35,29
112,2,10:20.0,Defensive rebound by P. Connaughton,,35,29
113,2,10:09.0,M. Harkless misses 3-pt jump shot from 23 ft,,35,29
114,2,10:05.0,,Defensive rebound by N. Mirotić,35,29
115,2,9:57.0,,N. Mirotić misses 2-pt jump shot from 23 ft,35,29
116,2,9:55.0,Defensive rebound by E. Davis,,35,29
117,2,9:41.0,Z. Collins misses 3-pt jump shot from 22 ft,,35,29
118,2,9:38.0,Offensive rebound by E. Davis,,35,29
119,2,9:36.0,E. Davis misses 2-pt hook shot from 12 ft,,35,29
120,2,9:36.0,Offensive rebound by E. Davis,,35,29
121,2,9:24.0,Shooting foul by D. Nwaba (drawn by S. Napier),,35,29
122,2,9:24.0,S. Napier makes free throw 1 of 2,,36,29
123,2,9:24.0,,D. Valentine enters the game for D. Nwaba,36,29
124,2,9:24.0,S. Napier makes free throw 2 of 2,,37,29
