,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:46.0,Personal foul by J. Jackson (drawn by A. Davis),,0,0
1,1,11:38.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,0
2,1,11:36.0,,Defensive rebound by J. Jackson,0,0
3,1,11:13.0,,J. Jackson misses 3-pt jump shot from 26 ft,0,0
4,1,11:11.0,Defensive rebound by R. Rondo,,0,0
5,1,11:08.0,E. Moore misses 3-pt jump shot from 25 ft,,0,0
6,1,11:03.0,,Defensive rebound by D. Bender,0,0
7,1,10:47.0,,M. Chriss misses 2-pt jump shot from 5 ft,0,0
8,1,10:47.0,,Offensive rebound by M. Chriss,0,0
9,1,10:39.0,,D. House misses 3-pt jump shot from 23 ft,0,0
10,1,10:35.0,,Offensive rebound by M. Chriss,0,0
11,1,10:34.0,,M. Chriss makes 2-pt layup at rim,0,2
12,1,10:11.0,A. Davis makes 2-pt layup from 1 ft (assist by E. Moore),,2,2
13,1,9:54.0,,J. Jackson misses 2-pt layup from 1 ft,2,2
14,1,9:53.0,,Offensive rebound by J. Jackson,2,2
15,1,9:51.0,,J. Jackson misses 2-pt layup at rim,2,2
16,1,9:51.0,Defensive rebound by A. Davis,,2,2
17,1,9:51.0,Personal foul by M. Chriss (drawn by A. Davis),,2,2
18,1,9:41.0,A. Davis misses 2-pt layup from 1 ft (block by D. Bender),,2,2
19,1,9:41.0,Offensive rebound by Team,,2,2
20,1,9:33.0,A. Davis makes 3-pt jump shot from 24 ft (assist by J. Holiday),,5,2
21,1,9:18.0,,J. Jackson misses 2-pt jump shot from 18 ft,5,2
22,1,9:17.0,Defensive rebound by J. Holiday,,5,2
23,1,9:12.0,J. Holiday misses 2-pt jump shot from 9 ft,,5,2
24,1,9:08.0,,Defensive rebound by T. Ulis,5,2
25,1,9:01.0,,T. Ulis misses 2-pt jump shot from 14 ft,5,2
26,1,9:00.0,Defensive rebound by A. Davis,,5,2
27,1,8:45.0,R. Rondo misses 3-pt jump shot from 24 ft,,5,2
28,1,8:40.0,Offensive rebound by N. Mirotić,,5,2
29,1,8:39.0,N. Mirotić makes 3-pt jump shot from 25 ft,,8,2
30,1,8:15.0,,J. Jackson misses 3-pt jump shot from 25 ft,8,2
31,1,8:13.0,Defensive rebound by A. Davis,,8,2
32,1,8:06.0,A. Davis makes 2-pt jump shot from 13 ft,,10,2
33,1,7:55.0,,Phoenix full timeout,10,2
34,1,7:47.0,,M. Chriss makes 2-pt layup at rim (assist by T. Ulis),10,4
35,1,7:28.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),,13,4
36,1,7:15.0,,Turnover by D. House (bad pass),13,4
37,1,7:06.0,J. Holiday misses 2-pt layup at rim,,13,4
38,1,7:05.0,Offensive rebound by N. Mirotić,,13,4
39,1,7:04.0,N. Mirotić misses 2-pt layup from 2 ft,,13,4
40,1,7:03.0,Offensive rebound by N. Mirotić,,13,4
41,1,6:59.0,N. Mirotić misses 2-pt jump shot from 16 ft,,13,4
42,1,6:57.0,,Defensive rebound by D. Bender,13,4
43,1,6:50.0,,J. Jackson misses 2-pt layup at rim,13,4
44,1,6:45.0,Defensive rebound by N. Mirotić,,13,4
45,1,6:34.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by A. Davis),,16,4
46,1,6:21.0,,D. Bender misses 3-pt jump shot from 24 ft,16,4
47,1,6:18.0,Defensive rebound by A. Davis,,16,4
48,1,6:09.0,N. Mirotić makes 2-pt layup at rim,,18,4
49,1,5:51.0,,Personal foul by R. Rondo (drawn by J. Jackson),18,4
50,1,5:51.0,,A. Peters enters the game for D. Bender,18,4
51,1,5:51.0,,A. Len enters the game for M. Chriss,18,4
52,1,5:51.0,S. Hill enters the game for E. Moore,,18,4
53,1,5:51.0,D. Miller enters the game for R. Rondo,,18,4
54,1,5:37.0,,J. Jackson misses 2-pt jump shot from 21 ft,18,4
55,1,5:34.0,Defensive rebound by N. Mirotić,,18,4
56,1,5:30.0,N. Mirotić misses 3-pt jump shot from 26 ft,,18,4
57,1,5:28.0,Offensive rebound by A. Davis,,18,4
58,1,5:28.0,Shooting foul by A. Len (drawn by A. Davis),,18,4
59,1,5:28.0,A. Davis makes free throw 1 of 2,,19,4
60,1,5:28.0,A. Davis makes free throw 2 of 2,,20,4
61,1,5:14.0,,A. Len makes 2-pt layup from 1 ft,20,6
62,1,5:04.0,A. Davis makes 3-pt jump shot from 25 ft (assist by J. Holiday),,23,6
63,1,4:40.0,,D. House misses 2-pt layup at rim,23,6
64,1,4:39.0,Defensive rebound by A. Davis,,23,6
65,1,4:34.0,A. Davis misses 3-pt jump shot from 25 ft,,23,6
66,1,4:30.0,Offensive rebound by S. Hill,,23,6
67,1,4:30.0,Shooting foul by A. Peters (drawn by A. Davis),,23,6
68,1,4:30.0,A. Davis misses free throw 1 of 2,,23,6
69,1,4:30.0,Offensive rebound by Team,,23,6
70,1,4:30.0,,S. Harrison enters the game for D. House,23,6
71,1,4:30.0,A. Davis makes free throw 2 of 2,,24,6
72,1,4:15.0,,T. Ulis makes 2-pt jump shot from 9 ft,24,8
73,1,4:07.0,A. Davis misses 2-pt jump shot from 20 ft,,24,8
74,1,4:03.0,Offensive rebound by J. Holiday,,24,8
75,1,4:02.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by D. Miller),,27,8
76,1,3:48.0,,T. Ulis misses 2-pt jump shot from 18 ft,27,8
77,1,3:44.0,Defensive rebound by S. Hill,,27,8
78,1,3:37.0,N. Mirotić misses 3-pt jump shot from 24 ft,,27,8
