,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:35.0,,C. Payne misses 3-pt jump shot from 25 ft,0,0
1,1,11:31.0,Defensive rebound by O. Porter,,0,0
2,1,11:16.0,M. Morris makes 2-pt jump shot from 21 ft (assist by B. Beal),,2,0
3,1,10:50.0,,J. Holiday misses 2-pt layup from 1 ft (block by M. Gortat),2,0
4,1,10:47.0,Defensive rebound by T. Satoranský,,2,0
5,1,10:43.0,O. Porter makes 2-pt jump shot from 9 ft (assist by T. Satoranský),,4,0
6,1,10:31.0,,R. Lopez misses 2-pt hook shot from 11 ft,4,0
7,1,10:29.0,Defensive rebound by B. Beal,,4,0
8,1,10:21.0,O. Porter misses 3-pt jump shot from 25 ft,,4,0
9,1,10:15.0,,Defensive rebound by R. Lopez,4,0
10,1,10:06.0,,J. Holiday makes 2-pt dunk at rim (assist by R. Lopez),4,2
11,1,9:49.0,Turnover by B. Beal (lost ball; steal by D. Nwaba),,4,2
12,1,9:49.0,Loose ball foul by B. Beal (drawn by D. Nwaba),,4,2
13,1,9:38.0,,Turnover by C. Payne (bad pass),4,2
14,1,9:15.0,M. Morris makes 2-pt jump shot from 13 ft,,6,2
15,1,8:56.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by R. Lopez),6,5
16,1,8:31.0,M. Gortat misses 2-pt hook shot from 11 ft,,6,5
17,1,8:29.0,,Defensive rebound by L. Markkanen,6,5
18,1,8:19.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Holiday),6,8
19,1,8:02.0,B. Beal misses 3-pt jump shot from 25 ft,,6,8
20,1,7:58.0,,Defensive rebound by D. Nwaba,6,8
21,1,7:55.0,,D. Nwaba misses 2-pt layup from 6 ft,6,8
22,1,7:49.0,,Offensive rebound by D. Nwaba,6,8
23,1,7:49.0,,D. Nwaba makes 2-pt layup at rim,6,10
24,1,7:41.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by B. Beal),,8,10
25,1,7:24.0,,L. Markkanen misses 2-pt jump shot from 9 ft,8,10
26,1,7:21.0,Defensive rebound by T. Satoranský,,8,10
27,1,7:20.0,T. Satoranský makes 2-pt layup from 1 ft,,10,10
28,1,7:20.0,,Violation by L. Markkanen (def goaltending),10,10
29,1,7:06.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by C. Payne),10,13
30,1,6:45.0,B. Beal misses 2-pt layup from 1 ft,,10,13
31,1,6:42.0,,Defensive rebound by R. Lopez,10,13
32,1,6:36.0,,D. Nwaba makes 2-pt dunk at rim (assist by J. Holiday),10,15
33,1,6:35.0,Washington full timeout,,10,15
34,1,6:22.0,M. Gortat makes 2-pt jump shot from 7 ft (assist by B. Beal),,12,15
35,1,6:12.0,,Turnover by R. Lopez (traveling),12,15
36,1,5:49.0,B. Beal misses 2-pt jump shot from 5 ft (block by C. Payne),,12,15
37,1,5:45.0,Offensive rebound by O. Porter,,12,15
38,1,5:44.0,O. Porter makes 2-pt jump shot from 1 ft,,14,15
39,1,5:38.0,,R. Lopez makes 2-pt jump shot from 4 ft (assist by D. Nwaba),14,17
40,1,5:20.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,17,17
41,1,5:03.0,,J. Holiday makes 2-pt dunk at rim (assist by D. Nwaba),17,19
42,1,4:46.0,M. Morris misses 2-pt layup from 1 ft,,17,19
43,1,4:46.0,,Defensive rebound by R. Lopez,17,19
44,1,4:41.0,,J. Holiday misses 2-pt layup from 1 ft (block by T. Satoranský),17,19
45,1,4:38.0,Defensive rebound by M. Gortat,,17,19
46,1,4:32.0,T. Satoranský misses 3-pt jump shot from 22 ft,,17,19
47,1,4:28.0,,Defensive rebound by D. Nwaba,17,19
48,1,4:22.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by D. Nwaba),17,22
49,1,4:03.0,O. Porter misses 3-pt jump shot from 25 ft,,17,22
50,1,4:03.0,,Defensive rebound by R. Lopez,17,22
51,1,3:40.0,,Turnover by R. Lopez (lost ball; steal by O. Porter),17,22
52,1,3:36.0,T. Satoranský makes 2-pt layup at rim,,19,22
