,QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
0,1,11:49.0,Shooting foul by I. Rabb (drawn by A. Tolliver),,0,0
1,1,11:49.0,A. Tolliver misses free throw 1 of 2,,0,0
2,1,11:49.0,Offensive rebound by Team,,0,0
3,1,11:49.0,A. Tolliver makes free throw 2 of 2,,1,0
4,1,11:34.0,,M. Gasol misses 2-pt jump shot from 15 ft,1,0
5,1,11:29.0,Defensive rebound by S. Johnson,,1,0
6,1,11:23.0,Turnover by S. Johnson (bad pass; steal by M. Gasol),,1,0
7,1,11:18.0,,K. Simmons makes 2-pt layup at rim (assist by M. Gasol),1,2
8,1,11:12.0,L. Kennard misses 2-pt layup at rim,,1,2
9,1,11:08.0,,Defensive rebound by D. Brooks,1,2
10,1,11:07.0,,B. McLemore makes 2-pt layup from 1 ft (assist by D. Brooks),1,4
11,1,11:07.0,,Shooting foul by A. Tolliver (drawn by B. McLemore),1,4
12,1,11:07.0,,B. McLemore misses free throw 1 of 1,1,4
13,1,11:02.0,Defensive rebound by A. Drummond,,1,4
14,1,10:50.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by L. Kennard),,4,4
15,1,10:35.0,,K. Simmons makes 2-pt layup from 1 ft (assist by B. McLemore),4,6
16,1,10:20.0,R. Jackson misses 2-pt jump shot from 10 ft,,4,6
17,1,10:18.0,Offensive rebound by A. Drummond,,4,6
18,1,10:18.0,A. Drummond misses 2-pt layup at rim,,4,6
19,1,10:16.0,,Defensive rebound by I. Rabb,4,6
20,1,10:11.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by K. Simmons),4,9
21,1,10:04.0,Detroit full timeout,,4,9
22,1,9:54.0,L. Kennard misses 2-pt jump shot from 18 ft,,4,9
23,1,9:52.0,Offensive rebound by Team,,4,9
24,1,9:52.0,,Loose ball foul by M. Gasol (drawn by A. Drummond),4,9
25,1,9:44.0,Turnover by R. Jackson (bad pass; steal by B. McLemore),,4,9
26,1,9:38.0,,Turnover by K. Simmons (bad pass; steal by R. Jackson),4,9
27,1,9:33.0,Turnover by A. Tolliver (bad pass; steal by D. Brooks),,4,9
28,1,9:27.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Brooks),4,12
29,1,9:02.0,R. Jackson makes 3-pt jump shot from 25 ft,,7,12
30,1,8:47.0,,Personal foul by R. Jackson (drawn by M. Gasol),7,12
31,1,8:31.0,,D. Brooks misses 2-pt jump shot from 21 ft,7,12
32,1,8:28.0,Defensive rebound by L. Kennard,,7,12
33,1,8:11.0,L. Kennard makes 3-pt jump shot from 25 ft (assist by S. Johnson),,10,12
34,1,7:52.0,,M. Gasol misses 3-pt jump shot from 25 ft,10,12
