,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:38.0,,J. Henson misses 2-pt layup from 2 ft (block by R. Covington),0,0
1,1,11:34.0,Defensive rebound by J. Embiid,,0,0
2,1,11:21.0,J. Embiid makes 2-pt layup from 1 ft,,2,0
3,1,11:14.0,,Turnover by E. Bledsoe (bad pass; steal by R. Covington),2,0
4,1,11:09.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),,5,0
5,1,10:49.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,5,0
6,1,10:46.0,Defensive rebound by D. Šarić,,5,0
7,1,10:41.0,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),,7,0
8,1,10:30.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,7,0
9,1,10:28.0,Defensive rebound by J. Embiid,,7,0
10,1,10:23.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,10,0
11,1,10:22.0,,Milwaukee full timeout,10,0
12,1,10:04.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),10,2
13,1,9:52.0,D. Šarić makes 2-pt dunk from 1 ft (assist by B. Simmons),,12,2
14,1,9:30.0,,G. Antetokounmpo makes 2-pt jump shot from 12 ft,12,4
15,1,9:18.0,B. Simmons makes 2-pt jump shot from 14 ft (assist by J. Embiid),,14,4
16,1,9:12.0,,Personal foul by R. Covington (drawn by K. Middleton),14,4
17,1,9:04.0,,G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by K. Middleton),14,6
18,1,8:57.0,Turnover by J. Embiid (lost ball; steal by J. Henson),,14,6
19,1,8:53.0,,Shooting foul by J. Redick (drawn by E. Bledsoe),14,6
20,1,8:53.0,,E. Bledsoe makes free throw 1 of 2,14,7
21,1,8:53.0,,E. Bledsoe makes free throw 2 of 2,14,8
22,1,8:41.0,J. Embiid makes 2-pt layup from 1 ft (assist by R. Covington),,16,8
23,1,8:28.0,,E. Bledsoe makes 2-pt layup from 2 ft,16,10
24,1,8:12.0,Personal foul by J. Henson (drawn by J. Embiid),,16,10
25,1,8:12.0,,T. Zeller enters the game for J. Henson,16,10
26,1,8:07.0,Turnover by B. Simmons (bad pass; steal by G. Antetokounmpo),,16,10
27,1,7:58.0,,G. Antetokounmpo makes 2-pt hook shot from 3 ft,16,12
28,1,7:48.0,D. Šarić makes 2-pt jump shot from 11 ft,,18,12
29,1,7:33.0,,K. Middleton misses 3-pt jump shot from 26 ft,18,12
30,1,7:31.0,Defensive rebound by J. Embiid,,18,12
31,1,7:28.0,D. Šarić makes 2-pt layup from 1 ft (assist by B. Simmons),,20,12
32,1,7:28.0,Shooting foul by T. Snell (drawn by D. Šarić),,20,12
33,1,7:28.0,M. Belinelli enters the game for J. Redick,,20,12
34,1,7:28.0,D. Šarić makes free throw 1 of 1,,21,12
35,1,7:18.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,21,12
36,1,7:16.0,Defensive rebound by J. Embiid,,21,12
37,1,6:57.0,J. Embiid makes 2-pt jump shot from 12 ft,,23,12
38,1,6:34.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,23,12
39,1,6:32.0,Defensive rebound by R. Covington,,23,12
40,1,6:24.0,J. Embiid misses 3-pt jump shot from 27 ft,,23,12
41,1,6:20.0,,Defensive rebound by E. Bledsoe,23,12
42,1,6:18.0,,T. Zeller makes 2-pt dunk at rim (assist by E. Bledsoe),23,14
43,1,6:18.0,Philadelphia full timeout,,23,14
44,1,6:18.0,,J. Parker enters the game for T. Snell,23,14
45,1,6:18.0,A. Johnson enters the game for J. Embiid,,23,14
46,1,5:58.0,R. Covington misses 3-pt jump shot from 27 ft,,23,14
47,1,5:58.0,Offensive rebound by D. Šarić,,23,14
48,1,5:50.0,R. Covington makes 3-pt jump shot from 23 ft (assist by B. Simmons),,26,14
49,1,5:29.0,,T. Zeller misses 2-pt hook shot from 5 ft,26,14
50,1,5:26.0,Defensive rebound by D. Šarić,,26,14
51,1,5:18.0,Personal foul by K. Middleton (drawn by M. Belinelli),,26,14
52,1,5:18.0,T. McConnell enters the game for R. Covington,,26,14
53,1,5:07.0,M. Belinelli makes 2-pt jump shot from 15 ft (assist by A. Johnson),,28,14
54,1,5:00.0,,K. Middleton misses 2-pt layup from 2 ft (block by A. Johnson),28,14
55,1,5:00.0,Defensive rebound by Team,,28,14
56,1,5:00.0,,J. Terry enters the game for E. Bledsoe,28,14
57,1,4:42.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,31,14
58,1,4:30.0,,Personal foul by A. Johnson (drawn by T. Zeller),31,14
59,1,4:16.0,,T. Zeller misses 2-pt layup from 1 ft (block by D. Šarić),31,14
60,1,4:13.0,Defensive rebound by B. Simmons,,31,14
61,1,4:10.0,D. Šarić makes 2-pt layup at rim (assist by B. Simmons),,33,14
62,1,4:10.0,,Milwaukee full timeout,33,14
63,1,3:44.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by J. Terry),33,17
64,1,3:23.0,A. Johnson misses 2-pt hook shot from 3 ft (block by G. Antetokounmpo),,33,17
65,1,3:19.0,Offensive rebound by A. Johnson,,33,17
66,1,3:17.0,B. Simmons misses 2-pt layup from 1 ft (block by J. Terry),,33,17
67,1,3:14.0,Offensive rebound by B. Simmons,,33,17
68,1,3:12.0,B. Simmons makes 2-pt dunk from 1 ft,,35,17
69,1,2:56.0,,T. Zeller makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),35,19
70,1,2:50.0,Turnover by D. Šarić (traveling),,35,19
71,1,2:50.0,J. Redick enters the game for A. Johnson,,35,19
72,1,2:50.0,E. İlyasova enters the game for D. Šarić,,35,19
73,1,2:50.0,J. Embiid enters the game for B. Simmons,,35,19
74,1,2:36.0,,Turnover by K. Middleton (traveling),35,19
75,1,2:24.0,M. Belinelli misses 3-pt jump shot from 27 ft,,35,19
76,1,2:20.0,,Defensive rebound by G. Antetokounmpo,35,19
77,1,2:16.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by J. Parker),35,21
78,1,2:00.0,Shooting foul by T. Zeller (drawn by J. Embiid),,35,21
79,1,2:00.0,J. Embiid makes free throw 1 of 2,,36,21
80,1,2:00.0,J. Embiid makes free throw 2 of 2,,37,21
81,1,1:42.0,,K. Middleton misses 2-pt jump shot from 12 ft,37,21
82,1,1:42.0,Defensive rebound by Team,,37,21
83,1,1:42.0,,Loose ball foul by T. Zeller (drawn by E. İlyasova),37,21
84,1,1:42.0,E. İlyasova misses free throw 1 of 2,,37,21
85,1,1:42.0,Offensive rebound by Team,,37,21
86,1,1:42.0,E. İlyasova makes free throw 2 of 2,,38,21
87,1,1:23.0,,J. Parker misses 2-pt layup from 2 ft,38,21
88,1,1:21.0,Defensive rebound by E. İlyasova,,38,21
89,1,1:18.0,Shooting foul by J. Parker (drawn by J. Redick),,38,21
90,1,1:18.0,J. Redick makes free throw 1 of 3,,39,21
91,1,1:18.0,J. Redick makes free throw 2 of 3,,40,21
92,1,1:18.0,,E. Bledsoe enters the game for G. Antetokounmpo,40,21
93,1,1:18.0,J. Redick makes free throw 3 of 3,,41,21
94,1,0:56.0,,E. Bledsoe makes 2-pt jump shot from 19 ft (assist by K. Middleton),41,23
95,1,0:46.0,Offensive foul by J. Embiid (drawn by K. Middleton),,41,23
96,1,0:46.0,Turnover by J. Embiid (offensive foul),,41,23
97,1,0:46.0,A. Johnson enters the game for J. Embiid,,41,23
98,1,0:36.0,,J. Parker misses 2-pt jump shot from 14 ft,41,23
99,1,0:34.0,,Offensive rebound by T. Zeller,41,23
100,1,0:31.0,,J. Terry makes 3-pt jump shot from 22 ft (assist by K. Middleton),41,26
101,1,0:25.0,Turnover by E. İlyasova (bad pass; steal by J. Parker),,41,26
102,1,0:23.0,,K. Middleton makes 2-pt dunk from 1 ft,41,28
103,1,0:03.0,T. McConnell makes 2-pt layup from 1 ft,,43,28
104,1,0:00.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by J. Terry),43,31
