,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,J. Lamb makes 2-pt layup from 5 ft,0,2
1,1,11:29.0,D. Schröder makes 2-pt jump shot from 15 ft (assist by D. Dedmon),,2,2
2,1,11:13.0,Offensive charge foul by D. Howard (drawn by E. İlyasova),,2,2
3,1,11:13.0,,Turnover by D. Howard (offensive foul),2,2
4,1,10:59.0,T. Prince misses 2-pt layup from 2 ft,,2,2
5,1,10:59.0,,Defensive rebound by M. Williams,2,2
6,1,10:45.0,,J. Lamb misses 2-pt jump shot from 3 ft,2,2
7,1,10:45.0,Defensive rebound by D. Dedmon,,2,2
8,1,10:43.0,,M. Williams misses 2-pt jump shot from 17 ft,2,2
9,1,10:43.0,Defensive rebound by T. Prince,,2,2
10,1,10:32.0,D. Dedmon makes 2-pt jump shot from 21 ft (assist by D. Schröder),,4,2
11,1,10:05.0,,J. Lamb misses 3-pt jump shot from 27 ft,9,12
12,1,10:01.0,Defensive rebound by E. İlyasova,,9,12
13,1,9:53.0,D. Dedmon misses 2-pt layup from 1 ft,,9,12
14,1,9:50.0,,Defensive rebound by D. Bacon,9,12
15,1,9:42.0,,D. Howard makes 2-pt layup from 2 ft (assist by K. Walker),4,4
16,1,9:17.0,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),,7,4
17,1,9:11.0,,Personal foul by D. Dedmon (drawn by D. Howard),7,4
18,1,9:10.0,,Personal foul by D. Dedmon (drawn by D. Howard),7,4
19,1,9:03.0,,Turnover by K. Walker (lost ball; steal by D. Dedmon),7,4
20,1,8:58.0,K. Bazemore makes 2-pt dunk from 1 ft (assist by D. Schröder),,9,4
21,1,8:45.0,,D. Bacon misses 3-pt jump shot from 25 ft,9,4
22,1,8:42.0,,Offensive rebound by M. Williams,9,4
23,1,8:41.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),9,7
24,1,8:21.0,T. Prince misses 2-pt jump shot from 5 ft (block by J. Lamb),,9,7
25,1,8:21.0,Offensive rebound by Team,,9,7
26,1,8:19.0,D. Schröder misses 2-pt jump shot from 14 ft,,9,7
27,1,8:19.0,Offensive rebound by Team,,9,7
28,1,8:18.0,Personal foul by D. Bacon (drawn by E. İlyasova),,9,7
29,1,8:18.0,J. Collins enters the game for D. Dedmon,,9,7
30,1,8:07.0,T. Prince misses 3-pt jump shot from 25 ft,,9,7
31,1,8:07.0,,Defensive rebound by M. Williams,9,7
32,1,7:56.0,,M. Williams misses 3-pt jump shot from 26 ft,9,7
33,1,7:56.0,Defensive rebound by T. Prince,,9,7
34,1,7:42.0,K. Bazemore misses 2-pt jump shot from 17 ft,,9,7
35,1,7:42.0,,Defensive rebound by D. Howard,9,7
36,1,7:33.0,,K. Walker makes 3-pt jump shot from 26 ft,9,10
37,1,7:15.0,T. Prince misses 3-pt jump shot from 23 ft,,9,10
38,1,7:15.0,,Defensive rebound by D. Bacon,9,10
39,1,7:09.0,,Turnover by D. Bacon (traveling),9,10
40,1,7:09.0,Atlanta full timeout,,9,10
41,1,7:09.0,M. Belinelli enters the game for K. Bazemore,,9,10
42,1,6:59.0,M. Belinelli misses 2-pt jump shot from 17 ft,,9,10
43,1,6:55.0,,Defensive rebound by D. Howard,9,10
44,1,6:43.0,,D. Howard makes 2-pt layup from 2 ft (assist by K. Walker),9,12
45,1,6:43.0,,Shooting foul by D. Schröder (drawn by D. Howard),9,12
46,1,6:43.0,,D. Howard misses free throw 1 of 1,9,12
47,1,6:41.0,Defensive rebound by J. Collins,,9,12
48,1,6:29.0,Shooting foul by K. Walker (drawn by M. Belinelli),,9,12
49,1,6:29.0,M. Belinelli makes free throw 1 of 2,,10,12
50,1,6:29.0,M. Belinelli makes free throw 2 of 2,,11,12
51,1,6:12.0,,J. Lamb misses 2-pt layup from 1 ft (block by J. Collins),11,12
52,1,6:02.0,Defensive rebound by E. İlyasova,,11,12
53,1,6:00.0,T. Prince makes 2-pt layup from 1 ft,,13,12
54,1,5:50.0,,Turnover by D. Bacon (bad pass),13,12
55,1,5:41.0,D. Schröder makes 2-pt jump shot from 8 ft,,15,12
56,1,5:28.0,,Turnover by J. Lamb (lost ball; steal by E. İlyasova),15,12
57,1,5:23.0,T. Prince makes 2-pt layup at rim (assist by E. İlyasova),,17,12
58,1,5:01.0,,Turnover by D. Howard (traveling),17,12
59,1,5:01.0,M. Delaney enters the game for D. Schröder,,17,12
60,1,4:49.0,Turnover by M. Belinelli (lost ball; steal by D. Bacon),,17,12
61,1,4:45.0,,D. Bacon misses 2-pt layup from 1 ft (block by J. Collins),17,12
62,1,4:45.0,,Offensive rebound by Team,17,12
63,1,4:45.0,,F. Kaminsky enters the game for M. Williams,17,12
64,1,4:45.0,,M. Monk enters the game for D. Bacon,17,12
65,1,4:45.0,M. Muscala enters the game for E. İlyasova,,17,12
66,1,4:40.0,,D. Howard makes 2-pt dunk at rim (assist by J. Lamb),17,14
67,1,4:29.0,M. Belinelli misses 2-pt jump shot from 7 ft,,17,14
68,1,4:22.0,,Defensive rebound by M. Monk,17,14
69,1,4:12.0,,Turnover by F. Kaminsky (bad pass; steal by J. Collins),17,14
70,1,3:59.0,M. Delaney misses 2-pt jump shot from 19 ft,,17,14
71,1,3:57.0,,Defensive rebound by F. Kaminsky,17,14
72,1,3:52.0,,Personal foul by M. Muscala (drawn by F. Kaminsky),17,14
73,1,3:39.0,Personal foul by D. Howard (drawn by M. Belinelli),,17,14
74,1,3:39.0,,J. O'Bryant enters the game for D. Howard,17,14
75,1,3:39.0,,J. Stone enters the game for K. Walker,17,14
76,1,3:38.0,,M. Monk misses 3-pt jump shot from 22 ft,17,14
77,1,3:38.0,,Offensive rebound by Team,17,14
78,1,3:24.0,J. Collins makes 2-pt layup from 1 ft (assist by M. Delaney),,19,14
79,1,3:12.0,,J. O'Bryant makes 2-pt jump shot from 12 ft (assist by J. Stone),19,16
80,1,3:01.0,M. Muscala misses 3-pt jump shot from 26 ft,,19,16
81,1,3:01.0,,Defensive rebound by J. Lamb,19,16
