,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:40.0,,J. Harden misses 2-pt jump shot from 11 ft,0,0
1,1,11:36.0,,Offensive rebound by C. Capela,0,0
2,1,11:34.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by C. Capela),0,3
3,1,11:17.0,M. Gasol misses 2-pt hook shot from 1 ft,,0,3
4,1,11:15.0,,Defensive rebound by C. Capela,0,3
5,1,11:00.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ariza),0,6
6,1,10:32.0,Turnover by Team (shot clock),,0,6
7,1,10:16.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),0,9
8,1,10:08.0,Memphis full timeout,,0,9
9,1,9:53.0,M. Gasol makes 2-pt layup from 1 ft,,2,9
10,1,9:44.0,,J. Harden makes 2-pt jump shot from 13 ft,2,11
11,1,9:22.0,M. Conley misses 2-pt layup at rim,,2,11
12,1,9:20.0,,Defensive rebound by C. Capela,2,11
13,1,9:12.0,,J. Harden misses 2-pt jump shot from 8 ft (block by D. Brooks),2,11
14,1,9:02.0,Defensive rebound by D. Brooks,,2,11
15,1,9:00.0,M. Conley misses 3-pt jump shot from 25 ft,,2,11
16,1,9:00.0,Offensive rebound by D. Brooks,,2,11
17,1,9:00.0,Offensive foul by J. Martin (drawn by E. Gordon),,2,11
18,1,9:00.0,Turnover by J. Martin (offensive foul),,2,11
19,1,8:37.0,,J. Harden misses 2-pt jump shot from 13 ft,2,11
20,1,8:34.0,Defensive rebound by M. Gasol,,2,11
21,1,8:26.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by M. Gasol),,5,11
22,1,8:11.0,,Turnover by E. Gordon (traveling),5,11
23,1,8:01.0,D. Brooks misses 3-pt jump shot from 23 ft,,5,11
24,1,7:59.0,,Defensive rebound by T. Ariza,5,11
25,1,7:49.0,,R. Anderson misses 3-pt jump shot from 25 ft,5,11
26,1,7:45.0,Defensive rebound by M. Gasol,,5,11
27,1,7:39.0,M. Conley misses 2-pt layup at rim (block by C. Capela),,5,11
28,1,7:36.0,,Defensive rebound by R. Anderson,5,11
29,1,7:33.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Harden),5,14
30,1,7:10.0,M. Gasol makes 2-pt hook shot from 6 ft (assist by M. Conley),,7,14
31,1,6:56.0,,Shooting foul by J. Ennis (drawn by E. Gordon),7,14
32,1,6:56.0,,E. Gordon makes free throw 1 of 2,7,15
33,1,6:56.0,,P. Tucker enters the game for R. Anderson,7,15
34,1,6:56.0,,E. Gordon makes free throw 2 of 2,7,16
35,1,6:42.0,J. Martin makes 2-pt dunk at rim (assist by M. Conley),,9,16
36,1,6:34.0,,P. Tucker makes 2-pt layup from 1 ft,9,18
