,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:42.0,M. Gortat misses 2-pt layup from 2 ft (block by R. Lopez),,0,0
1,1,11:38.0,,Defensive rebound by D. Valentine,0,0
2,1,11:21.0,,D. Valentine misses 2-pt jump shot from 5 ft (block by K. Oubre),0,0
3,1,11:17.0,,Offensive rebound by D. Valentine,0,0
4,1,11:16.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by D. Valentine),0,2
5,1,10:57.0,T. Satoranský misses 2-pt jump shot from 16 ft,,0,2
6,1,10:54.0,,Defensive rebound by D. Valentine,0,2
7,1,10:47.0,,D. Valentine misses 2-pt jump shot from 18 ft,0,2
8,1,10:45.0,Defensive rebound by M. Gortat,,0,2
9,1,10:32.0,M. Gortat makes 2-pt layup from 2 ft (assist by B. Beal),,2,2
10,1,10:19.0,,J. Holiday misses 3-pt jump shot from 24 ft,2,2
11,1,10:16.0,Defensive rebound by K. Oubre,,2,2
12,1,10:06.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by K. Oubre),,5,2
13,1,9:48.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,2
14,1,9:45.0,Defensive rebound by O. Porter,,5,2
15,1,9:40.0,Shooting foul by J. Holiday (drawn by O. Porter),,5,2
16,1,9:40.0,O. Porter makes free throw 1 of 2,,6,2
17,1,9:40.0,O. Porter makes free throw 2 of 2,,7,2
18,1,9:21.0,,R. Lopez misses 2-pt jump shot from 20 ft,7,2
19,1,9:17.0,Defensive rebound by O. Porter,,7,2
20,1,9:00.0,O. Porter misses 3-pt jump shot from 25 ft,,7,2
21,1,8:58.0,,Defensive rebound by D. Valentine,7,2
22,1,8:48.0,,Turnover by J. Grant (bad pass; steal by T. Satoranský),7,2
23,1,8:43.0,O. Porter makes 2-pt layup at rim (assist by T. Satoranský),,9,2
24,1,8:43.0,,Chicago full timeout,9,2
25,1,8:25.0,,Turnover by D. Valentine (bad pass; steal by T. Satoranský),9,2
