,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
2,1,11:26.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,0,0
3,1,11:23.0,Defensive rebound by J. Henson,,0,0
4,1,11:17.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by K. Middleton),,3,0
5,1,10:55.0,,J. Lamb misses 2-pt jump shot from 8 ft (block by G. Antetokounmpo),3,0
6,1,10:51.0,Defensive rebound by G. Antetokounmpo,,3,0
7,1,10:51.0,G. Antetokounmpo makes 2-pt layup at rim,,5,0
8,1,10:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,5,0
9,1,10:51.0,G. Antetokounmpo makes free throw 1 of 1,,6,0
10,1,10:40.0,,Def 3 sec tech foul by K. Middleton,6,0
11,1,10:40.0,,K. Walker makes technical free throw,6,1
12,1,10:28.0,,D. Howard makes 2-pt hook shot from 2 ft (assist by M. Kidd-Gilchrist),6,3
13,1,10:09.0,K. Middleton makes 2-pt jump shot from 12 ft,,8,3
14,1,9:57.0,,Personal foul by M. Brogdon (drawn by D. Howard),8,3
15,1,9:49.0,,M. Williams misses 3-pt jump shot from 29 ft,8,3
16,1,9:45.0,Defensive rebound by J. Henson,,8,3
17,1,9:33.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by J. Henson),,10,3
18,1,9:10.0,,K. Walker makes 2-pt layup from 1 ft,10,5
19,1,9:10.0,Violation by G. Antetokounmpo (def goaltending),,10,5
20,1,8:55.0,Turnover by J. Henson (traveling),,10,5
21,1,8:39.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),10,7
22,1,8:25.0,K. Middleton misses 3-pt jump shot from 24 ft,,10,7
23,1,8:23.0,Offensive rebound by G. Antetokounmpo,,10,7
24,1,8:21.0,G. Antetokounmpo makes 2-pt dunk at rim,,12,7
25,1,8:05.0,,J. Lamb makes 2-pt jump shot from 22 ft,12,9
26,1,7:48.0,M. Brogdon makes 2-pt jump shot from 6 ft (assist by J. Henson),,14,9
27,1,7:34.0,,Offensive foul by D. Howard (drawn by J. Henson),14,9
28,1,7:34.0,,Turnover by D. Howard (offensive foul),14,9
29,1,7:34.0,T. Maker enters the game for J. Henson,,14,9
30,1,7:22.0,M. Brogdon makes 2-pt jump shot from 12 ft,,16,9
31,1,7:04.0,,Shooting foul by T. Maker (drawn by D. Howard),16,9
32,1,7:04.0,,D. Howard misses free throw 1 of 2,16,9
33,1,7:04.0,,Offensive rebound by Team,16,9
34,1,7:04.0,,D. Howard misses free throw 2 of 2,16,9
35,1,6:59.0,Defensive rebound by G. Antetokounmpo,,16,9
36,1,6:54.0,T. Snell makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,19,9
37,1,6:47.0,,Charlotte full timeout,19,9
38,1,6:27.0,,Turnover by J. Lamb (bad pass; steal by G. Antetokounmpo),19,9
39,1,6:24.0,G. Antetokounmpo misses 2-pt layup at rim,,19,9
40,1,6:21.0,,Defensive rebound by D. Howard,19,9
41,1,6:13.0,,Personal foul by G. Antetokounmpo (drawn by M. Williams),19,9
42,1,6:05.0,,M. Williams makes 3-pt jump shot from 22 ft (assist by D. Howard),19,12
43,1,5:45.0,T. Maker misses 2-pt jump shot from 12 ft,,19,12
44,1,5:41.0,,Defensive rebound by D. Howard,19,12
45,1,5:29.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,19,12
46,1,5:26.0,Defensive rebound by G. Antetokounmpo,,19,12
47,1,5:23.0,,Offensive charge foul by G. Antetokounmpo (drawn by J. Lamb),19,12
48,1,5:23.0,Turnover by G. Antetokounmpo (offensive foul),,19,12
49,1,5:23.0,M. Teletović enters the game for G. Antetokounmpo,,19,12
50,1,5:02.0,,K. Walker makes 3-pt jump shot from 26 ft,19,15
51,1,4:47.0,T. Maker misses 3-pt jump shot from 25 ft,,19,15
52,1,4:39.0,,Defensive rebound by D. Howard,19,15
53,1,4:35.0,,Shooting foul by T. Maker (drawn by K. Walker),19,15
54,1,4:35.0,,K. Walker makes free throw 1 of 2,19,16
55,1,4:35.0,,D. Bacon enters the game for M. Kidd-Gilchrist,19,16
56,1,4:35.0,M. Dellavedova enters the game for M. Brogdon,,19,16
57,1,4:35.0,,K. Walker makes free throw 2 of 2,19,17
58,1,4:29.0,K. Middleton misses 2-pt layup from 3 ft (block by D. Bacon),,19,17
59,1,4:29.0,Offensive rebound by Team,,19,17
60,1,4:29.0,K. Middleton makes 2-pt jump shot from 3 ft (assist by M. Dellavedova),,21,17
61,1,4:21.0,,D. Howard misses 2-pt jump shot from 2 ft,21,17
62,1,4:18.0,Defensive rebound by M. Dellavedova,,21,17
63,1,4:12.0,K. Middleton misses 2-pt jump shot from 10 ft,,21,17
64,1,4:10.0,,Defensive rebound by M. Williams,21,17
65,1,4:02.0,,J. Lamb misses 2-pt layup from 2 ft,21,17
66,1,3:56.0,,Offensive rebound by D. Howard,21,17
67,1,3:56.0,,D. Howard makes 2-pt dunk at rim,21,19
68,1,3:41.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by K. Middleton),,24,19
69,1,3:22.0,,J. Lamb misses 3-pt jump shot from 28 ft,24,19
70,1,3:18.0,Defensive rebound by M. Teletović,,24,19
71,1,3:13.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,24,19
72,1,3:10.0,,Defensive rebound by D. Bacon,24,19
73,1,3:03.0,,D. Howard makes 2-pt layup at rim (assist by J. Lamb),24,21
74,1,2:52.0,K. Middleton makes 2-pt jump shot from 10 ft,,26,21
75,1,2:38.0,,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),26,23
76,1,2:38.0,Milwaukee full timeout,,26,23
77,1,2:38.0,,F. Kaminsky enters the game for M. Williams,26,23
78,1,2:38.0,,C. Zeller enters the game for D. Howard,26,23
79,1,2:38.0,,M. Monk enters the game for K. Walker,26,23
80,1,2:38.0,D. Liggins enters the game for T. Maker,,26,23
81,1,2:38.0,J. Henson enters the game for T. Snell,,26,23
82,1,2:20.0,K. Middleton makes 2-pt layup from 1 ft,,28,23
83,1,2:20.0,Shooting foul by M. Monk (drawn by K. Middleton),,28,23
84,1,2:20.0,K. Middleton makes free throw 1 of 1,,29,23
85,1,2:01.0,,C. Zeller misses 2-pt jump shot from 20 ft,29,23
86,1,1:58.0,Defensive rebound by M. Teletović,,29,23
87,1,1:37.0,M. Teletović makes 3-pt jump shot from 22 ft (assist by J. Henson),,32,23
88,1,1:10.0,,C. Zeller makes 2-pt layup from 1 ft (assist by F. Kaminsky),32,25
89,1,0:57.0,J. Henson misses 2-pt layup from 3 ft,,32,25
90,1,0:54.0,,Defensive rebound by C. Zeller,32,25
91,1,0:48.0,,J. Lamb misses 2-pt jump shot from 12 ft,32,25
92,1,0:44.0,Defensive rebound by J. Henson,,32,25
93,1,0:42.0,D. Liggins misses 2-pt layup from 1 ft,,32,25
94,1,0:40.0,,Defensive rebound by J. Lamb,32,25
95,1,0:30.0,,F. Kaminsky misses 2-pt layup from 2 ft,32,25
96,1,0:28.0,Defensive rebound by J. Henson,,32,25
97,1,0:15.0,K. Middleton misses 2-pt jump shot from 16 ft,,32,25
98,1,0:11.0,,Defensive rebound by J. Lamb,32,25
99,1,0:01.0,,M. Monk misses 3-pt jump shot from 26 ft,32,25
100,1,0:01.0,,Offensive rebound by Team,32,25
