,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
71,1,3:50.0,Defensive rebound by T. Harris,,19,15
72,1,3:43.0,D. Jordan makes 2-pt dunk at rim (assist by T. Harris),,21,15
73,1,3:29.0,,M. Morris misses 2-pt jump shot from 21 ft,21,15
74,1,3:26.0,Defensive rebound by T. Harris,,21,15
75,1,3:20.0,T. Harris misses 3-pt jump shot from 26 ft,,21,15
76,1,3:20.0,,Defensive rebound by A. Baynes,21,15
77,1,3:10.0,,K. Irving misses 2-pt jump shot from 9 ft,21,15
78,1,3:06.0,Defensive rebound by A. Rivers,,21,15
79,1,3:00.0,A. Rivers makes 2-pt jump shot from 11 ft,,23,15
80,1,2:42.0,,T. Rozier misses 3-pt jump shot from 24 ft,23,15
81,1,2:40.0,Defensive rebound by Team,,23,15
82,1,2:40.0,,D. Theis enters the game for A. Horford,23,15
83,1,2:40.0,,G. Monroe enters the game for A. Baynes,23,15
84,1,2:40.0,W. Johnson enters the game for D. Gallinari,,23,15
85,1,2:40.0,M. Teodosić enters the game for A. Rivers,,23,15
86,1,2:29.0,T. Harris makes 2-pt layup from 1 ft,,25,15
87,1,2:29.0,Shooting foul by D. Theis (drawn by T. Harris),,25,15
88,1,2:29.0,T. Harris makes free throw 1 of 1,,26,15
89,1,2:17.0,,K. Irving misses 2-pt jump shot from 18 ft,26,15
90,1,2:14.0,Defensive rebound by D. Jordan,,26,15
91,1,2:08.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,28,15
92,1,1:53.0,,G. Monroe makes 2-pt layup at rim (assist by M. Morris),28,17
93,1,1:45.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,30,17
94,1,1:45.0,Shooting foul by M. Morris (drawn by D. Jordan),,30,17
95,1,1:45.0,,J. Tatum enters the game for K. Irving,30,17
96,1,1:45.0,D. Jordan makes free throw 1 of 1,,31,17
97,1,1:30.0,,Shooting foul by D. Jordan (drawn by G. Monroe),31,17
98,1,1:30.0,,G. Monroe makes free throw 1 of 2,31,18
99,1,1:30.0,M. Harrell enters the game for D. Jordan,,31,18
100,1,1:30.0,,G. Monroe makes free throw 2 of 2,31,19
101,1,1:16.0,T. Harris misses 2-pt layup from 2 ft,,31,19
102,1,1:13.0,,Defensive rebound by G. Monroe,31,19
103,1,1:11.0,,T. Rozier makes 2-pt layup from 1 ft,31,21
104,1,0:59.0,L. Williams misses 2-pt layup from 1 ft (block by G. Monroe),,31,21
105,1,0:57.0,,Defensive rebound by T. Rozier,31,21
106,1,0:54.0,,J. Tatum misses 3-pt jump shot from 23 ft,31,21
107,1,0:54.0,Defensive rebound by W. Johnson,,31,21
108,1,0:42.0,Turnover by T. Harris (bad pass; steal by M. Morris),,31,21
109,1,0:38.0,,J. Tatum makes 2-pt layup at rim (assist by T. Rozier),31,23
110,1,0:18.0,M. Teodosić makes 3-pt jump shot from 26 ft (assist by L. Williams),,34,23
111,1,0:04.0,,T. Rozier misses 3-pt jump shot from 25 ft,34,23
112,1,0:01.0,,Offensive rebound by D. Theis,34,23
113,1,0:01.0,,Personal foul by L. Williams (drawn by D. Theis),34,23
114,1,0:01.0,,D. Theis makes free throw 1 of 2,34,24
115,1,0:01.0,,D. Theis makes free throw 2 of 2,34,25
116,1,0:01.0,L. Williams misses 3-pt jump shot from 48 ft,,34,25
117,1,0:01.0,Offensive rebound by Team,,34,25
118,2,11:40.0,,G. Monroe misses 2-pt hook shot from 6 ft,34,25
119,2,11:36.0,,Offensive rebound by D. Theis,34,25
120,2,11:35.0,,D. Theis misses 2-pt hook shot from 7 ft,34,25
121,2,11:35.0,Defensive rebound by D. Gallinari,,34,25
122,2,11:24.0,Shooting foul by G. Monroe (drawn by D. Gallinari),,34,25
123,2,11:24.0,D. Gallinari makes free throw 1 of 2,,35,25
124,2,11:24.0,,J. Brown enters the game for G. Monroe,35,25
125,2,11:24.0,D. Gallinari makes free throw 2 of 2,,36,25
126,2,11:10.0,,J. Tatum misses 2-pt layup from 2 ft (block by L. Williams),36,25
127,2,11:10.0,Defensive rebound by Team,,36,25
128,2,10:49.0,L. Williams misses 3-pt jump shot from 23 ft,,36,25
129,2,10:45.0,,Defensive rebound by M. Morris,36,25
130,2,10:24.0,,D. Theis misses 3-pt jump shot from 25 ft,36,25
131,2,10:21.0,Defensive rebound by L. Williams,,36,25
132,2,10:13.0,M. Teodosić misses 3-pt jump shot from 25 ft,,36,25
133,2,10:10.0,,Defensive rebound by D. Theis,36,25
134,2,10:02.0,,J. Brown misses 2-pt layup from 1 ft,36,25
135,2,10:02.0,,Offensive rebound by Team,36,25
136,2,9:51.0,,Personal foul by M. Teodosić (drawn by T. Rozier),36,25
137,2,9:45.0,,T. Rozier misses 2-pt layup from 6 ft (block by M. Harrell),36,25
138,2,9:45.0,,Offensive rebound by J. Brown,36,25
139,2,9:40.0,,J. Brown misses 2-pt jump shot from 15 ft,36,25
140,2,9:40.0,Defensive rebound by M. Harrell,,36,25
141,2,9:35.0,A. Bradley makes 2-pt layup from 2 ft (assist by M. Teodosić),,38,25
142,2,9:35.0,,Boston full timeout,38,25
143,2,9:24.0,,Shooting foul by M. Teodosić (drawn by J. Brown),38,25
144,2,9:24.0,,J. Brown makes free throw 1 of 2,38,26
145,2,9:24.0,,J. Brown makes free throw 2 of 2,38,27
146,2,9:12.0,M. Harrell misses 2-pt hook shot from 9 ft (block by D. Theis),,38,27
147,2,9:09.0,,Defensive rebound by M. Morris,38,27
148,2,9:00.0,,T. Rozier makes 2-pt jump shot from 15 ft,38,29
149,2,8:54.0,Turnover by M. Teodosić (bad pass),,38,29
150,2,8:47.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Rozier),38,32
151,2,8:29.0,Personal foul by J. Tatum (drawn by L. Williams),,38,32
152,2,8:22.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,40,32
153,2,8:22.0,Shooting foul by M. Morris (drawn by M. Harrell),,40,32
154,2,8:22.0,A. Rivers enters the game for M. Teodosić,,40,32
155,2,8:22.0,M. Harrell makes free throw 1 of 1,,41,32
156,2,8:07.0,,T. Rozier misses 3-pt jump shot from 24 ft,41,32
157,2,8:03.0,,Offensive rebound by D. Theis,41,32
158,2,8:01.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by D. Theis),41,35
159,2,7:48.0,L. Williams makes 2-pt jump shot from 8 ft (assist by M. Harrell),,43,35
160,2,7:31.0,,M. Morris misses 2-pt layup from 2 ft,43,35
161,2,7:30.0,Defensive rebound by A. Bradley,,43,35
162,2,7:28.0,M. Harrell makes 2-pt layup from 1 ft (assist by A. Bradley),,45,35
163,2,7:28.0,Shooting foul by D. Theis (drawn by M. Harrell),,45,35
164,2,7:28.0,,K. Irving enters the game for J. Tatum,45,35
165,2,7:28.0,,A. Horford enters the game for D. Theis,45,35
166,2,7:28.0,M. Harrell misses free throw 1 of 1,,45,35
167,2,7:28.0,,Defensive rebound by J. Brown,45,35
168,2,7:11.0,,M. Morris misses 2-pt layup from 1 ft (block by M. Harrell),45,35
169,2,7:09.0,Defensive rebound by A. Rivers,,45,35
170,2,7:03.0,D. Gallinari misses 2-pt layup from 2 ft (block by A. Horford),,45,35
171,2,6:58.0,,Defensive rebound by M. Morris,45,35
172,2,6:54.0,,A. Horford makes 2-pt dunk at rim (assist by T. Rozier),45,37
173,2,6:31.0,M. Harrell misses 2-pt jump shot from 6 ft,,45,37
174,2,6:29.0,,Defensive rebound by M. Morris,45,37
175,2,6:19.0,,K. Irving makes 2-pt jump shot from 11 ft,45,39
176,2,5:59.0,Turnover by A. Rivers (bad pass; steal by J. Brown),,45,39
177,2,5:54.0,,M. Morris misses 3-pt jump shot from 23 ft,45,39
178,2,5:51.0,Defensive rebound by D. Gallinari,,45,39
179,2,5:42.0,L. Williams misses 3-pt jump shot from 26 ft,,45,39
180,2,5:38.0,,Defensive rebound by A. Horford,45,39
181,2,5:33.0,,Personal foul by M. Harrell (drawn by A. Horford),45,39
182,2,5:33.0,T. Harris enters the game for M. Harrell,,45,39
183,2,5:33.0,D. Jordan enters the game for A. Bradley,,45,39
184,2,5:27.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by T. Rozier),45,41
185,2,5:17.0,LA Clippers full timeout,,45,41
186,2,5:17.0,,A. Baynes enters the game for M. Morris,45,41
187,2,5:03.0,D. Jordan makes 2-pt layup at rim (assist by D. Gallinari),,47,41
188,2,4:50.0,,Offensive foul by A. Baynes (drawn by A. Rivers),47,41
189,2,4:50.0,,Turnover by A. Baynes (offensive foul),47,41
190,2,4:50.0,M. Teodosić enters the game for L. Williams,,47,41
191,2,4:49.0,Personal take foul by A. Baynes (drawn by D. Jordan),,47,41
192,2,4:49.0,D. Jordan misses free throw 1 of 2,,47,41
193,2,4:49.0,Offensive rebound by Team,,47,41
194,2,4:49.0,D. Jordan makes free throw 2 of 2,,48,41
195,2,4:28.0,,A. Horford misses 2-pt jump shot from 13 ft,48,41
196,2,4:27.0,Defensive rebound by Team,,48,41
197,2,4:27.0,,Loose ball foul by A. Baynes (drawn by D. Gallinari),48,41
198,2,4:27.0,D. Gallinari makes free throw 1 of 2,,49,41
199,2,4:27.0,,M. Morris enters the game for A. Baynes,49,41
200,2,4:27.0,D. Gallinari makes free throw 2 of 2,,50,41
201,2,4:07.0,,K. Irving makes 2-pt jump shot from 21 ft,50,43
202,2,3:54.0,A. Rivers misses 3-pt jump shot from 25 ft,,50,43
203,2,3:52.0,,Defensive rebound by J. Brown,50,43
204,2,3:43.0,,J. Brown misses 3-pt jump shot from 24 ft,50,43
205,2,3:41.0,Defensive rebound by D. Jordan,,50,43
206,2,3:30.0,D. Gallinari makes 2-pt jump shot from 12 ft (assist by M. Teodosić),,52,43
207,2,3:09.0,,A. Horford misses 3-pt jump shot from 23 ft,52,43
208,2,3:07.0,Defensive rebound by D. Jordan,,52,43
209,2,2:59.0,A. Rivers makes 3-pt jump shot from 22 ft (assist by M. Teodosić),,55,43
210,2,2:47.0,,Personal foul by A. Rivers (drawn by K. Irving),55,43
211,2,2:47.0,,J. Tatum enters the game for T. Rozier,55,43
212,2,2:39.0,,Turnover by A. Horford (traveling),55,43
213,2,2:24.0,Shooting foul by M. Morris (drawn by D. Gallinari),,55,43
214,2,2:24.0,D. Gallinari makes free throw 1 of 2,,56,43
215,2,2:24.0,D. Gallinari makes free throw 2 of 2,,57,43
216,2,2:14.0,,K. Irving makes 2-pt jump shot from 7 ft,57,45
217,2,2:02.0,T. Harris makes 2-pt layup from 1 ft,,59,45
218,2,1:52.0,,K. Irving makes 2-pt jump shot from 14 ft,59,47
219,2,1:34.0,D. Gallinari misses 3-pt jump shot from 26 ft,,59,47
220,2,1:33.0,,Defensive rebound by J. Brown,59,47
221,2,1:27.0,,J. Brown makes 2-pt layup at rim,59,49
222,2,1:09.0,M. Teodosić makes 2-pt jump shot from 20 ft (assist by D. Jordan),,61,49
223,2,0:53.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Irving),61,51
224,2,0:40.0,M. Teodosić misses 2-pt layup from 2 ft,,61,51
225,2,0:35.0,,Defensive rebound by M. Morris,61,51
226,2,0:33.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Morris),61,54
227,2,0:10.0,D. Jordan misses 2-pt layup from 2 ft (block by A. Horford),,61,54
228,2,0:09.0,Offensive rebound by M. Teodosić,,61,54
229,2,0:09.0,M. Teodosić misses 2-pt jump shot from 12 ft,,61,54
230,2,0:08.0,Offensive rebound by Team,,61,54
231,2,0:08.0,Turnover by Team (shot clock),,61,54
232,2,0:08.0,,T. Rozier enters the game for A. Horford,61,54
233,2,0:08.0,A. Bradley enters the game for M. Teodosić,,61,54
234,2,0:08.0,W. Johnson enters the game for D. Gallinari,,61,54
235,2,0:01.0,,T. Rozier makes 3-pt jump shot from 25 ft,61,57
236,3,11:45.0,,A. Baynes misses 2-pt hook shot at rim,61,57
237,3,11:44.0,,Offensive rebound by A. Baynes,61,57
238,3,11:44.0,,A. Baynes makes 2-pt layup at rim,61,59
239,3,11:29.0,Turnover by A. Bradley (traveling),,61,59
240,3,11:16.0,,J. Brown makes 2-pt jump shot from 5 ft (assist by A. Baynes),61,61
241,3,11:01.0,A. Bradley makes 2-pt jump shot from 15 ft,,63,61
242,3,10:43.0,,A. Baynes makes 2-pt hook shot from 7 ft (assist by K. Irving),63,63
243,3,10:28.0,A. Bradley misses 2-pt jump shot from 16 ft,,63,63
244,3,10:25.0,,Defensive rebound by J. Tatum,63,63
245,3,10:22.0,,Shooting foul by T. Harris (drawn by K. Irving),63,63
246,3,10:22.0,,K. Irving makes free throw 1 of 2,63,64
247,3,10:22.0,,K. Irving makes free throw 2 of 2,63,65
248,3,10:03.0,A. Rivers misses 3-pt jump shot from 27 ft,,63,65
249,3,10:02.0,Offensive rebound by Team,,63,65
250,3,10:02.0,Personal foul by A. Baynes (drawn by D. Jordan),,63,65
