,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA LAKERS_ACTION,NEW YORK_SCORE,LA LAKERS_SCORE
0,1,11:45.0,Personal foul by J. Hart (drawn by T. Hardaway),,0,0
1,1,11:39.0,C. Lee misses 2-pt jump shot from 16 ft,,0,0
2,1,11:34.0,,Defensive rebound by J. Randle,0,0
3,1,11:31.0,,Personal foul by K. Porziņģis (drawn by B. Lopez),0,0
4,1,11:23.0,,J. Randle makes 2-pt dunk from 3 ft,0,2
5,1,11:18.0,Turnover by J. Jack (bad pass; steal by J. Randle),,0,2
6,1,11:15.0,,J. Randle makes 2-pt dunk from 3 ft,0,4
7,1,11:01.0,K. Porziņģis misses 2-pt jump shot from 1 ft,,0,4
8,1,11:01.0,,Defensive rebound by B. Lopez,0,4
9,1,10:54.0,,Turnover by J. Randle (bad pass),0,4
10,1,10:41.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Jack),,3,4
11,1,10:23.0,,B. Ingram misses 2-pt jump shot from 12 ft,3,4
12,1,10:19.0,Defensive rebound by E. Freedom,,3,4
13,1,10:14.0,J. Jack makes 2-pt jump shot from 15 ft,,5,4
14,1,10:00.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by B. Ingram),5,7
15,1,9:41.0,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by J. Jack),,7,7
16,1,9:26.0,,B. Ingram misses 2-pt layup from 4 ft (block by K. Porziņģis),7,7
17,1,9:26.0,Defensive rebound by K. Porziņģis,,7,7
18,1,9:16.0,Personal foul by B. Ingram (drawn by E. Freedom),,7,7
19,1,9:09.0,C. Lee misses 3-pt jump shot from 25 ft,,7,7
20,1,9:06.0,,Defensive rebound by B. Lopez,7,7
21,1,8:55.0,,T. Ennis misses 3-pt jump shot from 25 ft,7,7
22,1,8:53.0,Defensive rebound by E. Freedom,,7,7
23,1,8:45.0,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by C. Lee),,9,7
24,1,8:30.0,,J. Randle misses 2-pt jump shot from 19 ft,9,7
25,1,8:26.0,Defensive rebound by E. Freedom,,9,7
26,1,8:18.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,9,7
27,1,8:14.0,,Defensive rebound by B. Ingram,9,7
28,1,8:05.0,,Turnover by B. Ingram (lost ball; steal by J. Jack),9,7
29,1,8:00.0,C. Lee makes 2-pt hook shot from 3 ft (assist by J. Jack),,11,7
30,1,8:00.0,,LA Lakers full timeout,11,7
31,1,7:43.0,,Shooting foul by E. Freedom (drawn by J. Randle),11,7
32,1,7:43.0,,J. Randle makes free throw 1 of 2,11,8
33,1,7:43.0,,J. Randle makes free throw 2 of 2,11,9
34,1,7:26.0,J. Jack misses 2-pt jump shot from 18 ft,,11,9
35,1,7:23.0,,Defensive rebound by B. Lopez,11,9
36,1,7:15.0,,B. Ingram misses 2-pt jump shot from 4 ft,11,9
37,1,7:13.0,,Offensive rebound by J. Randle,11,9
38,1,7:07.0,,J. Randle misses 2-pt hook shot from 4 ft,11,9
39,1,7:05.0,Defensive rebound by E. Freedom,,11,9
40,1,7:01.0,T. Hardaway misses 2-pt layup from 2 ft,,11,9
41,1,7:00.0,Offensive rebound by E. Freedom,,11,9
42,1,7:00.0,E. Freedom misses 2-pt layup at rim,,11,9
43,1,6:59.0,Offensive rebound by E. Freedom,,11,9
44,1,6:56.0,E. Freedom makes 2-pt layup at rim,,13,9
45,1,6:43.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Ingram),13,12
46,1,6:27.0,C. Lee makes 2-pt jump shot from 19 ft,,15,12
47,1,6:10.0,,B. Lopez makes 2-pt jump shot from 19 ft,15,14
48,1,6:01.0,Personal foul by J. Randle (drawn by K. Porziņģis),,15,14
49,1,6:01.0,L. Thomas enters the game for T. Hardaway,,15,14
50,1,5:57.0,K. Porziņģis misses 2-pt jump shot from 17 ft,,15,14
51,1,5:54.0,,Defensive rebound by Team,15,14
52,1,5:43.0,,B. Lopez misses 3-pt jump shot from 25 ft,15,14
53,1,5:40.0,Defensive rebound by L. Thomas,,15,14
54,1,5:31.0,C. Lee misses 3-pt jump shot from 24 ft,,15,14
55,1,5:30.0,Offensive rebound by Team,,15,14
56,1,5:30.0,,C. Brewer enters the game for B. Ingram,15,14
57,1,5:23.0,J. Jack misses 3-pt jump shot from 25 ft,,15,14
58,1,5:18.0,,Defensive rebound by C. Brewer,15,14
59,1,5:11.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by T. Ennis),15,17
60,1,4:52.0,Turnover by E. Freedom (lost ball; steal by C. Brewer),,15,17
61,1,4:47.0,,J. Randle makes 2-pt layup from 3 ft (assist by T. Ennis),15,19
62,1,4:42.0,New York full timeout,,15,19
63,1,4:42.0,,J. Clarkson enters the game for J. Hart,15,19
64,1,4:42.0,F. Ntilikina enters the game for J. Jack,,15,19
65,1,4:34.0,Offensive foul by C. Lee (drawn by J. Randle),,15,19
66,1,4:34.0,Turnover by C. Lee (offensive foul),,15,19
67,1,4:08.0,,J. Randle misses 3-pt jump shot from 26 ft,15,19
68,1,4:05.0,Defensive rebound by C. Lee,,15,19
69,1,4:00.0,K. Porziņģis makes 2-pt jump shot from 13 ft (assist by E. Freedom),,17,19
70,1,3:41.0,,B. Lopez misses 3-pt jump shot from 22 ft,17,19
71,1,3:39.0,Defensive rebound by K. Porziņģis,,17,19
72,1,3:27.0,E. Freedom makes 2-pt dunk from 1 ft (assist by L. Thomas),,19,19
73,1,3:06.0,,J. Clarkson makes 2-pt dunk from 2 ft,19,21
74,1,2:51.0,E. Freedom makes 2-pt layup from 2 ft (assist by F. Ntilikina),,21,21
75,1,2:44.0,,B. Lopez misses 2-pt hook shot from 2 ft,21,21
76,1,2:40.0,,Offensive rebound by T. Ennis,21,21
77,1,2:38.0,,Shooting foul by K. Porziņģis (drawn by J. Randle),21,21
78,1,2:38.0,,J. Randle makes free throw 1 of 2,21,22
79,1,2:38.0,,A. Caruso enters the game for T. Ennis,21,22
80,1,2:38.0,,K. Kuzma enters the game for B. Lopez,21,22
81,1,2:38.0,M. Beasley enters the game for E. Freedom,,21,22
82,1,2:38.0,K. O'Quinn enters the game for K. Porziņģis,,21,22
83,1,2:38.0,,J. Randle makes free throw 2 of 2,21,23
84,1,2:22.0,C. Lee misses 2-pt jump shot from 18 ft,,21,23
85,1,2:18.0,,Defensive rebound by C. Brewer,21,23
86,1,2:09.0,,L. Nance enters the game for J. Randle,21,23
87,1,1:57.0,,A. Caruso misses 2-pt jump shot from 14 ft,21,23
88,1,1:55.0,Defensive rebound by M. Beasley,,21,23
89,1,1:54.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,24,23
90,1,1:47.0,,Personal foul by F. Ntilikina (drawn by A. Caruso),24,23
91,1,1:34.0,,K. Kuzma makes 2-pt jump shot from 17 ft,24,25
92,1,1:23.0,Turnover by L. Thomas (bad pass; steal by A. Caruso),,24,25
93,1,1:21.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by A. Caruso),24,27
94,1,1:03.0,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by L. Thomas),,27,27
95,1,0:50.0,,Shooting foul by M. Beasley (drawn by J. Clarkson),27,27
96,1,0:50.0,,J. Clarkson makes free throw 1 of 2,27,28
97,1,0:50.0,,J. Clarkson misses free throw 2 of 2,27,28
98,1,0:48.0,Defensive rebound by K. O'Quinn,,27,28
99,1,0:34.0,C. Lee makes 2-pt jump shot from 13 ft,,29,28
100,1,0:28.0,,J. Clarkson makes 2-pt layup from 2 ft,29,30
101,1,0:02.0,Turnover by K. O'Quinn (bad pass; steal by C. Brewer),,29,30
102,1,0:01.0,,C. Brewer misses 3-pt jump shot from 26 ft,29,30
103,1,0:01.0,,Offensive rebound by Team,29,30
104,2,11:47.0,,A. Caruso makes 2-pt jump shot from 6 ft,29,32
105,2,11:32.0,M. Beasley makes 2-pt jump shot from 11 ft (assist by R. Baker),,31,32
106,2,11:16.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by L. Nance),31,35
107,2,11:01.0,Personal foul by C. Brewer (drawn by D. McDermott),,31,35
108,2,10:57.0,Turnover by K. O'Quinn (bad pass),,31,35
109,2,10:43.0,,A. Caruso misses 2-pt layup from 2 ft,31,35
110,2,10:41.0,Defensive rebound by D. McDermott,,31,35
111,2,10:33.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by M. Beasley),,34,35
112,2,10:23.0,,K. Kuzma makes 2-pt jump shot from 3 ft (assist by A. Caruso),34,37
113,2,10:23.0,,Shooting foul by D. McDermott (drawn by K. Kuzma),34,37
114,2,10:23.0,,B. Ingram enters the game for C. Brewer,34,37
115,2,10:23.0,,K. Kuzma makes free throw 1 of 1,34,38
116,2,10:12.0,Turnover by K. O'Quinn (bad pass),,34,38
117,2,9:59.0,,A. Caruso makes 2-pt layup from 1 ft,34,40
118,2,9:54.0,Offensive foul by M. Beasley (drawn by A. Caruso),,34,40
119,2,9:54.0,Turnover by M. Beasley (offensive foul),,34,40
120,2,9:45.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by A. Caruso),34,43
121,2,9:37.0,New York full timeout,,34,43
122,2,9:23.0,F. Ntilikina makes 2-pt jump shot from 17 ft (assist by K. O'Quinn),,36,43
123,2,9:07.0,,L. Nance makes 2-pt dunk at rim (assist by A. Caruso),36,45
124,2,8:47.0,Shooting foul by B. Ingram (drawn by K. O'Quinn),,36,45
125,2,8:47.0,K. O'Quinn makes free throw 1 of 2,,37,45
126,2,8:47.0,K. O'Quinn makes free throw 2 of 2,,38,45
127,2,8:28.0,,K. Kuzma misses 3-pt jump shot from 25 ft,38,45
128,2,8:24.0,Defensive rebound by K. O'Quinn,,38,45
129,2,8:17.0,F. Ntilikina makes 2-pt layup from 2 ft,,40,45
130,2,8:03.0,,B. Ingram makes 2-pt jump shot from 14 ft,40,47
131,2,7:45.0,M. Beasley misses 3-pt jump shot from 23 ft,,40,47
132,2,7:41.0,Offensive rebound by R. Baker,,40,47
133,2,7:38.0,M. Beasley makes 2-pt layup from 1 ft (assist by D. McDermott),,42,47
134,2,7:27.0,,J. Clarkson misses 2-pt jump shot from 16 ft,42,47
135,2,7:25.0,,Offensive rebound by J. Clarkson,42,47
136,2,7:24.0,,J. Clarkson makes 2-pt layup from 1 ft,42,49
137,2,7:01.0,M. Beasley makes 2-pt layup from 2 ft (assist by F. Ntilikina),,44,49
138,2,6:50.0,,Shooting foul by M. Beasley (drawn by K. Kuzma),44,49
139,2,6:50.0,,K. Kuzma misses free throw 1 of 2,44,49
140,2,6:50.0,,Offensive rebound by Team,44,49
141,2,6:50.0,T. Hardaway enters the game for K. O'Quinn,,44,49
142,2,6:50.0,K. Porziņģis enters the game for R. Baker,,44,49
143,2,6:50.0,,K. Kuzma misses free throw 2 of 2,44,49
144,2,6:46.0,Defensive rebound by T. Hardaway,,44,49
145,2,6:42.0,Shooting foul by K. Kuzma (drawn by M. Beasley),,44,49
146,2,6:42.0,M. Beasley makes free throw 1 of 2,,45,49
147,2,6:42.0,,J. Hart enters the game for K. Kuzma,45,49
148,2,6:42.0,M. Beasley makes free throw 2 of 2,,46,49
149,2,6:23.0,,L. Nance misses 2-pt layup from 2 ft,46,49
150,2,6:23.0,,Offensive rebound by L. Nance,46,49
151,2,6:23.0,,Shooting foul by M. Beasley (drawn by L. Nance),46,49
152,2,6:23.0,,L. Nance makes free throw 1 of 2,46,50
153,2,6:23.0,E. Freedom enters the game for M. Beasley,,46,50
154,2,6:23.0,,L. Nance makes free throw 2 of 2,46,51
155,2,6:14.0,Offensive foul by E. Freedom (drawn by A. Caruso),,46,51
156,2,6:14.0,Turnover by E. Freedom (offensive foul),,46,51
157,2,6:14.0,,J. Randle enters the game for A. Caruso,46,51
158,2,6:02.0,,B. Ingram makes 2-pt jump shot from 15 ft,46,53
159,2,6:02.0,,Shooting foul by K. Porziņģis (drawn by B. Ingram),46,53
160,2,6:02.0,J. Jack enters the game for K. Porziņģis,,46,53
161,2,6:02.0,L. Thomas enters the game for F. Ntilikina,,46,53
162,2,6:02.0,C. Lee enters the game for D. McDermott,,46,53
163,2,6:02.0,,B. Ingram makes free throw 1 of 1,46,54
164,2,5:45.0,E. Freedom misses 2-pt hook shot from 8 ft (block by L. Nance),,46,54
165,2,5:41.0,,Defensive rebound by B. Ingram,46,54
166,2,5:38.0,,J. Hart misses 3-pt jump shot from 26 ft,46,54
167,2,5:32.0,,Offensive rebound by J. Clarkson,46,54
168,2,5:30.0,,J. Randle misses 2-pt layup from 4 ft (block by L. Thomas),46,54
169,2,5:29.0,,Offensive rebound by L. Nance,46,54
170,2,5:28.0,,Personal foul by C. Lee (drawn by L. Nance),46,54
171,2,5:28.0,,L. Nance makes free throw 1 of 2,46,55
172,2,5:28.0,,L. Nance misses free throw 2 of 2,46,55
173,2,5:25.0,Defensive rebound by E. Freedom,,46,55
174,2,5:07.0,C. Lee makes 2-pt jump shot from 17 ft,,48,55
175,2,4:59.0,,J. Clarkson makes 2-pt jump shot from 19 ft,48,57
176,2,4:42.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by J. Jack),,51,57
177,2,4:20.0,,L. Nance misses 2-pt hook shot from 5 ft,51,57
178,2,4:17.0,,Offensive rebound by J. Clarkson,51,57
179,2,4:09.0,,J. Clarkson misses 3-pt jump shot from 26 ft,51,57
180,2,4:04.0,,Offensive rebound by L. Nance,51,57
