,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:46.0,A. Bradley misses 3-pt jump shot from 26 ft,,0,0
1,1,11:42.0,,Defensive rebound by M. Turner,0,0
2,1,11:23.0,,M. Turner misses 2-pt jump shot from 8 ft,0,0
3,1,11:21.0,Defensive rebound by A. Bradley,,0,0
4,1,11:01.0,T. Harris misses 2-pt jump shot at rim,,0,0
5,1,10:55.0,Offensive rebound by A. Drummond,,0,0
6,1,10:55.0,A. Drummond makes 2-pt dunk at rim,,2,0
7,1,10:38.0,,V. Oladipo misses 3-pt jump shot from 23 ft,2,0
8,1,10:35.0,Defensive rebound by A. Drummond,,2,0
9,1,10:28.0,S. Johnson misses 2-pt jump shot from 19 ft,,2,0
10,1,10:24.0,,Defensive rebound by V. Oladipo,2,0
11,1,10:19.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,2,0
12,1,10:15.0,Defensive rebound by A. Drummond,,2,0
13,1,10:05.0,R. Jackson makes 2-pt jump shot from 16 ft,,4,0
14,1,9:46.0,,Shooting foul by A. Bradley (drawn by V. Oladipo),4,0
15,1,9:46.0,,V. Oladipo misses free throw 1 of 3,4,0
16,1,9:46.0,,Offensive rebound by Team,4,0
17,1,9:46.0,,V. Oladipo misses free throw 2 of 3,4,0
18,1,9:46.0,,Offensive rebound by Team,4,0
19,1,9:46.0,,V. Oladipo makes free throw 3 of 3,4,1
20,1,9:30.0,S. Johnson misses 2-pt jump shot from 13 ft,,4,1
21,1,9:27.0,,Defensive rebound by V. Oladipo,4,1
22,1,9:20.0,,D. Collison makes 2-pt jump shot from 16 ft,4,3
23,1,9:00.0,T. Harris misses 2-pt jump shot from 14 ft,,4,3
24,1,8:58.0,,Defensive rebound by M. Turner,4,3
25,1,8:50.0,,T. Young makes 3-pt jump shot from 27 ft (assist by D. Collison),4,6
26,1,8:34.0,T. Harris misses 3-pt jump shot from 27 ft,,4,6
27,1,8:32.0,,Defensive rebound by Team,4,6
28,1,8:21.0,,B. Bogdanović makes 2-pt layup from 1 ft,4,8
29,1,8:14.0,Detroit full timeout,,4,8
30,1,8:04.0,R. Jackson misses 2-pt jump shot from 8 ft,,4,8
31,1,8:02.0,Offensive rebound by T. Harris,,4,8
32,1,8:01.0,T. Harris misses 2-pt jump shot from 4 ft (block by M. Turner),,4,8
33,1,8:01.0,Offensive rebound by A. Drummond,,4,8
34,1,7:57.0,A. Drummond makes 2-pt hook shot from 4 ft,,6,8
35,1,7:43.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by T. Young),6,11
36,1,7:27.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,8,11
37,1,7:16.0,,D. Collison misses 3-pt jump shot from 26 ft,8,11
38,1,7:13.0,Defensive rebound by Team,,8,11
39,1,7:02.0,Shooting foul by V. Oladipo (drawn by A. Bradley),,8,11
40,1,7:02.0,A. Bradley misses free throw 1 of 2,,8,11
41,1,7:02.0,Offensive rebound by Team,,8,11
42,1,7:02.0,A. Bradley makes free throw 2 of 2,,9,11
43,1,6:46.0,,B. Bogdanović makes 2-pt layup from 1 ft,9,13
44,1,6:35.0,T. Harris makes 2-pt layup at rim (assist by R. Jackson),,11,13
45,1,6:27.0,,B. Bogdanović misses 2-pt layup from 1 ft,11,13
46,1,6:22.0,,Offensive rebound by D. Collison,11,13
47,1,6:21.0,,T. Young misses 3-pt jump shot from 25 ft,11,13
48,1,6:21.0,Defensive rebound by A. Bradley,,11,13
49,1,6:05.0,Shooting foul by M. Turner (drawn by T. Harris),,11,13
50,1,6:05.0,T. Harris makes free throw 1 of 2,,12,13
51,1,6:05.0,T. Harris makes free throw 2 of 2,,13,13
52,1,5:55.0,,Personal foul by R. Jackson (drawn by D. Collison),13,13
53,1,5:49.0,,V. Oladipo makes 2-pt jump shot from 15 ft (assist by D. Collison),13,15
54,1,5:36.0,R. Jackson makes 2-pt jump shot from 3 ft,,15,15
55,1,5:29.0,,V. Oladipo misses 2-pt layup from 6 ft,15,15
56,1,5:29.0,Defensive rebound by A. Drummond,,15,15
57,1,5:10.0,S. Johnson misses 3-pt jump shot from 26 ft,,15,15
58,1,5:07.0,,Defensive rebound by V. Oladipo,15,15
59,1,5:04.0,,Personal foul by T. Harris (drawn by D. Collison),15,15
60,1,4:51.0,,V. Oladipo misses 2-pt jump shot from 11 ft,15,15
61,1,4:46.0,Defensive rebound by T. Harris,,15,15
62,1,4:43.0,R. Jackson makes 3-pt jump shot from 26 ft,,18,15
63,1,4:35.0,,Indiana full timeout,18,15
64,1,4:35.0,L. Kennard enters the game for S. Johnson,,18,15
65,1,4:28.0,,M. Turner misses 2-pt dunk at rim,18,15
66,1,4:26.0,Defensive rebound by A. Drummond,,18,15
67,1,4:22.0,,L. Stephenson enters the game for D. Collison,18,15
68,1,4:22.0,,C. Joseph enters the game for B. Bogdanović,18,15
