,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
0,1,11:39.0,,M. Beasley makes 2-pt jump shot from 20 ft (assist by T. Hardaway),0,2
1,1,11:14.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by R. Jackson),,3,2
2,1,11:00.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by T. Hardaway),3,5
3,1,10:41.0,A. Drummond misses 2-pt jump shot from 15 ft,,3,5
4,1,10:39.0,,Defensive rebound by K. O'Quinn,3,5
5,1,10:31.0,,T. Burke misses 2-pt layup from 1 ft,3,5
6,1,10:29.0,,Offensive rebound by Team,3,5
7,1,10:25.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,3,5
8,1,10:23.0,Defensive rebound by A. Drummond,,3,5
9,1,10:10.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by R. Jackson),,6,5
10,1,9:48.0,,T. Burke misses 2-pt jump shot from 18 ft,6,5
11,1,9:46.0,Defensive rebound by A. Tolliver,,6,5
12,1,9:35.0,S. Johnson misses 3-pt jump shot from 22 ft,,6,5
13,1,9:34.0,A. Drummond misses 2-pt dunk at rim,,6,5
14,1,9:34.0,Offensive rebound by A. Drummond,,6,5
15,1,9:33.0,Offensive rebound by A. Drummond,,6,5
16,1,9:33.0,A. Drummond misses 2-pt layup at rim,,6,5
17,1,9:31.0,Offensive rebound by A. Drummond,,6,5
18,1,9:27.0,A. Drummond makes 2-pt layup at rim,,8,5
19,1,9:12.0,,M. Beasley makes 2-pt jump shot from 12 ft (assist by T. Burke),8,7
20,1,8:52.0,R. Bullock makes 2-pt jump shot from 18 ft (assist by A. Drummond),,10,7
21,1,8:35.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by M. Beasley),10,10
22,1,8:05.0,R. Jackson makes 2-pt jump shot from 11 ft,,12,10
23,1,7:51.0,,L. Thomas enters the game for M. Beasley,12,10
24,1,7:47.0,,Personal foul by S. Johnson (drawn by T. Hardaway),12,10
25,1,7:39.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by T. Burke),12,12
26,1,7:24.0,R. Bullock misses 2-pt layup from 1 ft,,12,12
27,1,7:23.0,Offensive rebound by Team,,12,12
28,1,7:19.0,S. Johnson makes 2-pt dunk from 1 ft (assist by R. Jackson),,14,12
29,1,7:11.0,,T. Hardaway makes 2-pt jump shot from 12 ft,14,14
30,1,7:11.0,,Shooting foul by R. Bullock (drawn by T. Hardaway),14,14
31,1,7:11.0,,T. Hardaway makes free throw 1 of 1,14,15
32,1,6:47.0,R. Jackson makes 2-pt jump shot from 8 ft,,16,15
33,1,6:29.0,,T. Hardaway misses 2-pt jump shot from 17 ft,16,15
34,1,6:27.0,Defensive rebound by R. Bullock,,16,15
35,1,6:16.0,R. Bullock misses 3-pt jump shot from 27 ft,,16,15
36,1,6:14.0,,Defensive rebound by T. Burke,16,15
37,1,6:08.0,,T. Hardaway misses 3-pt jump shot from 25 ft,16,15
38,1,6:06.0,Defensive rebound by A. Drummond,,16,15
39,1,5:47.0,A. Tolliver misses 3-pt jump shot from 22 ft,,16,15
40,1,5:45.0,Offensive rebound by R. Bullock,,16,15
41,1,5:42.0,R. Bullock makes 2-pt jump shot from 13 ft (assist by A. Tolliver),,18,15
42,1,5:33.0,,New York full timeout,18,15
43,1,5:33.0,,D. Dotson enters the game for T. Williams,18,15
44,1,5:33.0,,E. Mudiay enters the game for T. Burke,18,15
45,1,5:33.0,I. Smith enters the game for S. Johnson,,18,15
46,1,5:33.0,J. Ennis enters the game for R. Jackson,,18,15
47,1,5:19.0,,Turnover by E. Mudiay (step out of bounds),18,15
48,1,5:07.0,A. Tolliver makes 2-pt jump shot from 17 ft (assist by I. Smith),,20,15
49,1,4:41.0,,D. Dotson makes 2-pt jump shot from 14 ft,20,17
50,1,4:22.0,I. Smith makes 2-pt jump shot from 19 ft,,22,17
51,1,4:09.0,,Turnover by D. Dotson (bad pass; steal by R. Bullock),22,17
52,1,4:03.0,R. Bullock makes 2-pt layup from 2 ft,,24,17
53,1,4:00.0,Offensive charge foul by T. Hardaway (drawn by A. Tolliver),,24,17
54,1,4:00.0,,Turnover by T. Hardaway (offensive foul),24,17
55,1,4:00.0,H. Ellenson enters the game for A. Tolliver,,24,17
56,1,3:48.0,R. Bullock misses 2-pt jump shot from 13 ft,,24,17
57,1,3:46.0,,Defensive rebound by K. O'Quinn,24,17
58,1,3:36.0,,E. Mudiay makes 2-pt jump shot from 9 ft,24,19
59,1,3:23.0,Personal foul by L. Thomas (drawn by R. Bullock),,24,19
60,1,3:23.0,,L. Kornet enters the game for K. O'Quinn,24,19
61,1,3:22.0,Turnover by R. Bullock (bad pass),,24,19
62,1,3:08.0,,E. Mudiay misses 2-pt layup from 2 ft (block by A. Drummond),24,19
63,1,3:07.0,,Offensive rebound by Team,24,19
64,1,3:05.0,,T. Hardaway makes 2-pt jump shot from 14 ft (assist by E. Mudiay),24,21
65,1,2:45.0,J. Ennis misses 2-pt jump shot from 18 ft,,24,21
66,1,2:43.0,,Defensive rebound by D. Dotson,24,21
67,1,2:38.0,,Turnover by T. Hardaway (lost ball; steal by R. Bullock),24,21
68,1,2:34.0,Personal foul by D. Dotson (drawn by I. Smith),,24,21
69,1,2:34.0,Detroit full timeout,,24,21
70,1,2:26.0,Turnover by A. Drummond (out of bounds lost ball),,24,21
71,1,2:13.0,,L. Kornet misses 3-pt jump shot from 25 ft,24,21
72,1,2:11.0,Defensive rebound by R. Bullock,,24,21
73,1,1:57.0,I. Smith makes 2-pt jump shot from 12 ft,,26,21
74,1,1:29.0,,T. Hardaway misses 2-pt layup from 1 ft,26,21
75,1,1:27.0,Defensive rebound by A. Drummond,,26,21
76,1,1:23.0,J. Ennis makes 2-pt layup from 1 ft (assist by I. Smith),,28,21
77,1,1:05.0,,L. Thomas makes 3-pt jump shot from 25 ft (assist by L. Kornet),28,24
78,1,0:51.0,R. Bullock misses 2-pt jump shot from 16 ft,,28,24
79,1,0:49.0,,Defensive rebound by L. Kornet,28,24
80,1,0:42.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by L. Kornet),28,27
81,1,0:25.0,A. Drummond makes 2-pt layup from 2 ft (assist by R. Bullock),,30,27
82,1,0:01.0,,E. Mudiay misses 3-pt jump shot from 27 ft,30,27
83,1,0:00.0,Defensive rebound by H. Ellenson,,30,27
84,2,11:47.0,R. Jackson misses 2-pt jump shot from 11 ft,,30,27
85,2,11:45.0,Offensive rebound by J. Ennis,,30,27
86,2,11:39.0,Shooting foul by M. Beasley (drawn by H. Ellenson),,30,27
87,2,11:39.0,H. Ellenson makes free throw 1 of 2,,31,27
88,2,11:39.0,H. Ellenson makes free throw 2 of 2,,32,27
89,2,11:18.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by L. Kornet),32,30
90,2,11:03.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by H. Ellenson),,35,30
91,2,10:43.0,,M. Beasley misses 2-pt jump shot from 16 ft,35,30
92,2,10:41.0,Defensive rebound by R. Jackson,,35,30
93,2,10:31.0,L. Kennard makes 3-pt jump shot from 22 ft (assist by H. Ellenson),,38,30
