,QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,M. Morris misses 2-pt jump shot from 14 ft,0,0
1,1,11:39.0,Defensive rebound by N. Powell,,0,0
2,1,11:18.0,N. Powell misses 3-pt jump shot from 26 ft,,0,0
3,1,11:12.0,,Defensive rebound by M. Morris,0,0
4,1,11:04.0,,M. Gortat makes 2-pt hook shot from 12 ft,0,2
5,1,11:04.0,,Shooting foul by J. Valančiūnas (drawn by M. Gortat),0,2
6,1,11:04.0,,M. Gortat makes free throw 1 of 1,0,3
7,1,10:46.0,D. DeRozan misses 3-pt jump shot from 25 ft,,0,3
8,1,10:43.0,,Defensive rebound by T. Satoranský,0,3
9,1,10:36.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Gortat),0,6
10,1,10:17.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by N. Powell),,2,6
11,1,10:03.0,,M. Gortat makes 2-pt jump shot from 14 ft (assist by T. Satoranský),2,8
12,1,9:51.0,,Offensive charge foul by J. Valančiūnas (drawn by M. Gortat),2,8
13,1,9:51.0,Turnover by J. Valančiūnas (offensive foul),,2,8
14,1,9:51.0,J. Poeltl enters the game for J. Valančiūnas,,2,8
15,1,9:40.0,,Turnover by T. Satoranský (lost ball; steal by K. Lowry),2,8
16,1,9:37.0,K. Lowry makes 2-pt layup from 1 ft,,4,8
17,1,9:23.0,,M. Gortat misses 2-pt hook shot from 7 ft,4,8
18,1,9:18.0,,Offensive rebound by M. Morris,4,8
19,1,8:59.0,,B. Beal makes 3-pt jump shot from 22 ft (assist by T. Satoranský),4,11
20,1,8:37.0,S. Ibaka misses 3-pt jump shot from 25 ft,,4,11
21,1,8:34.0,,Defensive rebound by M. Gortat,4,11
22,1,8:24.0,,M. Morris misses 2-pt layup from 10 ft (block by J. Poeltl),4,11
23,1,8:22.0,,Offensive rebound by O. Porter,4,11
24,1,8:21.0,,O. Porter makes 2-pt jump shot at rim,4,13
25,1,8:11.0,Toronto full timeout,,4,13
26,1,7:53.0,K. Lowry misses 2-pt jump shot from 16 ft,,4,13
27,1,7:49.0,,Defensive rebound by M. Gortat,4,13
28,1,7:37.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Satoranský),4,16
29,1,7:19.0,D. DeRozan misses 2-pt jump shot from 19 ft,,4,16
30,1,7:14.0,,Defensive rebound by O. Porter,4,16
31,1,7:02.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by T. Satoranský),4,18
32,1,6:40.0,D. DeRozan makes 2-pt layup from 1 ft,,6,18
33,1,6:20.0,,T. Satoranský misses 2-pt jump shot from 15 ft,6,18
34,1,6:16.0,Defensive rebound by K. Lowry,,6,18
35,1,6:15.0,,Violation by T. Satoranský (kicked ball),6,18
36,1,6:12.0,Turnover by J. Poeltl (bad pass),,6,18
37,1,5:52.0,,M. Gortat misses 2-pt jump shot from 12 ft,6,18
38,1,5:48.0,,Offensive rebound by B. Beal,6,18
39,1,5:47.0,,B. Beal misses 3-pt jump shot from 23 ft,6,18
40,1,5:47.0,Defensive rebound by K. Lowry,,6,18
41,1,5:36.0,Def 3 sec tech foul by M. Morris,,6,18
42,1,5:36.0,D. DeRozan misses technical free throw,,6,18
43,1,5:36.0,Offensive rebound by Team,,6,18
44,1,5:30.0,Shooting foul by M. Morris (drawn by S. Ibaka),,6,18
45,1,5:30.0,S. Ibaka misses free throw 1 of 2,,6,18
46,1,5:30.0,Offensive rebound by Team,,6,18
47,1,5:30.0,S. Ibaka makes free throw 2 of 2,,7,18
48,1,5:09.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by B. Beal),7,21
49,1,4:52.0,K. Lowry makes 2-pt layup from 2 ft,,9,21
