,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
0,1,11:37.0,,R. Anderson misses 3-pt jump shot from 25 ft,0,0
1,1,11:33.0,,Offensive rebound by R. Anderson,0,0
2,1,11:28.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),0,3
3,1,11:09.0,K. Love misses 2-pt layup from 4 ft (block by C. Capela),,0,3
4,1,11:09.0,Offensive rebound by Team,,0,3
5,1,11:06.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Crowder),,3,3
6,1,10:45.0,,J. Harden makes 2-pt layup from 1 ft,3,5
7,1,10:28.0,L. James makes 2-pt dunk at rim (assist by K. Love),,5,5
8,1,10:12.0,Violation by K. Love (kicked ball),,5,5
9,1,10:08.0,,Personal foul by L. James (drawn by T. Ariza),5,5
10,1,10:02.0,,C. Capela misses 2-pt hook shot from 8 ft,5,5
11,1,9:59.0,,Offensive rebound by C. Capela,5,5
12,1,9:56.0,,E. Gordon misses 3-pt jump shot from 28 ft,5,5
13,1,9:52.0,Defensive rebound by K. Love,,5,5
14,1,9:45.0,K. Love makes 3-pt jump shot from 28 ft (assist by L. James),,8,5
15,1,9:37.0,,Shooting foul by J. Crowder (drawn by J. Harden),8,5
16,1,9:37.0,,J. Harden makes free throw 2 of 2,8,6
17,1,9:37.0,,J. Harden makes free throw 1 of 2,8,7
18,1,9:26.0,Turnover by K. Love (out of bounds lost ball),,8,7
19,1,9:14.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by R. Anderson),8,10
20,1,9:01.0,L. James makes 2-pt dunk from 1 ft (assist by K. Love),,10,10
21,1,8:46.0,,R. Anderson misses 3-pt jump shot from 23 ft,10,10
22,1,8:42.0,Defensive rebound by J. Crowder,,10,10
23,1,8:39.0,Turnover by L. James (bad pass; steal by J. Harden),,10,10
24,1,8:32.0,,E. Gordon misses 3-pt jump shot from 26 ft,10,10
25,1,8:27.0,,Offensive rebound by J. Harden,10,10
26,1,8:23.0,,Personal foul by I. Shumpert (drawn by J. Harden),10,10
27,1,8:17.0,,Turnover by C. Capela (traveling),10,10
28,1,8:08.0,J. Smith makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,13,10
29,1,8:00.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),13,12
30,1,7:34.0,K. Love makes 2-pt jump shot from 13 ft,,15,12
31,1,7:18.0,,T. Ariza misses 3-pt jump shot from 23 ft,15,12
32,1,7:13.0,,Offensive rebound by E. Gordon,15,12
33,1,7:11.0,,E. Gordon misses 2-pt dunk at rim,15,12
34,1,7:08.0,Defensive rebound by J. Crowder,,15,12
35,1,7:05.0,I. Shumpert makes 3-pt jump shot from 24 ft,,18,12
36,1,6:52.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),18,14
37,1,6:50.0,Cleveland full timeout,,18,14
38,1,6:50.0,,P. Tucker enters the game for R. Anderson,18,14
39,1,6:42.0,Personal foul by P. Tucker (drawn by L. James),,18,14
40,1,6:29.0,Turnover by L. James (lost ball; steal by J. Harden),,18,14
41,1,6:26.0,,Shooting foul by J. Smith (drawn by J. Harden),18,14
42,1,6:26.0,,J. Harden makes free throw 1 of 2,18,15
43,1,6:26.0,,J. Harden makes free throw 2 of 2,18,16
44,1,6:12.0,Personal foul by J. Harden (drawn by K. Love),,18,16
45,1,6:12.0,,N. Hilário enters the game for C. Capela,18,16
46,1,6:07.0,K. Love misses 3-pt jump shot from 22 ft,,18,16
47,1,6:04.0,,Defensive rebound by J. Harden,18,16
48,1,5:57.0,,N. Hilário makes 2-pt layup at rim (assist by J. Harden),18,18
49,1,5:47.0,K. Love misses 2-pt layup from 1 ft,,18,18
50,1,5:45.0,,Defensive rebound by E. Gordon,18,18
51,1,5:38.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by T. Ariza),18,21
52,1,5:23.0,I. Shumpert misses 2-pt jump shot from 20 ft,,18,21
53,1,5:20.0,,Defensive rebound by J. Harden,18,21
54,1,5:16.0,Violation by K. Love (kicked ball),,18,21
55,1,5:16.0,D. Wade enters the game for I. Shumpert,,18,21
56,1,5:06.0,,Personal foul by K. Love (drawn by N. Hilário),18,21
57,1,5:06.0,,N. Hilário makes free throw 1 of 2,18,22
58,1,5:06.0,,N. Hilário makes free throw 2 of 2,18,23
59,1,4:54.0,Personal foul by P. Tucker (drawn by L. James),,18,23
60,1,4:54.0,,R. Anderson enters the game for E. Gordon,18,23
61,1,4:39.0,J. Smith misses 3-pt jump shot from 34 ft,,18,23
62,1,4:36.0,,Defensive rebound by T. Ariza,18,23
63,1,4:30.0,,Shooting foul by J. Crowder (drawn by N. Hilário),18,23
64,1,4:30.0,,N. Hilário makes free throw 1 of 2,18,24
65,1,4:30.0,J. Green enters the game for J. Crowder,,18,24
66,1,4:30.0,,N. Hilário makes free throw 2 of 2,18,25
67,1,4:19.0,Turnover by L. James (lost ball; steal by T. Ariza),,18,25
68,1,4:16.0,,T. Ariza makes 2-pt layup from 1 ft,18,27
69,1,4:16.0,Cleveland full timeout,,18,27
70,1,4:04.0,Turnover by L. James (bad pass; steal by J. Harden),,18,27
71,1,3:52.0,,N. Hilário misses 2-pt jump shot from 18 ft,18,27
72,1,3:52.0,Defensive rebound by Team,,18,27
73,1,3:52.0,,Loose ball foul by R. Anderson (drawn by K. Love),18,27
74,1,3:44.0,Shooting foul by R. Anderson (drawn by D. Wade),,18,27
75,1,3:44.0,D. Wade misses free throw 1 of 2,,18,27
76,1,3:44.0,Offensive rebound by Team,,18,27
77,1,3:44.0,D. Wade misses free throw 2 of 2,,18,27
78,1,3:41.0,,Defensive rebound by J. Harden,18,27
79,1,3:37.0,,P. Tucker makes 2-pt jump shot from 21 ft (assist by J. Harden),18,29
80,1,3:17.0,L. James makes 2-pt jump shot from 16 ft (assist by K. Love),,20,29
81,1,3:09.0,,T. Ariza misses 3-pt jump shot from 24 ft,20,29
82,1,3:06.0,Defensive rebound by L. James,,20,29
83,1,3:03.0,L. James misses 3-pt jump shot from 25 ft,,20,29
84,1,3:00.0,,Defensive rebound by T. Ariza,20,29
85,1,2:55.0,,J. Harden misses 3-pt jump shot from 26 ft,20,29
86,1,2:52.0,Defensive rebound by D. Wade,,20,29
87,1,2:39.0,L. James misses 2-pt layup from 3 ft,,20,29
88,1,2:37.0,,Defensive rebound by N. Hilário,20,29
89,1,2:32.0,Violation by K. Love (kicked ball),,20,29
90,1,2:32.0,K. Korver enters the game for J. Smith,,20,29
91,1,2:32.0,I. Shumpert enters the game for L. James,,20,29
92,1,2:16.0,,P. Tucker misses 3-pt jump shot from 25 ft,20,29
93,1,2:13.0,Defensive rebound by K. Love,,20,29
94,1,2:05.0,Turnover by D. Wade (bad pass; steal by J. Harden),,20,29
95,1,2:02.0,,J. Harden makes 2-pt layup from 1 ft,20,31
96,1,1:50.0,K. Korver makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,23,31
97,1,1:31.0,Violation by K. Love (kicked ball),,23,31
98,1,1:31.0,C. Frye enters the game for K. Love,,23,31
99,1,1:26.0,,J. Harden misses 3-pt jump shot from 25 ft,23,31
100,1,1:26.0,Defensive rebound by Team,,23,31
101,1,1:16.0,Personal foul by T. Ariza (drawn by D. Wade),,23,31
102,1,1:16.0,D. Wade makes free throw 1 of 2,,24,31
103,1,1:16.0,D. Wade makes free throw 2 of 2,,25,31
104,1,1:02.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by R. Anderson),25,34
105,1,0:48.0,K. Korver misses 2-pt jump shot from 20 ft,,25,34
106,1,0:45.0,,Defensive rebound by T. Ariza,25,34
107,1,0:41.0,,Offensive foul by N. Hilário (drawn by J. Green),25,34
108,1,0:41.0,,Turnover by N. Hilário (offensive foul),25,34
109,1,0:33.0,K. Korver misses 3-pt jump shot from 25 ft,,25,34
110,1,0:30.0,,Defensive rebound by J. Harden,25,34
111,1,0:09.0,,T. Ariza misses 3-pt jump shot from 23 ft,25,34
112,1,0:06.0,,Offensive rebound by R. Anderson,25,34
113,1,0:06.0,,R. Anderson makes 2-pt layup at rim,25,36
114,1,0:00.0,D. Wade misses 2-pt jump shot from 7 ft,,25,36
115,1,0:00.0,Offensive rebound by Team,,25,36
116,2,11:50.0,Turnover by D. Wade (lost ball; steal by P. Tucker),,25,36
117,2,11:45.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by B. Brown),25,39
118,2,11:30.0,J. Green misses 2-pt layup from 3 ft,,25,39
119,2,11:27.0,,Defensive rebound by C. Capela,25,39
120,2,11:21.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by B. Brown),25,42
121,2,11:12.0,Personal foul by C. Capela (drawn by D. Wade),,25,42
122,2,11:04.0,C. Frye makes 2-pt jump shot from 20 ft (assist by I. Shumpert),,27,42
123,2,10:48.0,,E. Gordon makes 2-pt layup from 1 ft (assist by R. Anderson),27,44
124,2,10:48.0,,Shooting foul by C. Frye (drawn by E. Gordon),27,44
125,2,10:48.0,,E. Gordon makes free throw 1 of 1,27,45
126,2,10:34.0,J. Green makes 2-pt dunk from 2 ft (assist by D. Wade),,29,45
127,2,10:09.0,Offensive charge foul by P. Tucker (drawn by K. Korver),,29,45
128,2,10:09.0,,Turnover by P. Tucker (offensive foul),29,45
129,2,9:50.0,J. Green makes 2-pt hook shot from 6 ft,,31,45
130,2,9:39.0,,Turnover by B. Brown (bad pass; steal by J. Green),31,45
131,2,9:36.0,J. Green makes 2-pt jump shot from 1 ft,,33,45
132,2,9:36.0,Shooting foul by B. Brown (drawn by J. Green),,33,45
133,2,9:36.0,,T. Ariza enters the game for P. Tucker,33,45
134,2,9:36.0,J. Green makes free throw 1 of 1,,34,45
135,2,9:24.0,,E. Gordon makes 3-pt jump shot from 28 ft,34,48
136,2,9:08.0,J. Green makes 2-pt hook shot from 7 ft,,36,48
137,2,8:57.0,,C. Capela makes 2-pt dunk from 1 ft (assist by T. Ariza),36,50
138,2,8:45.0,D. Wade misses 2-pt jump shot from 11 ft,,36,50
139,2,8:42.0,,Defensive rebound by C. Capela,36,50
140,2,8:31.0,,E. Gordon makes 3-pt jump shot from 27 ft,36,53
141,2,8:30.0,Cleveland full timeout,,36,53
142,2,8:30.0,L. James enters the game for D. Wade,,36,53
143,2,8:14.0,L. James makes 2-pt hook shot from 4 ft,,38,53
144,2,8:02.0,,Turnover by E. Gordon (traveling),38,53
145,2,7:47.0,J. Green makes 3-pt jump shot from 23 ft (assist by C. Frye),,41,53
146,2,7:29.0,,T. Ariza makes 2-pt layup at rim (assist by C. Capela),41,55
147,2,7:11.0,Turnover by L. James (bad pass; steal by R. Anderson),,41,55
148,2,6:57.0,,E. Gordon misses 3-pt jump shot from 28 ft,41,55
149,2,6:54.0,,Offensive rebound by R. Anderson,41,55
150,2,6:53.0,,R. Anderson misses 2-pt layup from 1 ft,41,55
151,2,6:51.0,Defensive rebound by K. Korver,,41,55
152,2,6:42.0,J. Green makes 2-pt hook shot from 2 ft (assist by I. Shumpert),,43,55
153,2,6:41.0,,Houston full timeout,43,55
154,2,6:41.0,,J. Harden enters the game for B. Brown,43,55
155,2,6:41.0,J. Crowder enters the game for C. Frye,,43,55
156,2,6:41.0,J. Smith enters the game for K. Korver,,43,55
157,2,6:27.0,,Turnover by C. Capela (bad pass),43,55
158,2,6:14.0,L. James makes 2-pt layup from 1 ft,,45,55
159,2,5:52.0,,Turnover by R. Anderson (lost ball; steal by I. Shumpert),45,55
160,2,5:47.0,J. Green makes 2-pt dunk from 1 ft (assist by I. Shumpert),,47,55
161,2,5:33.0,Offensive charge foul by J. Harden (drawn by J. Green),,47,55
162,2,5:33.0,,Turnover by J. Harden (offensive foul),47,55
163,2,5:33.0,,N. Hilário enters the game for C. Capela,47,55
164,2,5:33.0,K. Love enters the game for I. Shumpert,,47,55
165,2,5:16.0,L. James makes 2-pt jump shot from 20 ft,,49,55
166,2,5:00.0,,Shooting foul by J. Smith (drawn by J. Harden),49,55
167,2,5:00.0,,J. Harden makes free throw 1 of 2,49,56
168,2,5:00.0,,J. Harden makes free throw 2 of 2,49,57
169,2,4:49.0,Shooting foul by T. Ariza (drawn by L. James),,49,57
170,2,4:49.0,L. James makes free throw 1 of 2,,50,57
171,2,4:49.0,,P. Tucker enters the game for R. Anderson,50,57
172,2,4:49.0,L. James makes free throw 2 of 2,,51,57
173,2,4:44.0,,E. Gordon misses 3-pt jump shot from 27 ft,51,57
174,2,4:39.0,Defensive rebound by J. Green,,51,57
175,2,4:37.0,J. Green makes 2-pt dunk from 1 ft,,53,57
176,2,4:28.0,,Shooting foul by J. Green (drawn by J. Harden),53,57
177,2,4:28.0,,J. Harden makes free throw 1 of 2,53,58
178,2,4:28.0,,J. Harden makes free throw 2 of 2,53,59
179,2,4:13.0,Turnover by L. James (turnover),,53,59
180,2,4:07.0,,Turnover by J. Harden (bad pass; steal by J. Green),53,59
181,2,4:07.0,Personal foul by T. Ariza (drawn by J. Green),,53,59
182,2,3:58.0,Personal foul by N. Hilário (drawn by K. Love),,53,59
183,2,3:58.0,K. Love makes free throw 1 of 2,,54,59
184,2,3:58.0,K. Love makes free throw 2 of 2,,55,59
185,2,3:47.0,,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Harden),55,61
186,2,3:39.0,J. Smith misses 3-pt jump shot from 22 ft,,55,61
187,2,3:36.0,,Defensive rebound by J. Harden,55,61
188,2,3:28.0,,P. Tucker misses 3-pt jump shot from 22 ft,55,61
189,2,3:26.0,Defensive rebound by J. Crowder,,55,61
190,2,3:20.0,K. Love misses 3-pt jump shot from 25 ft,,55,61
191,2,3:17.0,,Defensive rebound by T. Ariza,55,61
192,2,3:07.0,,T. Ariza misses 3-pt jump shot from 26 ft,55,61
193,2,3:05.0,Defensive rebound by L. James,,55,61
194,2,3:01.0,L. James makes 2-pt dunk from 1 ft (assist by J. Smith),,57,61
195,2,2:38.0,,Turnover by E. Gordon (bad pass; steal by K. Love),57,61
196,2,2:38.0,I. Shumpert enters the game for J. Smith,,57,61
197,2,2:28.0,L. James makes 2-pt layup from 1 ft,,59,61
198,2,2:17.0,,Personal foul by I. Shumpert (drawn by J. Harden),59,61
199,2,2:17.0,,R. Anderson enters the game for P. Tucker,59,61
200,2,2:07.0,,Turnover by N. Hilário (out of bounds lost ball),59,61
201,2,1:47.0,Turnover by K. Love (lost ball; steal by J. Harden),,59,61
202,2,1:45.0,,Offensive foul by N. Hilário (drawn by I. Shumpert),59,61
203,2,1:45.0,,Turnover by N. Hilário (offensive foul),59,61
204,2,1:45.0,,C. Capela enters the game for N. Hilário,59,61
205,2,1:21.0,K. Love makes 2-pt layup from 1 ft,,61,61
206,2,1:05.0,,J. Harden misses 3-pt jump shot from 25 ft,61,61
207,2,1:03.0,Defensive rebound by I. Shumpert,,61,61
208,2,1:00.0,Personal foul by J. Harden (drawn by J. Green),,61,61
209,2,1:00.0,J. Green makes free throw 1 of 2,,62,61
210,2,1:00.0,K. Korver enters the game for I. Shumpert,,62,61
211,2,1:00.0,D. Wade enters the game for J. Crowder,,62,61
212,2,1:00.0,J. Green makes free throw 2 of 2,,63,61
213,2,0:51.0,,Shooting foul by L. James (drawn by C. Capela),63,61
214,2,0:51.0,,C. Capela makes free throw 1 of 2,63,62
215,2,0:51.0,,C. Capela makes free throw 2 of 2,63,63
216,2,0:44.0,L. James makes 2-pt dunk from 1 ft,,65,63
217,2,0:35.0,,Turnover by J. Harden (bad pass; steal by D. Wade),65,63
218,2,0:30.0,L. James misses 2-pt layup from 3 ft (block by C. Capela),,65,63
219,2,0:27.0,Offensive rebound by K. Love,,65,63
220,2,0:24.0,L. James makes 2-pt layup from 1 ft (assist by D. Wade),,67,63
221,2,0:03.0,,Shooting foul by J. Green (drawn by J. Harden),67,63
222,2,0:03.0,,J. Harden makes free throw 1 of 2,67,64
223,2,0:03.0,J. Smith enters the game for J. Green,,67,64
224,2,0:03.0,,J. Harden makes free throw 2 of 2,67,65
225,2,0:00.0,J. Smith misses 3-pt jump shot from 35 ft,,67,65
226,2,0:00.0,Offensive rebound by Team,,67,65
227,3,11:46.0,L. James misses 2-pt jump shot from 13 ft,,67,65
228,3,11:43.0,,Defensive rebound by C. Capela,67,65
229,3,11:33.0,,Personal foul by K. Love (drawn by C. Capela),67,65
230,3,11:18.0,,J. Harden misses 2-pt jump shot from 16 ft,67,65
231,3,11:15.0,Defensive rebound by J. Crowder,,67,65
232,3,11:03.0,L. James misses 2-pt jump shot from 13 ft,,67,65
233,3,11:01.0,,Defensive rebound by C. Capela,67,65
234,3,10:57.0,,E. Gordon makes 3-pt jump shot from 29 ft (assist by J. Harden),67,68
235,3,10:38.0,J. Smith misses 3-pt jump shot from 25 ft,,67,68
236,3,10:36.0,,Defensive rebound by J. Harden,67,68
237,3,10:28.0,,R. Anderson misses 3-pt jump shot from 28 ft,67,68
238,3,10:25.0,Defensive rebound by K. Love,,67,68
239,3,10:20.0,I. Shumpert misses 3-pt jump shot from 25 ft,,67,68
240,3,10:18.0,,Defensive rebound by C. Capela,67,68
241,3,10:07.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),67,71
242,3,10:07.0,,Shooting foul by K. Love (drawn by T. Ariza),67,71
243,3,10:07.0,,T. Ariza makes free throw 1 of 1,67,72
244,3,9:54.0,Personal foul by C. Capela (drawn by K. Love),,67,72
245,3,9:52.0,Turnover by J. Crowder (bad pass),,67,72
246,3,9:45.0,,Turnover by R. Anderson (bad pass),67,72
247,3,9:38.0,K. Love misses 2-pt layup from 5 ft (block by C. Capela),,67,72
248,3,9:34.0,Offensive rebound by J. Crowder,,67,72
249,3,9:31.0,J. Crowder makes 3-pt jump shot from 27 ft,,70,72
250,3,9:24.0,,Personal foul by J. Crowder (drawn by C. Capela),70,72
251,3,9:20.0,,Personal foul by I. Shumpert (drawn by T. Ariza),70,72
252,3,9:16.0,,Personal foul by K. Love (drawn by T. Ariza),70,72
253,3,9:16.0,,T. Ariza makes free throw 1 of 2,70,73
254,3,9:16.0,J. Green enters the game for K. Love,,70,73
255,3,9:16.0,,T. Ariza misses free throw 2 of 2,70,73
256,3,9:14.0,Defensive rebound by J. Green,,70,73
257,3,9:03.0,I. Shumpert makes 2-pt layup from 1 ft (assist by L. James),,72,73
258,3,8:47.0,,J. Harden makes 3-pt jump shot from 28 ft,72,76
259,3,8:26.0,J. Smith makes 2-pt layup from 1 ft (assist by J. Green),,74,76
260,3,7:59.0,,J. Harden makes 3-pt jump shot from 27 ft,74,79
261,3,7:40.0,J. Crowder misses 2-pt jump shot from 21 ft,,74,79
262,3,7:37.0,,Defensive rebound by R. Anderson,74,79
263,3,7:26.0,,C. Capela makes 2-pt hook shot from 5 ft (assist by J. Harden),74,81
264,3,7:26.0,Cleveland full timeout,,74,81
265,3,7:11.0,Def 3 sec tech foul by C. Capela,,74,81
