,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
0,1,11:46.0,A. Bradley misses 2-pt jump shot from 17 ft,,0,0
1,1,11:43.0,Offensive rebound by A. Drummond,,0,0
2,1,11:42.0,A. Drummond makes 2-pt layup from 2 ft,,2,0
3,1,11:25.0,,T. Hardaway misses 2-pt jump shot from 17 ft,2,0
4,1,11:23.0,Defensive rebound by S. Johnson,,2,0
5,1,11:18.0,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Johnson),,5,0
6,1,10:58.0,,C. Lee misses 3-pt jump shot from 25 ft,5,0
7,1,10:55.0,Defensive rebound by A. Drummond,,5,0
8,1,10:49.0,Turnover by A. Bradley (bad pass; steal by C. Lee),,5,0
9,1,10:35.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,5,2
10,1,10:35.0,,Shooting foul by S. Johnson (drawn by K. Porziņģis),5,2
11,1,10:35.0,,K. Porziņģis makes free throw 1 of 1,5,3
12,1,10:21.0,T. Harris makes 2-pt dunk from 1 ft,,7,3
13,1,10:14.0,,T. Hardaway misses 3-pt jump shot from 25 ft,7,3
14,1,10:12.0,Defensive rebound by A. Drummond,,7,3
15,1,10:04.0,T. Harris misses 2-pt jump shot from 9 ft,,7,3
16,1,10:02.0,,Defensive rebound by Team,7,3
17,1,9:46.0,,R. Sessions misses 3-pt jump shot from 25 ft,7,3
18,1,9:43.0,Defensive rebound by S. Johnson,,7,3
19,1,9:33.0,Shooting foul by E. Freedom (drawn by A. Drummond),,7,3
20,1,9:33.0,A. Drummond makes free throw 1 of 2,,8,3
21,1,9:33.0,A. Drummond makes free throw 2 of 2,,9,3
22,1,9:14.0,,E. Freedom makes 2-pt layup from 2 ft,9,5
23,1,9:00.0,R. Jackson misses 3-pt jump shot from 22 ft,,9,5
24,1,8:56.0,,Defensive rebound by C. Lee,9,5
25,1,8:50.0,,C. Lee misses 2-pt layup from 3 ft,9,5
26,1,8:42.0,,Offensive rebound by E. Freedom,9,5
27,1,8:42.0,,E. Freedom makes 2-pt layup at rim,9,7
28,1,8:32.0,A. Bradley misses 2-pt jump shot from 19 ft,,9,7
29,1,8:29.0,,Defensive rebound by K. Porziņģis,9,7
30,1,8:23.0,,R. Sessions misses 2-pt jump shot from 8 ft,9,7
31,1,8:18.0,,Offensive rebound by E. Freedom,9,7
32,1,8:17.0,,E. Freedom makes 2-pt layup from 1 ft,9,9
33,1,8:13.0,Detroit full timeout,,9,9
34,1,8:13.0,Away from play foul by R. Sessions (drawn by R. Jackson),,9,9
35,1,8:13.0,R. Jackson makes free throw 1 of 1,,10,9
36,1,8:01.0,S. Johnson misses 3-pt jump shot from 22 ft,,10,9
37,1,7:58.0,,Defensive rebound by K. Porziņģis,10,9
38,1,7:44.0,,R. Sessions misses 3-pt jump shot from 25 ft,10,9
39,1,7:44.0,,Offensive rebound by E. Freedom,10,9
40,1,7:38.0,,E. Freedom makes 2-pt layup at rim,10,11
41,1,7:17.0,T. Harris misses 2-pt jump shot from 17 ft,,10,11
42,1,7:15.0,,Defensive rebound by E. Freedom,10,11
43,1,7:15.0,,Offensive foul by T. Hardaway (drawn by T. Harris),10,11
44,1,7:15.0,,Turnover by T. Hardaway (offensive foul),10,11
45,1,6:51.0,T. Harris misses 3-pt jump shot from 26 ft,,10,11
46,1,6:48.0,Offensive rebound by R. Jackson,,10,11
47,1,6:42.0,Turnover by S. Johnson (lost ball; steal by C. Lee),,10,11
48,1,6:34.0,,R. Sessions misses 3-pt jump shot from 23 ft,10,11
49,1,6:32.0,Defensive rebound by S. Johnson,,10,11
50,1,6:20.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by R. Jackson),,13,11
51,1,6:10.0,,T. Hardaway misses 2-pt dunk at rim,13,11
52,1,6:08.0,Defensive rebound by S. Johnson,,13,11
53,1,6:04.0,Turnover by S. Johnson (bad pass; steal by K. Porziņģis),,13,11
54,1,5:54.0,,Shooting foul by R. Jackson (drawn by R. Sessions),13,11
55,1,5:54.0,,R. Sessions makes free throw 1 of 2,13,12
56,1,5:54.0,,D. McDermott enters the game for C. Lee,13,12
57,1,5:54.0,,R. Sessions makes free throw 2 of 2,13,13
58,1,5:32.0,R. Jackson makes 2-pt jump shot from 16 ft,,15,13
59,1,5:13.0,,K. Porziņģis makes 2-pt jump shot from 13 ft,15,15
60,1,4:57.0,T. Harris misses 2-pt layup from 2 ft,,15,15
61,1,4:55.0,Offensive rebound by T. Harris,,15,15
62,1,4:50.0,T. Harris makes 2-pt dunk from 1 ft,,17,15
63,1,4:35.0,,K. Porziņģis makes 2-pt jump shot from 9 ft,17,17
64,1,4:35.0,,Shooting foul by S. Johnson (drawn by K. Porziņģis),17,17
65,1,4:35.0,I. Smith enters the game for R. Jackson,,17,17
66,1,4:35.0,J. Leuer enters the game for S. Johnson,,17,17
67,1,4:35.0,,K. Porziņģis makes free throw 1 of 1,17,18
68,1,4:19.0,T. Harris misses 2-pt jump shot from 10 ft,,17,18
69,1,4:17.0,,Defensive rebound by R. Sessions,17,18
70,1,4:03.0,,T. Hardaway misses 3-pt jump shot from 25 ft,17,18
71,1,4:02.0,,Offensive rebound by E. Freedom,17,18
72,1,4:02.0,,E. Freedom misses 2-pt layup at rim,17,18
73,1,4:02.0,Defensive rebound by Team,,17,18
74,1,4:02.0,,Loose ball foul by E. Freedom (drawn by A. Drummond),17,18
75,1,4:02.0,,K. O'Quinn enters the game for E. Freedom,17,18
76,1,3:47.0,A. Bradley misses 2-pt layup from 1 ft (block by D. McDermott),,17,18
77,1,3:44.0,,Defensive rebound by R. Sessions,17,18
78,1,3:44.0,,Shooting foul by I. Smith (drawn by T. Hardaway),17,18
79,1,3:44.0,,T. Hardaway makes free throw 1 of 2,17,19
80,1,3:44.0,,T. Hardaway makes free throw 2 of 2,17,20
81,1,3:20.0,A. Bradley misses 2-pt layup from 2 ft,,17,20
82,1,3:18.0,,Defensive rebound by R. Sessions,17,20
83,1,3:12.0,,T. Hardaway misses 3-pt jump shot from 25 ft,17,20
84,1,3:10.0,Defensive rebound by A. Drummond,,17,20
85,1,3:05.0,A. Bradley misses 3-pt jump shot from 24 ft,,17,20
86,1,3:02.0,,Defensive rebound by K. O'Quinn,17,20
87,1,2:52.0,,Personal foul by J. Leuer (drawn by K. Porziņģis),17,20
88,1,2:52.0,,New York full timeout,17,20
89,1,2:52.0,L. Kennard enters the game for A. Bradley,,17,20
90,1,2:52.0,,K. Porziņģis misses free throw 1 of 2,17,20
91,1,2:52.0,,Offensive rebound by Team,17,20
92,1,2:52.0,,K. Porziņģis makes free throw 2 of 2,17,21
