,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
0,1,11:44.0,,Turnover by J. Nurkić (bad pass; steal by L. Thomas),0,0
1,1,11:38.0,Shooting foul by C. McCollum (drawn by E. Freedom),,0,0
2,1,11:38.0,E. Freedom makes free throw 1 of 2,,1,0
3,1,11:38.0,E. Freedom makes free throw 2 of 2,,2,0
4,1,11:18.0,,C. McCollum misses 2-pt layup from 1 ft (block by F. Ntilikina),2,0
5,1,11:17.0,Defensive rebound by L. Thomas,,2,0
6,1,11:11.0,L. Thomas makes 3-pt jump shot from 24 ft (assist by E. Freedom),,5,0
7,1,10:53.0,,Offensive foul by J. Nurkić (drawn by T. Hardaway),5,0
8,1,10:53.0,,Turnover by J. Nurkić (offensive foul),5,0
9,1,10:36.0,Turnover by L. Thomas (traveling),,5,0
10,1,10:26.0,,J. Nurkić misses 2-pt layup at rim,5,0
11,1,10:24.0,Defensive rebound by E. Freedom,,5,0
12,1,10:16.0,L. Thomas makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),,8,0
13,1,10:03.0,,E. Turner makes 2-pt jump shot from 9 ft,8,2
14,1,9:48.0,F. Ntilikina misses 2-pt layup from 2 ft,,8,2
15,1,9:46.0,,Defensive rebound by C. McCollum,8,2
16,1,9:42.0,,C. McCollum misses 2-pt jump shot from 15 ft,8,2
17,1,9:40.0,Defensive rebound by E. Freedom,,8,2
18,1,9:30.0,T. Hardaway misses 2-pt jump shot from 8 ft,,8,2
19,1,9:28.0,,Defensive rebound by J. Nurkić,8,2
20,1,9:19.0,,Personal foul by L. Thomas (drawn by D. Lillard),8,2
21,1,9:13.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by E. Turner),8,5
22,1,8:52.0,E. Freedom makes 2-pt layup from 1 ft,,10,5
23,1,8:37.0,,Shooting foul by F. Ntilikina (drawn by D. Lillard),10,5
24,1,8:37.0,,D. Lillard misses free throw 1 of 3,10,5
25,1,8:37.0,,Offensive rebound by Team,10,5
26,1,8:37.0,,D. Lillard makes free throw 2 of 3,10,6
27,1,8:37.0,,D. Lillard makes free throw 3 of 3,10,7
