,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:46.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by M. Kleber),0,3
1,1,11:27.0,Personal foul by M. Kleber (drawn by J. Harden),,0,3
2,1,11:19.0,J. Harden makes 3-pt jump shot from 25 ft,,3,3
3,1,10:59.0,,H. Barnes misses 2-pt jump shot from 6 ft,3,3
4,1,10:57.0,Defensive rebound by R. Anderson,,3,3
5,1,10:44.0,C. Paul makes 3-pt jump shot from 23 ft (assist by J. Harden),,6,3
6,1,10:35.0,,Turnover by D. Smith (bad pass; steal by T. Ariza),6,3
7,1,10:33.0,T. Ariza makes 2-pt dunk from 1 ft,,8,3
8,1,10:33.0,,Dallas full timeout,8,3
9,1,10:21.0,,Turnover by H. Barnes (turnover),8,3
10,1,10:09.0,C. Capela makes 2-pt dunk at rim (assist by T. Ariza),,10,3
11,1,9:48.0,,D. Smith misses 3-pt jump shot from 25 ft,10,3
12,1,9:41.0,Defensive rebound by R. Anderson,,10,3
13,1,9:29.0,Shooting foul by W. Matthews (drawn by R. Anderson),,10,3
14,1,9:29.0,R. Anderson misses free throw 1 of 2,,10,3
15,1,9:29.0,Offensive rebound by Team,,10,3
16,1,9:29.0,,Y. Ferrell enters the game for M. Kleber,10,3
17,1,9:29.0,R. Anderson makes free throw 2 of 2,,11,3
18,1,9:17.0,,H. Barnes makes 2-pt layup from 3 ft (assist by Y. Ferrell),11,5
19,1,9:00.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,14,5
20,1,8:36.0,,H. Barnes makes 2-pt jump shot from 6 ft (assist by D. Nowitzki),14,7
21,1,8:23.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,17,7
22,1,8:07.0,,W. Matthews misses 3-pt jump shot from 26 ft,17,7
23,1,8:04.0,Defensive rebound by R. Anderson,,17,7
24,1,7:59.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,20,7
25,1,7:37.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by W. Matthews),20,10
26,1,7:18.0,C. Paul makes 3-pt jump shot from 25 ft,,23,10
27,1,6:57.0,,Shooting foul by C. Paul (drawn by D. Nowitzki),23,10
28,1,6:57.0,,D. Nowitzki misses free throw 1 of 2,23,10
29,1,6:57.0,,Offensive rebound by Team,23,10
30,1,6:57.0,E. Gordon enters the game for C. Paul,,23,10
31,1,6:57.0,,D. Nowitzki makes free throw 2 of 2,23,11
32,1,6:48.0,R. Anderson misses 3-pt jump shot from 27 ft,,23,11
33,1,6:44.0,,Defensive rebound by Y. Ferrell,23,11
34,1,6:31.0,,Turnover by W. Matthews (traveling),23,11
35,1,6:31.0,,S. Mejri enters the game for D. Nowitzki,23,11
36,1,6:21.0,E. Gordon misses 2-pt layup from 4 ft,,23,11
37,1,6:18.0,,Defensive rebound by S. Mejri,23,11
38,1,6:12.0,,D. Smith misses 2-pt layup from 2 ft,23,11
39,1,6:10.0,,Offensive rebound by S. Mejri,23,11
40,1,6:09.0,,S. Mejri misses 2-pt layup from 1 ft,23,11
41,1,6:08.0,Defensive rebound by Team,,23,11
42,1,6:08.0,P. Tucker enters the game for R. Anderson,,23,11
43,1,5:53.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,25,11
44,1,5:53.0,Shooting foul by S. Mejri (drawn by C. Capela),,25,11
45,1,5:53.0,C. Capela makes free throw 1 of 1,,26,11
46,1,5:34.0,,D. Smith misses 2-pt jump shot from 22 ft,26,11
47,1,5:29.0,,Offensive rebound by S. Mejri,26,11
