,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHARLOTTE_ACTION,NEW YORK_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,T. Hardaway makes 2-pt jump shot from 12 ft,,2,0
1,1,11:19.0,,D. Howard makes 2-pt layup from 2 ft (assist by M. Kidd-Gilchrist),2,2
2,1,11:06.0,Turnover by T. Hardaway (bad pass; steal by M. Williams),,2,2
3,1,10:59.0,,Turnover by M. Williams (bad pass),2,2
4,1,10:47.0,E. Freedom misses 2-pt layup from 1 ft (block by N. Batum),,2,2
5,1,10:47.0,,Defensive rebound by Team,2,2
6,1,10:36.0,,K. Walker misses 3-pt jump shot from 29 ft,2,2
7,1,10:34.0,Defensive rebound by Team,,2,2
8,1,10:20.0,M. Beasley misses 3-pt jump shot from 24 ft,,2,2
9,1,10:18.0,,Defensive rebound by Team,2,2
10,1,10:09.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,2,2
11,1,10:06.0,Defensive rebound by E. Freedom,,2,2
12,1,9:58.0,M. Beasley makes 2-pt jump shot from 13 ft,,4,2
13,1,9:41.0,,Turnover by D. Howard (traveling),4,2
14,1,9:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Hardaway),,4,2
15,1,9:29.0,T. Hardaway makes free throw 1 of 2,,5,2
16,1,9:29.0,T. Hardaway makes free throw 2 of 2,,6,2
17,1,9:18.0,,Personal foul by M. Beasley (drawn by M. Kidd-Gilchrist),6,2
18,1,9:09.0,,N. Batum makes 2-pt jump shot from 16 ft,6,4
19,1,9:09.0,,Shooting foul by L. Thomas (drawn by N. Batum),6,4
20,1,9:09.0,,N. Batum misses free throw 1 of 1,6,4
21,1,9:06.0,Defensive rebound by E. Freedom,,6,4
22,1,8:54.0,T. Burke misses 2-pt jump shot from 20 ft,,6,4
23,1,8:49.0,,Defensive rebound by D. Howard,6,4
24,1,8:33.0,,K. Walker makes 2-pt layup from 1 ft,6,6
25,1,8:10.0,E. Freedom misses 2-pt jump shot from 10 ft,,6,6
26,1,8:04.0,Offensive rebound by L. Thomas,,6,6
27,1,8:04.0,L. Thomas misses 2-pt layup at rim,,6,6
28,1,8:03.0,,Defensive rebound by N. Batum,6,6
29,1,7:59.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,6,6
30,1,7:56.0,,Offensive rebound by D. Howard,6,6
31,1,7:56.0,,D. Howard misses 2-pt layup at rim,6,6
32,1,7:55.0,Defensive rebound by M. Beasley,,6,6
33,1,7:49.0,Personal foul by M. Williams (drawn by T. Hardaway),,6,6
34,1,7:44.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by T. Burke),,9,6
35,1,7:26.0,,M. Williams makes 2-pt jump shot from 9 ft (assist by N. Batum),9,8
36,1,7:11.0,T. Burke makes 3-pt jump shot from 25 ft (assist by M. Beasley),,12,8
37,1,6:58.0,,K. Walker makes 2-pt layup from 1 ft,12,10
