,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,G. Antetokounmpo misses 2-pt layup at rim,0,0
1,1,11:41.0,Defensive rebound by F. Ntilikina,,0,0
2,1,11:32.0,T. Hardaway misses 3-pt jump shot from 25 ft,,0,0
3,1,11:25.0,,Defensive rebound by T. Snell,0,0
4,1,11:11.0,,J. Henson makes 2-pt dunk at rim (assist by E. Bledsoe),0,2
5,1,10:56.0,F. Ntilikina misses 2-pt layup from 2 ft (block by J. Henson),,0,2
6,1,10:52.0,Offensive rebound by E. Freedom,,0,2
7,1,10:52.0,E. Freedom makes 2-pt layup at rim,,2,2
8,1,10:52.0,,Milwaukee full timeout,2,2
9,1,10:25.0,,T. Snell misses 3-pt jump shot from 26 ft,2,2
10,1,10:23.0,Defensive rebound by E. Freedom,,2,2
11,1,10:14.0,Personal foul by E. Bledsoe (drawn by E. Mudiay),,2,2
12,1,10:00.0,T. Hardaway misses 3-pt jump shot from 27 ft,,2,2
13,1,9:56.0,,Defensive rebound by J. Henson,2,2
14,1,9:38.0,,K. Middleton makes 2-pt layup from 1 ft (assist by T. Snell),2,4
15,1,9:29.0,Turnover by F. Ntilikina (bad pass; steal by J. Henson),,2,4
16,1,9:10.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,2,4
17,1,9:06.0,Defensive rebound by T. Hardaway,,2,4
18,1,9:03.0,T. Hardaway makes 2-pt layup from 1 ft,,4,4
19,1,8:43.0,,K. Middleton misses 2-pt layup from 2 ft (block by E. Freedom),4,4
20,1,8:40.0,Defensive rebound by L. Thomas,,4,4
21,1,8:22.0,Turnover by L. Thomas (lost ball; steal by E. Bledsoe),,4,4
22,1,8:19.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),4,6
23,1,7:53.0,Turnover by E. Freedom (turnover; steal by G. Antetokounmpo),,4,6
24,1,7:44.0,,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),4,6
25,1,7:44.0,,G. Antetokounmpo makes free throw 1 of 2,4,7
26,1,7:44.0,,G. Antetokounmpo misses free throw 2 of 2,4,7
27,1,7:40.0,Defensive rebound by T. Hardaway,,4,7
28,1,7:32.0,E. Mudiay misses 3-pt jump shot from 26 ft,,4,7
29,1,7:28.0,,Defensive rebound by J. Henson,4,7
30,1,7:11.0,,K. Middleton misses 2-pt jump shot from 12 ft,4,7
31,1,7:08.0,Defensive rebound by F. Ntilikina,,4,7
32,1,7:05.0,L. Thomas makes 3-pt jump shot from 27 ft (assist by F. Ntilikina),,7,7
33,1,6:40.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by J. Henson),7,10
34,1,6:24.0,T. Hardaway misses 3-pt jump shot from 27 ft,,7,10
35,1,6:22.0,,Defensive rebound by K. Middleton,7,10
36,1,6:12.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,7,10
37,1,6:09.0,Defensive rebound by T. Hardaway,,7,10
38,1,5:53.0,F. Ntilikina misses 2-pt layup from 5 ft,,7,10
39,1,5:49.0,Offensive rebound by E. Freedom,,7,10
40,1,5:48.0,E. Freedom makes 2-pt layup at rim,,9,10
41,1,5:37.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,9,10
42,1,5:34.0,Defensive rebound by E. Freedom,,9,10
43,1,5:26.0,E. Mudiay misses 2-pt jump shot from 7 ft,,9,10
44,1,5:24.0,,Defensive rebound by E. Bledsoe,9,10
45,1,5:22.0,,Shooting foul by T. Hardaway (drawn by G. Antetokounmpo),9,10
46,1,5:22.0,,G. Antetokounmpo makes free throw 1 of 2,9,11
47,1,5:22.0,,S. Brown enters the game for T. Snell,9,11
48,1,5:22.0,,G. Antetokounmpo makes free throw 2 of 2,9,12
49,1,5:09.0,Turnover by E. Freedom (bad pass; steal by G. Antetokounmpo),,9,12
50,1,5:09.0,,Personal foul by T. Hardaway (drawn by G. Antetokounmpo),9,12
51,1,5:09.0,,J. Parker enters the game for G. Antetokounmpo,9,12
52,1,5:09.0,D. Dotson enters the game for T. Hardaway,,9,12
53,1,5:09.0,M. Beasley enters the game for L. Thomas,,9,12
54,1,5:04.0,,J. Henson makes 2-pt layup from 1 ft (assist by E. Bledsoe),9,14
55,1,4:41.0,D. Dotson misses 3-pt jump shot from 26 ft,,9,14
56,1,4:38.0,,Defensive rebound by J. Parker,9,14
57,1,4:35.0,,Shooting foul by D. Dotson (drawn by K. Middleton),9,14
58,1,4:35.0,,K. Middleton makes free throw 1 of 3,9,15
59,1,4:35.0,,K. Middleton makes free throw 2 of 3,9,16
60,1,4:35.0,,T. Zeller enters the game for J. Henson,9,16
61,1,4:35.0,T. Williams enters the game for E. Mudiay,,9,16
62,1,4:35.0,,K. Middleton makes free throw 3 of 3,9,17
63,1,4:21.0,M. Beasley makes 2-pt jump shot from 13 ft,,11,17
64,1,4:06.0,,T. Zeller makes 2-pt layup at rim (assist by E. Bledsoe),11,19
65,1,3:51.0,Turnover by D. Dotson (bad pass; steal by E. Bledsoe),,11,19
66,1,3:47.0,,Turnover by E. Bledsoe (bad pass; steal by E. Freedom),11,19
67,1,3:44.0,T. Williams makes 2-pt layup from 1 ft (assist by E. Freedom),,13,19
68,1,3:44.0,Shooting foul by T. Zeller (drawn by T. Williams),,13,19
69,1,3:44.0,,J. Terry enters the game for E. Bledsoe,13,19
70,1,3:44.0,K. O'Quinn enters the game for E. Freedom,,13,19
71,1,3:44.0,T. Williams makes free throw 1 of 1,,14,19
