,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Turnover by P. George (bad pass; steal by R. Hood),0,0
1,1,11:30.0,Turnover by R. Rubio (bad pass; steal by A. Roberson),,0,0
2,1,11:27.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),0,2
3,1,11:07.0,Turnover by R. Rubio (bad pass; steal by R. Westbrook),,0,2
4,1,11:03.0,,P. George misses 3-pt jump shot from 25 ft,0,2
5,1,11:00.0,Defensive rebound by J. Johnson,,0,2
6,1,10:54.0,Personal foul by S. Adams (drawn by R. Rubio),,0,2
7,1,10:42.0,R. Hood misses 3-pt jump shot from 22 ft,,0,2
8,1,10:39.0,,Defensive rebound by R. Westbrook,0,2
9,1,10:22.0,,R. Westbrook makes 2-pt jump shot from 17 ft,0,4
10,1,10:03.0,D. Favors misses 2-pt jump shot from 14 ft,,0,4
11,1,10:00.0,,Defensive rebound by C. Anthony,0,4
12,1,9:54.0,,S. Adams makes 2-pt layup from 1 ft (assist by P. George),0,6
13,1,9:54.0,,Shooting foul by D. Favors (drawn by S. Adams),0,6
14,1,9:54.0,,S. Adams makes free throw 1 of 1,0,7
15,1,9:39.0,R. Hood makes 2-pt jump shot from 6 ft,,2,7
16,1,9:17.0,,R. Westbrook makes 2-pt jump shot from 11 ft (assist by C. Anthony),2,9
17,1,8:55.0,R. Rubio misses 3-pt jump shot from 24 ft,,2,9
18,1,8:52.0,,Defensive rebound by R. Westbrook,2,9
19,1,8:48.0,,Turnover by P. George (bad pass),2,9
20,1,8:25.0,R. Hood misses 3-pt jump shot from 24 ft,,2,9
21,1,8:21.0,,Defensive rebound by S. Adams,2,9
22,1,8:17.0,,R. Westbrook makes 2-pt jump shot from 18 ft,2,11
23,1,8:15.0,Utah full timeout,,2,11
24,1,8:02.0,Turnover by R. Hood (bad pass),,2,11
25,1,7:46.0,,P. George misses 2-pt jump shot from 11 ft,2,11
26,1,7:43.0,Defensive rebound by J. Ingles,,2,11
27,1,7:24.0,J. Johnson misses 2-pt jump shot from 19 ft,,2,11
28,1,7:22.0,,Defensive rebound by C. Anthony,2,11
29,1,7:16.0,,S. Adams misses 2-pt hook shot from 6 ft,2,11
30,1,7:15.0,Defensive rebound by D. Favors,,2,11
31,1,6:59.0,Turnover by R. Rubio (bad pass; steal by R. Westbrook),,2,11
32,1,6:50.0,,C. Anthony misses 3-pt jump shot from 22 ft,2,11
33,1,6:47.0,,Offensive rebound by S. Adams,2,11
34,1,6:43.0,,A. Roberson makes 2-pt layup at rim (assist by S. Adams),2,13
35,1,6:32.0,J. Ingles misses 3-pt jump shot from 24 ft,,2,13
36,1,6:27.0,,Defensive rebound by C. Anthony,2,13
37,1,6:22.0,,R. Westbrook makes 2-pt jump shot from 20 ft,2,15
38,1,5:55.0,Turnover by J. Johnson (bad pass; steal by R. Westbrook),,2,15
39,1,5:51.0,,Shooting foul by J. Ingles (drawn by R. Westbrook),2,15
40,1,5:51.0,,R. Westbrook makes free throw 1 of 2,2,16
41,1,5:51.0,A. Burks enters the game for R. Rubio,,2,16
42,1,5:51.0,J. Jerebko enters the game for J. Johnson,,2,16
43,1,5:51.0,,R. Westbrook makes free throw 2 of 2,2,17
44,1,5:43.0,Shooting foul by R. Westbrook (drawn by D. Favors),,2,17
45,1,5:43.0,D. Favors misses free throw 1 of 2,,2,17
46,1,5:43.0,Offensive rebound by Team,,2,17
47,1,5:43.0,,Á. Abrines enters the game for A. Roberson,2,17
48,1,5:43.0,D. Favors makes free throw 2 of 2,,3,17
49,1,5:27.0,,C. Anthony misses 2-pt jump shot from 19 ft,3,17
50,1,5:25.0,Defensive rebound by J. Ingles,,3,17
51,1,5:10.0,J. Ingles misses 3-pt jump shot from 22 ft,,3,17
52,1,5:08.0,,Defensive rebound by P. George,3,17
53,1,5:04.0,,R. Westbrook makes 2-pt jump shot from 19 ft,3,19
54,1,4:42.0,T. Sefolosha enters the game for R. Hood,,3,19
55,1,4:38.0,A. Burks misses 3-pt jump shot from 24 ft,,3,19
56,1,4:37.0,Offensive rebound by D. Favors,,3,19
57,1,4:37.0,D. Favors makes 2-pt dunk at rim,,5,19
58,1,4:13.0,,C. Anthony makes 2-pt jump shot from 21 ft,5,21
59,1,3:56.0,D. Favors misses 2-pt jump shot from 14 ft,,5,21
60,1,3:56.0,,Defensive rebound by P. George,5,21
61,1,3:50.0,,Offensive foul by S. Adams (drawn by D. Favors),5,21
62,1,3:50.0,,Turnover by S. Adams (offensive foul),5,21
63,1,3:50.0,,J. Huestis enters the game for S. Adams,5,21
64,1,3:50.0,,J. Grant enters the game for P. George,5,21
65,1,3:50.0,E. Udoh enters the game for D. Favors,,5,21
66,1,3:35.0,J. Jerebko misses 3-pt jump shot from 24 ft,,5,21
67,1,3:31.0,,Defensive rebound by C. Anthony,5,21
68,1,3:24.0,Violation by E. Udoh (kicked ball),,5,21
69,1,3:15.0,,C. Anthony misses 2-pt jump shot from 19 ft,5,21
70,1,3:12.0,Defensive rebound by J. Ingles,,5,21
71,1,2:59.0,Personal block foul by Á. Abrines (drawn by J. Ingles),,5,21
72,1,2:59.0,,Oklahoma City full timeout,5,21
73,1,2:59.0,,R. Felton enters the game for R. Westbrook,5,21
74,1,2:59.0,R. Rubio enters the game for J. Ingles,,5,21
75,1,2:48.0,Turnover by A. Burks (lost ball; steal by R. Felton),,5,21
76,1,2:30.0,,Shooting foul by J. Jerebko (drawn by C. Anthony),5,21
77,1,2:30.0,,C. Anthony makes free throw 1 of 2,5,22
78,1,2:30.0,,C. Anthony makes free throw 2 of 2,5,23
79,1,2:15.0,A. Burks makes 2-pt jump shot from 16 ft,,7,23
80,1,1:55.0,,J. Grant misses 2-pt layup from 1 ft,7,23
81,1,1:54.0,Defensive rebound by A. Burks,,7,23
82,1,1:49.0,A. Burks misses 2-pt layup from 2 ft (block by J. Grant),,7,23
83,1,1:47.0,Offensive rebound by J. Jerebko,,7,23
84,1,1:45.0,R. Rubio misses 3-pt jump shot from 26 ft,,7,23
85,1,1:45.0,Offensive rebound by J. Jerebko,,7,23
86,1,1:42.0,Turnover by J. Jerebko (bad pass; steal by R. Felton),,7,23
87,1,1:42.0,,Oklahoma City full timeout,7,23
88,1,1:42.0,,P. Patterson enters the game for C. Anthony,7,23
89,1,1:31.0,,R. Felton makes 2-pt layup from 1 ft,7,25
90,1,1:27.0,Personal take foul by J. Grant (drawn by R. Rubio),,7,25
91,1,1:14.0,A. Burks misses 3-pt jump shot from 24 ft,,7,25
92,1,1:13.0,,Defensive rebound by Á. Abrines,7,25
93,1,0:56.0,,P. Patterson misses 2-pt jump shot from 14 ft,7,25
94,1,0:53.0,Defensive rebound by T. Sefolosha,,7,25
95,1,0:37.0,A. Burks misses 2-pt layup from 4 ft (block by J. Huestis),,7,25
96,1,0:35.0,,Defensive rebound by Team,7,25
97,1,0:25.0,,Turnover by Á. Abrines (lost ball; steal by T. Sefolosha),7,25
98,1,0:21.0,T. Sefolosha makes 2-pt layup from 2 ft,,9,25
99,1,0:02.0,,R. Felton misses 3-pt jump shot from 26 ft,9,25
100,1,0:02.0,Defensive rebound by T. Sefolosha,,9,25
101,2,11:45.0,E. Udoh misses 2-pt layup from 2 ft,,9,25
102,2,11:43.0,Offensive rebound by E. Udoh,,9,25
103,2,11:41.0,J. Jerebko makes 3-pt jump shot from 22 ft (assist by E. Udoh),,12,25
104,2,11:22.0,,R. Felton makes 3-pt jump shot from 23 ft (assist by P. Patterson),12,28
105,2,11:00.0,R. Rubio makes 2-pt jump shot from 18 ft,,14,28
106,2,10:37.0,,R. Felton misses 3-pt jump shot from 22 ft,14,28
107,2,10:34.0,Defensive rebound by T. Sefolosha,,14,28
108,2,10:25.0,J. Jerebko misses 2-pt layup at rim (block by J. Grant),,14,28
109,2,10:24.0,Offensive rebound by E. Udoh,,14,28
110,2,10:24.0,Shooting foul by P. Patterson (drawn by E. Udoh),,14,28
111,2,10:24.0,E. Udoh misses free throw 1 of 2,,14,28
112,2,10:24.0,Offensive rebound by Team,,14,28
113,2,10:24.0,J. Johnson enters the game for J. Jerebko,,14,28
114,2,10:24.0,E. Udoh makes free throw 2 of 2,,15,28
115,2,10:09.0,,Offensive foul by P. Patterson (drawn by R. Rubio),15,28
116,2,10:09.0,,Turnover by P. Patterson (offensive foul),15,28
117,2,9:56.0,Turnover by E. Udoh (turnover),,15,28
118,2,9:33.0,,J. Grant makes 3-pt jump shot from 26 ft,15,31
119,2,9:12.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,18,31
120,2,9:02.0,,P. George misses 3-pt jump shot from 25 ft (block by T. Sefolosha),18,31
121,2,9:00.0,Defensive rebound by E. Udoh,,18,31
122,2,8:52.0,T. Sefolosha makes 2-pt layup at rim (assist by R. Rubio),,20,31
123,2,8:35.0,,Offensive foul by P. Patterson (drawn by E. Udoh),20,31
124,2,8:35.0,,Turnover by P. Patterson (offensive foul),20,31
125,2,8:35.0,,R. Westbrook enters the game for R. Felton,20,31
126,2,8:35.0,,S. Adams enters the game for P. Patterson,20,31
127,2,8:22.0,R. Hood makes 3-pt jump shot from 24 ft (assist by E. Udoh),,23,31
128,2,8:07.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by P. George),23,33
129,2,7:53.0,Offensive foul by T. Sefolosha (drawn by J. Grant),,23,33
130,2,7:53.0,Turnover by T. Sefolosha (offensive foul),,23,33
131,2,7:53.0,,A. Roberson enters the game for Á. Abrines,23,33
132,2,7:53.0,J. Ingles enters the game for T. Sefolosha,,23,33
133,2,7:53.0,D. Favors enters the game for E. Udoh,,23,33
134,2,7:37.0,,R. Westbrook misses 2-pt jump shot from 21 ft,23,33
135,2,7:34.0,Defensive rebound by J. Johnson,,23,33
136,2,7:28.0,Turnover by R. Hood (lost ball; steal by P. George),,23,33
137,2,7:24.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),23,35
138,2,7:08.0,Turnover by R. Rubio (lost ball; steal by P. George),,23,35
139,2,7:04.0,,R. Westbrook makes 2-pt layup at rim (assist by P. George),23,37
140,2,7:04.0,Utah full timeout,,23,37
141,2,7:04.0,A. Burks enters the game for R. Hood,,23,37
142,2,6:44.0,J. Johnson misses 3-pt jump shot from 23 ft,,23,37
143,2,6:42.0,,Defensive rebound by S. Adams,23,37
144,2,6:21.0,,P. George makes 3-pt jump shot from 22 ft (assist by R. Westbrook),23,40
145,2,5:56.0,R. Rubio misses 3-pt jump shot from 25 ft,,23,40
146,2,5:54.0,,Defensive rebound by S. Adams,23,40
147,2,5:46.0,,Turnover by R. Westbrook (bad pass; steal by R. Rubio),23,40
148,2,5:42.0,R. Rubio misses 2-pt layup from 1 ft,,23,40
149,2,5:42.0,Offensive rebound by J. Ingles,,23,40
150,2,5:42.0,Personal foul by R. Westbrook (drawn by J. Ingles),,23,40
151,2,5:42.0,,C. Anthony enters the game for J. Grant,23,40
152,2,5:42.0,,J. Huestis enters the game for P. George,23,40
153,2,5:42.0,T. Sefolosha enters the game for R. Rubio,,23,40
154,2,5:30.0,Turnover by J. Johnson (lost ball; steal by R. Westbrook),,23,40
155,2,5:30.0,,Personal foul by J. Johnson (drawn by R. Westbrook),23,40
156,2,5:20.0,,R. Westbrook makes 2-pt dunk from 1 ft,23,42
157,2,4:58.0,J. Johnson makes 2-pt jump shot from 15 ft,,25,42
158,2,4:38.0,,R. Westbrook makes 2-pt layup from 1 ft,25,44
159,2,4:20.0,D. Favors makes 2-pt layup at rim (assist by A. Burks),,27,44
160,2,4:00.0,,Turnover by C. Anthony (bad pass; steal by A. Burks),27,44
161,2,3:55.0,T. Sefolosha makes 2-pt dunk from 1 ft (assist by A. Burks),,29,44
162,2,3:35.0,,C. Anthony makes 2-pt layup from 1 ft (assist by R. Westbrook),29,46
