,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
0,1,11:46.0,R. Anderson misses 3-pt jump shot from 22 ft,,0,0
1,1,11:42.0,Offensive rebound by T. Ariza,,0,0
2,1,11:38.0,E. Gordon makes 3-pt jump shot from 27 ft,,3,0
3,1,11:19.0,,A. Horford misses 2-pt jump shot from 11 ft,3,0
4,1,11:16.0,Defensive rebound by J. Harden,,3,0
5,1,11:10.0,Turnover by J. Harden (bad pass; steal by A. Horford),,3,0
6,1,11:08.0,Offensive charge foul by A. Horford (drawn by R. Anderson),,3,0
7,1,11:08.0,,Turnover by A. Horford (offensive foul),3,0
8,1,10:55.0,N. Hilário makes 2-pt dunk from 1 ft (assist by E. Gordon),,5,0
9,1,10:39.0,,J. Tatum misses 2-pt jump shot from 19 ft,5,0
10,1,10:35.0,Defensive rebound by T. Ariza,,5,0
11,1,10:31.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by E. Gordon),,8,0
12,1,10:21.0,,Turnover by M. Smart (bad pass; steal by N. Hilário),8,0
13,1,10:14.0,J. Harden misses 3-pt jump shot from 22 ft,,8,0
14,1,10:12.0,,Defensive rebound by A. Horford,8,0
15,1,10:04.0,,M. Smart misses 2-pt jump shot from 18 ft,8,0
16,1,10:00.0,Defensive rebound by N. Hilário,,8,0
17,1,9:45.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),,10,0
18,1,9:20.0,,Turnover by M. Smart (lost ball; steal by N. Hilário),10,0
19,1,9:02.0,J. Harden makes 2-pt layup from 1 ft,,12,0
20,1,9:00.0,,Boston full timeout,12,0
21,1,9:00.0,,A. Nader enters the game for A. Baynes,12,0
22,1,8:46.0,,K. Irving misses 3-pt jump shot from 26 ft,12,0
23,1,8:44.0,Defensive rebound by R. Anderson,,12,0
24,1,8:36.0,N. Hilário misses 2-pt hook shot from 1 ft,,12,0
25,1,8:33.0,,Defensive rebound by A. Horford,12,0
26,1,8:29.0,,K. Irving misses 2-pt layup from 1 ft,12,0
27,1,8:26.0,Defensive rebound by J. Harden,,12,0
28,1,8:22.0,R. Anderson misses 3-pt jump shot from 28 ft,,12,0
29,1,8:19.0,,Defensive rebound by A. Horford,12,0
30,1,8:12.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by A. Nader),12,3
31,1,7:51.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,14,3
32,1,7:36.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by A. Horford),14,6
33,1,7:19.0,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Harden),,16,6
34,1,7:02.0,,J. Tatum misses 2-pt jump shot from 8 ft,16,6
35,1,7:00.0,Defensive rebound by N. Hilário,,16,6
36,1,6:41.0,J. Harden makes 2-pt layup from 1 ft,,18,6
37,1,6:27.0,,J. Tatum makes 2-pt dunk at rim (assist by M. Smart),18,8
38,1,6:09.0,T. Ariza misses 2-pt hook shot from 8 ft,,18,8
39,1,6:09.0,,Defensive rebound by Team,18,8
40,1,6:09.0,Loose ball foul by N. Hilário (drawn by M. Smart),,18,8
41,1,5:50.0,,K. Irving makes 2-pt jump shot from 7 ft,18,10
42,1,5:38.0,R. Anderson makes 3-pt jump shot from 32 ft (assist by J. Harden),,21,10
43,1,5:25.0,,M. Smart misses 3-pt jump shot from 22 ft,21,10
44,1,5:22.0,Defensive rebound by T. Ariza,,21,10
45,1,5:18.0,E. Gordon misses 2-pt layup from 2 ft,,21,10
46,1,5:15.0,,Defensive rebound by A. Horford,21,10
47,1,5:12.0,,T. Rozier enters the game for J. Tatum,21,10
48,1,5:12.0,,D. Theis enters the game for A. Horford,21,10
49,1,5:12.0,B. Weber enters the game for E. Gordon,,21,10
50,1,5:12.0,T. Black enters the game for R. Anderson,,21,10
51,1,5:12.0,P. Tucker enters the game for N. Hilário,,21,10
52,1,5:06.0,,Turnover by D. Theis (bad pass),21,10
53,1,5:00.0,J. Harden misses 2-pt layup from 3 ft (block by K. Irving),,21,10
54,1,5:00.0,,Defensive rebound by Team,21,10
55,1,4:48.0,,Turnover by K. Irving (bad pass),21,10
56,1,4:48.0,,M. Morris enters the game for M. Smart,21,10
57,1,4:39.0,Shooting foul by A. Nader (drawn by J. Harden),,21,10
58,1,4:39.0,J. Harden makes free throw 1 of 2,,22,10
59,1,4:39.0,G. Green enters the game for T. Ariza,,22,10
60,1,4:39.0,J. Harden makes free throw 2 of 2,,23,10
61,1,4:17.0,,Turnover by M. Morris (lost ball; steal by P. Tucker),23,10
62,1,4:11.0,J. Harden misses 3-pt jump shot from 25 ft,,23,10
63,1,4:07.0,,Defensive rebound by A. Nader,23,10
64,1,4:03.0,,Turnover by K. Irving (lost ball; steal by B. Weber),23,10
65,1,3:58.0,B. Weber makes 2-pt layup from 1 ft,,25,10
66,1,3:39.0,,Personal foul by G. Green (drawn by T. Rozier),25,10
67,1,3:31.0,,M. Morris misses 2-pt layup from 2 ft (block by T. Black),25,10
68,1,3:27.0,Defensive rebound by G. Green,,25,10
69,1,3:27.0,Shooting foul by T. Rozier (drawn by B. Weber),,25,10
70,1,3:27.0,B. Weber makes free throw 1 of 2,,26,10
71,1,3:27.0,B. Weber makes free throw 2 of 2,,27,10
72,1,3:19.0,Offensive charge foul by M. Morris (drawn by T. Black),,27,10
