,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
0,1,11:43.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Sabonis,0,0
2,1,11:24.0,,Def 3 sec tech foul by Z. Randolph,0,0
3,1,11:24.0,,D. Collison makes technical free throw,0,1
4,1,11:15.0,,T. Young misses 3-pt jump shot from 27 ft,0,1
5,1,11:11.0,Defensive rebound by G. Hill,,0,1
6,1,10:53.0,G. Hill misses 2-pt layup from 1 ft,,0,1
7,1,10:50.0,,Defensive rebound by D. Sabonis,0,1
8,1,10:45.0,,Shooting foul by B. Bogdanović (drawn by D. Collison),0,1
9,1,10:45.0,,D. Collison makes free throw 1 of 2,0,2
10,1,10:45.0,,D. Collison makes free throw 2 of 2,0,3
11,1,10:31.0,B. Hield misses 2-pt jump shot from 16 ft,,0,3
12,1,10:27.0,,Defensive rebound by D. Sabonis,0,3
13,1,10:15.0,,T. Young makes 2-pt jump shot from 5 ft (assist by D. Sabonis),0,5
14,1,9:51.0,Turnover by W. Cauley-Stein (lost ball; steal by B. Bogdanović),,0,5
15,1,9:46.0,,T. Young makes 2-pt layup from 1 ft (assist by B. Bogdanović),0,7
16,1,9:22.0,Turnover by B. Bogdanović (bad pass),,0,7
17,1,9:05.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,7
18,1,9:03.0,,Offensive rebound by D. Sabonis,0,7
19,1,9:03.0,,D. Sabonis makes 2-pt layup at rim,0,9
20,1,8:57.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by G. Hill),,2,9
21,1,8:48.0,,Shooting foul by Z. Randolph (drawn by D. Sabonis),2,9
22,1,8:48.0,,D. Sabonis makes free throw 1 of 2,2,10
23,1,8:48.0,,D. Sabonis makes free throw 2 of 2,2,11
24,1,8:31.0,Z. Randolph misses 2-pt jump shot from 16 ft,,2,11
25,1,8:29.0,,Defensive rebound by D. Sabonis,2,11
26,1,8:14.0,,T. Young misses 2-pt jump shot from 1 ft,2,11
27,1,8:11.0,Defensive rebound by B. Hield,,2,11
28,1,7:55.0,Z. Randolph misses 3-pt jump shot from 22 ft,,2,11
29,1,7:52.0,,Defensive rebound by D. Sabonis,2,11
30,1,7:49.0,,Turnover by V. Oladipo (bad pass),2,11
31,1,7:34.0,W. Cauley-Stein misses 2-pt jump shot from 8 ft,,2,11
32,1,7:32.0,Offensive rebound by Z. Randolph,,2,11
33,1,7:31.0,Z. Randolph makes 2-pt layup from 1 ft,,4,11
34,1,7:09.0,,D. Sabonis makes 2-pt hook shot from 5 ft (assist by D. Collison),4,13
35,1,7:09.0,,Shooting foul by Z. Randolph (drawn by D. Sabonis),4,13
36,1,7:09.0,,D. Sabonis misses free throw 1 of 1,4,13
37,1,7:07.0,Defensive rebound by B. Bogdanović,,4,13
38,1,6:52.0,B. Hield misses 2-pt jump shot from 6 ft,,4,13
39,1,6:50.0,,Defensive rebound by D. Sabonis,4,13
40,1,6:45.0,,Indiana full timeout,4,13
41,1,6:45.0,D. Fox enters the game for Z. Randolph,,4,13
42,1,6:45.0,S. Labissière enters the game for B. Hield,,4,13
43,1,6:35.0,,V. Oladipo makes 2-pt dunk at rim (assist by D. Sabonis),4,15
44,1,6:17.0,S. Labissière misses 2-pt layup from 3 ft,,4,15
45,1,6:15.0,,Defensive rebound by V. Oladipo,4,15
46,1,6:12.0,,D. Collison misses 3-pt jump shot from 27 ft,4,15
47,1,6:07.0,,Offensive rebound by B. Bogdanović,4,15
48,1,6:01.0,,D. Sabonis misses 2-pt jump shot from 13 ft,4,15
49,1,5:59.0,Defensive rebound by G. Hill,,4,15
50,1,5:41.0,D. Fox misses 2-pt jump shot from 5 ft (block by V. Oladipo),,4,15
51,1,5:39.0,Offensive rebound by D. Fox,,4,15
52,1,5:39.0,K. Koufos enters the game for W. Cauley-Stein,,4,15
53,1,5:28.0,S. Labissière misses 2-pt hook shot from 5 ft,,4,15
54,1,5:26.0,,Defensive rebound by D. Sabonis,4,15
55,1,5:16.0,,V. Oladipo misses 2-pt jump shot from 19 ft,4,15
56,1,5:14.0,Defensive rebound by S. Labissière,,4,15
57,1,5:06.0,G. Hill misses 2-pt jump shot from 7 ft,,4,15
58,1,5:04.0,,Defensive rebound by D. Sabonis,4,15
59,1,4:58.0,,V. Oladipo misses 2-pt layup at rim,4,15
60,1,4:56.0,Defensive rebound by G. Hill,,4,15
61,1,4:43.0,D. Fox misses 3-pt jump shot from 26 ft,,4,15
62,1,4:39.0,,Defensive rebound by B. Bogdanović,4,15
63,1,4:36.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,4,17
64,1,4:27.0,Sacramento full timeout,,4,17
65,1,4:27.0,,L. Stephenson enters the game for D. Sabonis,4,17
66,1,4:27.0,,A. Jefferson enters the game for B. Bogdanović,4,17
67,1,4:16.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,4,17
68,1,4:14.0,,Defensive rebound by T. Young,4,17
69,1,3:56.0,,T. Young misses 2-pt jump shot from 9 ft,4,17
70,1,3:53.0,Defensive rebound by K. Koufos,,4,17
71,1,3:45.0,K. Koufos makes 2-pt layup from 1 ft (assist by D. Fox),,6,17
72,1,3:29.0,,A. Jefferson misses 2-pt jump shot from 17 ft,6,17
73,1,3:24.0,Defensive rebound by B. Bogdanović,,6,17
74,1,3:23.0,Personal foul by V. Oladipo (drawn by G. Hill),,6,17
75,1,3:23.0,,C. Joseph enters the game for D. Collison,6,17
76,1,3:23.0,J. Jackson enters the game for G. Hill,,6,17
77,1,3:13.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by K. Koufos),,8,17
78,1,2:50.0,,T. Young makes 2-pt layup at rim,8,19
79,1,2:29.0,Turnover by J. Jackson (traveling),,8,19
80,1,2:29.0,,T. Leaf enters the game for T. Young,8,19
81,1,2:19.0,,Turnover by V. Oladipo (lost ball; steal by S. Labissière),8,19
82,1,2:07.0,Shooting foul by A. Jefferson (drawn by S. Labissière),,8,19
83,1,2:07.0,S. Labissière misses free throw 1 of 2,,8,19
84,1,2:07.0,Offensive rebound by Team,,8,19
85,1,2:07.0,S. Labissière misses free throw 2 of 2,,8,19
86,1,2:04.0,,Defensive rebound by L. Stephenson,8,19
87,1,1:51.0,,L. Stephenson misses 2-pt jump shot from 12 ft,8,19
88,1,1:47.0,Defensive rebound by S. Labissière,,8,19
89,1,1:43.0,D. Fox makes 2-pt jump shot from 15 ft,,10,19
90,1,1:28.0,,C. Joseph makes 2-pt jump shot from 17 ft (assist by A. Jefferson),10,21
91,1,1:14.0,K. Koufos misses 2-pt jump shot from 6 ft,,10,21
92,1,1:11.0,,Defensive rebound by A. Jefferson,10,21
93,1,1:02.0,,V. Oladipo makes 2-pt layup from 1 ft,10,23
94,1,0:56.0,Personal foul by L. Stephenson (drawn by B. Bogdanović),,10,23
95,1,0:56.0,M. Richardson enters the game for B. Bogdanović,,10,23
96,1,0:46.0,Turnover by K. Koufos (bad pass; steal by V. Oladipo),,10,23
97,1,0:44.0,,Shooting foul by K. Koufos (drawn by V. Oladipo),10,23
98,1,0:44.0,,V. Oladipo makes free throw 1 of 2,10,24
99,1,0:44.0,,V. Oladipo misses free throw 2 of 2,10,24
100,1,0:42.0,Defensive rebound by K. Koufos,,10,24
101,1,0:29.0,Shooting foul by A. Jefferson (drawn by K. Koufos),,10,24
102,1,0:29.0,K. Koufos misses free throw 1 of 2,,10,24
103,1,0:29.0,Offensive rebound by Team,,10,24
104,1,0:29.0,K. Koufos makes free throw 2 of 2,,11,24
105,1,0:12.0,,Turnover by C. Joseph (bad pass; steal by J. Jackson),11,24
