,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
0,1,11:42.0,,Turnover by B. Griffin (bad pass; steal by A. Davis),0,0
1,1,11:35.0,E. Okafor misses 2-pt jump shot from 16 ft,,0,0
2,1,11:32.0,,Defensive rebound by A. Drummond,0,0
3,1,11:20.0,,A. Drummond misses 2-pt hook shot from 9 ft,0,0
4,1,11:18.0,Defensive rebound by E. Moore,,0,0
5,1,11:08.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by E. Moore),,3,0
6,1,10:45.0,,I. Smith misses 2-pt layup from 3 ft,3,0
7,1,10:43.0,Defensive rebound by R. Rondo,,3,0
8,1,10:39.0,R. Rondo misses 2-pt layup from 3 ft,,3,0
9,1,10:34.0,Offensive rebound by E. Okafor,,3,0
10,1,10:34.0,E. Okafor makes 2-pt layup at rim,,5,0
11,1,10:24.0,,I. Smith makes 2-pt layup from 1 ft,5,2
12,1,10:14.0,J. Holiday makes 2-pt layup from 2 ft (assist by R. Rondo),,7,2
13,1,9:59.0,,Shooting foul by E. Moore (drawn by R. Bullock),7,2
14,1,9:59.0,,R. Bullock makes free throw 1 of 2,7,3
15,1,9:59.0,,R. Bullock makes free throw 2 of 2,7,4
16,1,9:48.0,,Violation by A. Drummond (kicked ball),7,4
17,1,9:36.0,A. Davis misses 3-pt jump shot from 22 ft,,7,4
18,1,9:33.0,,Defensive rebound by R. Bullock,7,4
19,1,9:29.0,,Offensive foul by B. Griffin (drawn by R. Rondo),7,4
20,1,9:29.0,,Turnover by B. Griffin (offensive foul),7,4
21,1,9:17.0,A. Davis misses 2-pt hook shot from 7 ft,,7,4
22,1,9:14.0,,Defensive rebound by A. Drummond,7,4
23,1,9:01.0,,R. Bullock makes 2-pt jump shot from 15 ft (assist by B. Griffin),7,6
24,1,8:55.0,J. Holiday makes 2-pt dunk at rim (assist by E. Moore),,9,6
25,1,8:49.0,,Detroit full timeout,9,6
26,1,8:42.0,,Turnover by B. Griffin (bad pass),9,6
27,1,8:36.0,Turnover by J. Holiday (bad pass; steal by A. Drummond),,9,6
28,1,8:32.0,,R. Bullock makes 2-pt layup from 1 ft (assist by I. Smith),9,8
29,1,8:14.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by J. Holiday),,12,8
30,1,7:54.0,,I. Smith misses 2-pt jump shot from 12 ft,12,8
31,1,7:53.0,,Offensive rebound by B. Griffin,12,8
32,1,7:53.0,,Personal foul by R. Rondo (drawn by B. Griffin),12,8
33,1,7:53.0,,Offensive foul by A. Drummond (drawn by R. Rondo),12,8
34,1,7:53.0,,Turnover by A. Drummond (offensive foul),12,8
35,1,7:36.0,E. Moore misses 3-pt jump shot from 25 ft,,12,8
36,1,7:35.0,,Defensive rebound by A. Drummond,12,8
37,1,7:33.0,,Personal foul by E. Moore (drawn by B. Griffin),12,8
38,1,7:33.0,,B. Griffin makes clear path free throw 1 of 2,12,9
39,1,7:33.0,,B. Griffin makes clear path free throw 2 of 2,12,10
40,1,7:22.0,,Shooting foul by R. Rondo (drawn by I. Smith),12,10
41,1,7:22.0,,I. Smith makes free throw 1 of 2,12,11
42,1,7:22.0,,I. Smith makes free throw 2 of 2,12,12
43,1,7:18.0,Turnover by R. Rondo (out of bounds lost ball),,12,12
44,1,7:01.0,,B. Griffin misses 2-pt jump shot from 7 ft,12,12
45,1,7:01.0,,Offensive rebound by A. Drummond,12,12
46,1,7:01.0,,Shooting foul by E. Okafor (drawn by A. Drummond),12,12
47,1,7:01.0,,A. Drummond misses free throw 1 of 2,12,12
48,1,7:01.0,,Offensive rebound by Team,12,12
49,1,7:01.0,I. Clark enters the game for R. Rondo,,12,12
50,1,7:01.0,,A. Drummond makes free throw 2 of 2,12,13
51,1,7:01.0,D. Miller enters the game for E. Moore,,12,13
52,1,6:50.0,D. Miller misses 3-pt jump shot from 24 ft,,12,13
53,1,6:46.0,,Defensive rebound by B. Griffin,12,13
54,1,6:33.0,,B. Griffin makes 2-pt layup from 1 ft,12,15
55,1,6:20.0,A. Davis makes 2-pt hook shot from 4 ft (assist by J. Holiday),,14,15
56,1,6:20.0,,Violation by A. Drummond (def goaltending),14,15
57,1,6:11.0,,I. Smith makes 2-pt jump shot from 15 ft,14,17
58,1,5:58.0,E. Okafor makes 2-pt hook shot from 10 ft (assist by J. Holiday),,16,17
59,1,5:44.0,,Personal foul by I. Clark (drawn by I. Smith),16,17
60,1,5:44.0,,I. Smith misses free throw 1 of 2,16,17
61,1,5:44.0,,Offensive rebound by Team,16,17
62,1,5:44.0,,A. Tolliver enters the game for S. Johnson,16,17
63,1,5:44.0,,J. Ennis enters the game for B. Griffin,16,17
64,1,5:44.0,N. Mirotić enters the game for E. Okafor,,16,17
65,1,5:44.0,,I. Smith makes free throw 2 of 2,16,18
