,QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
0,1,11:40.0,J. Nurkić makes 2-pt layup at rim (assist by C. McCollum),,2,0
1,1,11:33.0,,Personal foul by P. Connaughton (drawn by B. Beal),2,0
2,1,11:26.0,,O. Porter misses 2-pt jump shot from 18 ft,2,0
3,1,11:23.0,Defensive rebound by P. Connaughton,,2,0
4,1,11:14.0,N. Vonleh makes 2-pt dunk at rim (assist by J. Nurkić),,4,0
5,1,10:56.0,,B. Beal makes 2-pt jump shot from 15 ft (assist by M. Gortat),4,2
6,1,10:47.0,C. McCollum misses 2-pt jump shot from 10 ft,,4,2
7,1,10:45.0,,Defensive rebound by M. Gortat,4,2
8,1,10:35.0,,M. Morris misses 3-pt jump shot from 23 ft,4,2
9,1,10:32.0,Defensive rebound by D. Lillard,,4,2
10,1,10:10.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by N. Vonleh),,6,2
11,1,9:55.0,,T. Frazier misses 3-pt jump shot from 29 ft,6,2
12,1,9:51.0,Defensive rebound by J. Nurkić,,6,2
13,1,9:45.0,D. Lillard misses 3-pt jump shot from 28 ft,,6,2
14,1,9:43.0,,Defensive rebound by Team,6,2
15,1,9:27.0,,T. Frazier misses 2-pt jump shot from 18 ft,6,2
16,1,9:25.0,,Offensive rebound by Team,6,2
17,1,9:18.0,,M. Morris makes 2-pt jump shot from 18 ft,6,4
18,1,8:59.0,P. Connaughton makes 3-pt jump shot from 27 ft (assist by C. McCollum),,9,4
19,1,8:44.0,,Turnover by B. Beal (out of bounds lost ball),9,4
20,1,8:30.0,P. Connaughton makes 2-pt dunk at rim (assist by J. Nurkić),,11,4
21,1,8:15.0,,Personal foul by N. Vonleh (drawn by M. Morris),11,4
22,1,8:08.0,,O. Porter misses 2-pt jump shot from 10 ft,11,4
23,1,8:04.0,Defensive rebound by C. McCollum,,11,4
24,1,8:03.0,Turnover by C. McCollum (out of bounds lost ball),,11,4
25,1,7:52.0,,M. Gortat makes 2-pt jump shot from 12 ft,11,6
26,1,7:32.0,Turnover by D. Lillard (lost ball; steal by B. Beal),,11,6
27,1,7:21.0,,B. Beal misses 3-pt jump shot from 23 ft,11,6
28,1,7:19.0,Defensive rebound by J. Nurkić,,11,6
29,1,7:09.0,D. Lillard misses 3-pt jump shot from 26 ft,,11,6
30,1,7:05.0,,Defensive rebound by O. Porter,11,6
31,1,6:54.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by T. Frazier),11,8
32,1,6:38.0,C. McCollum misses 3-pt jump shot from 27 ft,,11,8
33,1,6:33.0,,Defensive rebound by M. Morris,11,8
34,1,6:32.0,,Shooting foul by C. McCollum (drawn by B. Beal),11,8
35,1,6:32.0,,Washington full timeout,11,8
36,1,6:32.0,,B. Beal makes free throw 1 of 2,11,9
37,1,6:32.0,,B. Beal makes free throw 2 of 2,11,10
38,1,6:19.0,D. Lillard misses 3-pt jump shot from 27 ft,,11,10
39,1,6:16.0,,Defensive rebound by M. Morris,11,10
40,1,6:02.0,,M. Gortat misses 2-pt hook shot from 11 ft,11,10
41,1,5:59.0,Defensive rebound by N. Vonleh,,11,10
42,1,5:51.0,Turnover by J. Nurkić (bad pass; steal by T. Frazier),,11,10
43,1,5:47.0,,T. Frazier makes 2-pt layup from 1 ft,11,12
44,1,5:31.0,J. Nurkić makes 2-pt jump shot from 19 ft (assist by P. Connaughton),,13,12
45,1,5:14.0,,B. Beal makes 2-pt jump shot from 18 ft (assist by M. Gortat),13,14
46,1,5:04.0,J. Nurkić misses 2-pt layup from 1 ft,,13,14
47,1,5:02.0,,Defensive rebound by M. Morris,13,14
48,1,4:49.0,,O. Porter makes 2-pt jump shot from 9 ft,13,16
49,1,4:22.0,J. Nurkić makes 2-pt hook shot from 11 ft,,15,16
50,1,4:10.0,,Shooting foul by P. Connaughton (drawn by T. Frazier),15,16
51,1,4:10.0,,T. Frazier makes free throw 1 of 2,15,17
52,1,4:10.0,E. Turner enters the game for C. McCollum,,15,17
53,1,4:10.0,J. Layman enters the game for P. Connaughton,,15,17
54,1,4:10.0,,T. Frazier makes free throw 2 of 2,15,18
55,1,3:58.0,Turnover by E. Turner (bad pass; steal by T. Frazier),,15,18
56,1,3:52.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by O. Porter),15,21
57,1,3:52.0,Portland full timeout,,15,21
58,1,3:52.0,,K. Oubre enters the game for M. Gortat,15,21
59,1,3:52.0,,I. Mahinmi enters the game for O. Porter,15,21
60,1,3:52.0,M. Harkless enters the game for N. Vonleh,,15,21
61,1,3:52.0,E. Davis enters the game for J. Nurkić,,15,21
62,1,3:34.0,E. Turner makes 3-pt jump shot from 26 ft (assist by D. Lillard),,18,21
63,1,3:13.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by B. Beal),18,24
64,1,2:49.0,Turnover by M. Harkless (bad pass; steal by K. Oubre),,18,24
65,1,2:38.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by M. Morris),18,27
66,1,2:14.0,E. Davis makes 2-pt jump shot from 10 ft,,20,27
67,1,1:58.0,,M. Morris misses 2-pt layup from 7 ft,20,27
68,1,1:57.0,Defensive rebound by E. Davis,,20,27
69,1,1:51.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,22,27
70,1,1:33.0,,K. Oubre misses 2-pt jump shot from 19 ft,22,27
71,1,1:30.0,Defensive rebound by E. Davis,,22,27
72,1,1:20.0,J. Layman misses 3-pt jump shot from 25 ft,,22,27
73,1,1:16.0,,Defensive rebound by K. Oubre,22,27
74,1,0:58.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by B. Beal),22,30
75,1,0:38.0,D. Lillard makes 3-pt jump shot from 29 ft,,25,30
76,1,0:17.0,,B. Beal misses 3-pt jump shot from 25 ft,25,30
77,1,0:14.0,Defensive rebound by J. Layman,,25,30
78,1,0:06.0,D. Lillard makes 2-pt layup at rim,,27,30
79,1,0:06.0,,Turnover by T. Frazier (traveling),27,30
80,1,0:06.0,C. McCollum enters the game for M. Harkless,,27,30
81,1,0:01.0,E. Turner misses 3-pt jump shot from 24 ft,,27,30
82,1,0:01.0,Offensive rebound by Team,,27,30
83,2,11:37.0,,J. Smith makes 2-pt jump shot from 17 ft,27,32
84,2,11:17.0,S. Napier misses 2-pt jump shot from 21 ft,,27,32
85,2,11:14.0,,Defensive rebound by K. Oubre,27,32
86,2,11:10.0,,K. Oubre makes 2-pt jump shot from 19 ft,27,34
87,2,10:47.0,E. Turner misses 2-pt jump shot from 13 ft,,27,34
88,2,10:44.0,Offensive rebound by E. Davis,,27,34
89,2,10:43.0,E. Davis makes 2-pt layup from 1 ft,,29,34
90,2,10:26.0,,Offensive foul by I. Mahinmi (drawn by E. Davis),29,34
91,2,10:26.0,,Turnover by I. Mahinmi (offensive foul),29,34
92,2,10:10.0,E. Turner misses 2-pt jump shot from 13 ft,,29,34
93,2,10:02.0,Offensive rebound by E. Davis,,29,34
94,2,10:02.0,E. Davis makes 2-pt dunk at rim,,31,34
95,2,9:56.0,,J. Meeks makes 2-pt jump shot from 18 ft,31,36
96,2,9:39.0,C. McCollum makes 2-pt jump shot from 18 ft,,33,36
97,2,9:21.0,,J. Smith misses 3-pt jump shot from 26 ft,33,36
98,2,9:18.0,Defensive rebound by E. Davis,,33,36
99,2,9:11.0,Personal foul by I. Mahinmi (drawn by E. Turner),,33,36
