,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
0,1,11:37.0,,K. Irving makes 2-pt jump shot from 3 ft,0,2
1,1,11:21.0,T. Snell misses 2-pt jump shot from 15 ft,,0,2
2,1,11:19.0,,Defensive rebound by A. Horford,0,2
3,1,11:10.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),0,5
4,1,10:50.0,E. Bledsoe makes 2-pt layup from 2 ft,,2,5
5,1,10:27.0,,J. Brown misses 3-pt jump shot from 25 ft,2,5
6,1,10:24.0,Defensive rebound by K. Middleton,,2,5
7,1,10:21.0,Shooting foul by J. Brown (drawn by K. Middleton),,2,5
8,1,10:21.0,K. Middleton makes free throw 1 of 2,,3,5
9,1,10:21.0,K. Middleton makes free throw 2 of 2,,4,5
10,1,10:07.0,,Turnover by A. Horford (lost ball; steal by K. Middleton),4,5
11,1,10:04.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,6,5
12,1,9:53.0,,Shooting foul by T. Snell (drawn by A. Baynes),6,5
13,1,9:53.0,,A. Baynes makes free throw 1 of 2,6,6
14,1,9:53.0,,A. Baynes makes free throw 2 of 2,6,7
15,1,9:38.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,6,7
16,1,9:35.0,,Defensive rebound by A. Baynes,6,7
17,1,9:28.0,,K. Irving makes 2-pt layup from 1 ft,6,9
18,1,9:09.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,6,9
19,1,9:08.0,Offensive rebound by G. Antetokounmpo,,6,9
20,1,9:07.0,G. Antetokounmpo makes 2-pt dunk at rim,,8,9
21,1,8:43.0,,Shooting foul by G. Antetokounmpo (drawn by J. Tatum),8,9
22,1,8:43.0,,J. Tatum makes free throw 1 of 2,8,10
23,1,8:43.0,,J. Tatum makes free throw 2 of 2,8,11
24,1,8:33.0,J. Henson misses 2-pt jump shot from 4 ft,,8,11
25,1,8:31.0,,Defensive rebound by A. Baynes,8,11
26,1,8:26.0,,K. Irving misses 2-pt layup from 3 ft,8,11
27,1,8:21.0,,Offensive rebound by A. Baynes,8,11
28,1,8:21.0,,A. Baynes makes 2-pt layup from 1 ft,8,13
29,1,8:07.0,K. Middleton misses 3-pt jump shot from 22 ft,,8,13
30,1,8:05.0,,Defensive rebound by J. Brown,8,13
31,1,8:00.0,Offensive charge foul by J. Brown (drawn by J. Henson),,8,13
32,1,8:00.0,,Turnover by J. Brown (offensive foul),8,13
33,1,7:54.0,Shooting foul by K. Irving (drawn by E. Bledsoe),,8,13
34,1,7:54.0,E. Bledsoe makes free throw 1 of 2,,9,13
35,1,7:54.0,E. Bledsoe makes free throw 2 of 2,,10,13
36,1,7:34.0,,K. Irving misses 3-pt jump shot from 23 ft,10,13
37,1,7:31.0,Defensive rebound by K. Middleton,,10,13
38,1,7:24.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,12,13
39,1,7:24.0,Shooting foul by J. Brown (drawn by K. Middleton),,12,13
40,1,7:24.0,,M. Smart enters the game for J. Brown,12,13
41,1,7:24.0,K. Middleton makes free throw 1 of 1,,13,13
42,1,7:05.0,,A. Horford makes 2-pt layup at rim (assist by M. Smart),13,15
43,1,6:57.0,J. Henson misses 2-pt layup from 2 ft (block by A. Baynes),,13,15
44,1,6:56.0,Offensive rebound by E. Bledsoe,,13,15
45,1,6:53.0,E. Bledsoe misses 3-pt jump shot from 22 ft,,13,15
46,1,6:51.0,,Defensive rebound by J. Tatum,13,15
47,1,6:42.0,,A. Horford makes 2-pt hook shot from 5 ft (assist by A. Baynes),13,17
48,1,6:36.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,13,17
49,1,6:36.0,,Boston full timeout,13,17
50,1,6:36.0,G. Antetokounmpo makes free throw 1 of 2,,14,17
51,1,6:36.0,G. Antetokounmpo makes free throw 2 of 2,,15,17
52,1,6:24.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),15,20
53,1,6:05.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,15,20
54,1,6:05.0,G. Antetokounmpo makes free throw 1 of 2,,16,20
55,1,6:05.0,G. Antetokounmpo makes free throw 2 of 2,,17,20
56,1,5:55.0,,Shooting foul by K. Middleton (drawn by A. Baynes),17,20
57,1,5:55.0,,A. Baynes makes free throw 1 of 2,17,21
58,1,5:55.0,,A. Baynes makes free throw 2 of 2,17,22
59,1,5:36.0,J. Henson misses 2-pt hook shot from 7 ft,,17,22
60,1,5:33.0,,Defensive rebound by J. Tatum,17,22
61,1,5:24.0,,A. Baynes makes 2-pt hook shot from 3 ft (assist by A. Horford),17,24
62,1,5:03.0,J. Henson misses 2-pt jump shot from 7 ft,,17,24
63,1,5:00.0,,Defensive rebound by K. Irving,17,24
64,1,4:50.0,,Turnover by M. Smart (bad pass; steal by J. Henson),17,24
65,1,4:45.0,Shooting foul by M. Smart (drawn by K. Middleton),,17,24
66,1,4:45.0,K. Middleton makes free throw 1 of 2,,18,24
67,1,4:45.0,,M. Morris enters the game for A. Baynes,18,24
68,1,4:45.0,T. Maker enters the game for E. Bledsoe,,18,24
69,1,4:45.0,M. Brogdon enters the game for J. Henson,,18,24
70,1,4:45.0,K. Middleton makes free throw 2 of 2,,19,24
71,1,4:27.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by A. Horford),19,27
72,1,4:10.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,21,27
73,1,4:10.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,21,27
74,1,4:10.0,,T. Rozier enters the game for K. Irving,21,27
75,1,4:10.0,G. Antetokounmpo makes free throw 1 of 1,,22,27
76,1,4:10.0,D. Liggins enters the game for K. Middleton,,22,27
77,1,3:55.0,,Personal foul by D. Liggins (drawn by M. Morris),22,27
78,1,3:42.0,,A. Horford misses 2-pt jump shot from 8 ft,22,27
79,1,3:39.0,Defensive rebound by G. Antetokounmpo,,22,27
80,1,3:27.0,T. Maker misses 2-pt hook shot from 4 ft,,22,27
81,1,3:24.0,,Defensive rebound by M. Morris,22,27
82,1,3:08.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by T. Rozier),22,30
83,1,3:06.0,Milwaukee full timeout,,22,30
84,1,2:54.0,T. Maker misses 2-pt jump shot from 19 ft,,22,30
85,1,2:51.0,,Defensive rebound by M. Smart,22,30
86,1,2:30.0,,T. Rozier misses 2-pt jump shot from 20 ft,22,30
87,1,2:27.0,Defensive rebound by G. Antetokounmpo,,22,30
88,1,2:09.0,T. Snell makes 2-pt jump shot from 19 ft,,24,30
89,1,1:54.0,,T. Rozier misses 3-pt jump shot from 27 ft,24,30
90,1,1:52.0,Defensive rebound by T. Maker,,24,30
91,1,1:37.0,T. Snell misses 2-pt jump shot from 19 ft,,24,30
92,1,1:34.0,,Defensive rebound by T. Rozier,24,30
93,1,1:22.0,,A. Horford misses 3-pt jump shot from 25 ft,24,30
94,1,1:18.0,Defensive rebound by G. Antetokounmpo,,24,30
95,1,1:13.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,26,30
96,1,0:53.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Smart),26,33
97,1,0:30.0,T. Maker misses 2-pt hook shot from 1 ft (block by A. Horford),,26,33
98,1,0:29.0,,Defensive rebound by J. Tatum,26,33
99,1,0:08.0,,Shooting foul by M. Brogdon (drawn by M. Smart),26,33
100,1,0:08.0,,M. Smart misses free throw 1 of 2,26,33
101,1,0:08.0,,Offensive rebound by Team,26,33
102,1,0:08.0,,S. Ojeleye enters the game for J. Tatum,26,33
103,1,0:08.0,,D. Theis enters the game for A. Horford,26,33
104,1,0:08.0,K. Middleton enters the game for G. Antetokounmpo,,26,33
105,1,0:08.0,,M. Smart makes free throw 2 of 2,26,34
106,1,0:01.0,M. Brogdon misses 2-pt jump shot from 19 ft,,26,34
107,1,0:00.0,Offensive rebound by Team,,26,34
108,2,11:41.0,M. Brogdon misses 2-pt layup from 2 ft,,26,34
109,2,11:37.0,,Defensive rebound by D. Theis,26,34
110,2,11:18.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by S. Ojeleye),26,37
111,2,11:02.0,D. Liggins misses 2-pt layup from 2 ft,,26,37
112,2,10:59.0,,Defensive rebound by M. Morris,26,37
113,2,10:56.0,,D. Theis makes 2-pt layup from 2 ft (assist by M. Smart),26,39
