,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:41.0,H. Barnes makes 2-pt hook shot from 5 ft,,2,0
1,1,11:25.0,,K. Dunn misses 2-pt jump shot from 18 ft,2,0
2,1,11:22.0,Defensive rebound by H. Barnes,,2,0
3,1,11:10.0,H. Barnes misses 2-pt jump shot from 18 ft,,2,0
4,1,11:06.0,,Defensive rebound by K. Dunn,2,0
5,1,10:48.0,,Z. LaVine misses 2-pt jump shot from 17 ft,2,0
6,1,10:44.0,Defensive rebound by W. Matthews,,2,0
7,1,10:30.0,D. Powell makes 2-pt dunk at rim (assist by H. Barnes),,4,0
8,1,10:12.0,,Shooting foul by D. Powell (drawn by C. Felício),4,0
9,1,10:12.0,,C. Felício misses free throw 1 of 2,4,0
10,1,10:12.0,,Offensive rebound by Team,4,0
11,1,10:12.0,,C. Felício misses free throw 2 of 2,4,0
12,1,10:09.0,Defensive rebound by D. Powell,,4,0
13,1,9:55.0,D. Smith makes 2-pt layup at rim,,6,0
14,1,9:51.0,,K. Dunn misses 2-pt jump shot from 13 ft,6,0
15,1,9:48.0,,Offensive rebound by Team,6,0
16,1,9:42.0,,Turnover by Z. LaVine (bad pass),6,0
17,1,9:24.0,D. Smith makes 2-pt layup from 1 ft,,8,0
18,1,9:10.0,,Z. LaVine misses 3-pt jump shot from 24 ft,8,0
19,1,9:07.0,Defensive rebound by D. Nowitzki,,8,0
20,1,8:48.0,H. Barnes makes 2-pt dunk at rim (assist by D. Nowitzki),,10,0
21,1,8:47.0,,Chicago full timeout,10,0
22,1,8:39.0,,Personal foul by W. Matthews (drawn by D. Nwaba),10,0
23,1,8:39.0,,B. Portis enters the game for C. Felício,10,0
24,1,8:24.0,,D. Nwaba misses 2-pt jump shot from 6 ft,10,0
25,1,8:20.0,,Offensive rebound by B. Portis,10,0
26,1,8:20.0,,B. Portis misses 2-pt layup at rim,10,0
27,1,8:17.0,Defensive rebound by D. Nowitzki,,10,0
28,1,8:15.0,Turnover by D. Nowitzki (bad pass; steal by D. Nwaba),,10,0
29,1,8:10.0,,B. Portis makes 2-pt layup at rim (assist by D. Nwaba),10,2
30,1,8:04.0,Personal foul by D. Nwaba (drawn by H. Barnes),,10,2
31,1,7:56.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Powell),,12,2
32,1,7:39.0,,K. Dunn makes 2-pt jump shot from 3 ft,12,4
33,1,7:30.0,Shooting foul by K. Dunn (drawn by D. Smith),,12,4
34,1,7:30.0,D. Smith makes free throw 1 of 2,,13,4
35,1,7:30.0,N. Noel enters the game for D. Powell,,13,4
36,1,7:30.0,Y. Ferrell enters the game for D. Nowitzki,,13,4
37,1,7:30.0,D. Smith makes free throw 2 of 2,,14,4
38,1,7:13.0,,Personal foul by H. Barnes (drawn by L. Markkanen),14,4
39,1,7:04.0,,L. Markkanen makes 2-pt jump shot from 21 ft (assist by K. Dunn),14,6
40,1,6:48.0,Turnover by N. Noel (bad pass; steal by D. Nwaba),,14,6
41,1,6:26.0,,D. Nwaba makes 2-pt layup at rim,14,8
42,1,6:21.0,H. Barnes makes 2-pt layup at rim,,16,8
43,1,6:21.0,Shooting foul by D. Nwaba (drawn by H. Barnes),,16,8
44,1,6:21.0,,D. Valentine enters the game for D. Nwaba,16,8
45,1,6:21.0,H. Barnes makes free throw 1 of 1,,17,8
46,1,5:58.0,,L. Markkanen misses 2-pt jump shot from 16 ft,17,8
47,1,5:54.0,Defensive rebound by Y. Ferrell,,17,8
48,1,5:44.0,H. Barnes makes 2-pt jump shot from 15 ft (assist by N. Noel),,19,8
49,1,5:27.0,,Turnover by Z. LaVine (lost ball; steal by W. Matthews),19,8
50,1,5:24.0,D. Smith misses 2-pt jump shot from 3 ft,,19,8
51,1,5:23.0,,Defensive rebound by L. Markkanen,19,8
52,1,5:18.0,,Z. LaVine makes 2-pt dunk at rim (assist by K. Dunn),19,10
53,1,5:06.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,19,10
54,1,5:06.0,,Defensive rebound by K. Dunn,19,10
55,1,5:00.0,,Z. LaVine misses 3-pt jump shot from 25 ft,19,10
56,1,5:00.0,Defensive rebound by H. Barnes,,19,10
57,1,4:51.0,D. Smith makes 2-pt jump shot from 22 ft,,21,10
58,1,4:37.0,,K. Dunn makes 3-pt jump shot from 24 ft (assist by L. Markkanen),21,13
59,1,4:26.0,D. Smith misses 2-pt jump shot from 10 ft,,21,13
60,1,4:26.0,Offensive rebound by H. Barnes,,21,13
61,1,4:21.0,H. Barnes makes 2-pt layup at rim,,23,13
62,1,4:10.0,,Turnover by B. Portis (lost ball; steal by N. Noel),23,13
63,1,3:48.0,H. Barnes misses 3-pt jump shot from 23 ft,,23,13
64,1,3:48.0,,Defensive rebound by D. Valentine,23,13
65,1,3:41.0,,B. Portis misses 2-pt jump shot from 16 ft,23,13
66,1,3:41.0,Defensive rebound by D. Smith,,23,13
67,1,3:30.0,N. Noel misses 2-pt dunk at rim,,23,13
68,1,3:29.0,Offensive rebound by N. Noel,,23,13
69,1,3:29.0,Turnover by N. Noel (traveling),,23,13
70,1,3:29.0,Dallas full timeout,,23,13
71,1,3:29.0,,J. Grant enters the game for Z. LaVine,23,13
72,1,3:29.0,J. Barea enters the game for D. Smith,,23,13
73,1,3:29.0,D. McDermott enters the game for W. Matthews,,23,13
74,1,3:18.0,,J. Grant makes 2-pt jump shot from 14 ft (assist by K. Dunn),23,15
75,1,2:59.0,Turnover by H. Barnes (traveling),,23,15
76,1,2:59.0,,N. Vonleh enters the game for L. Markkanen,23,15
77,1,2:47.0,,D. Valentine misses 2-pt jump shot from 4 ft (block by N. Noel),23,15
78,1,2:47.0,,Offensive rebound by Team,23,15
79,1,2:46.0,D. Nowitzki enters the game for N. Noel,,23,15
80,1,2:46.0,D. Powell enters the game for H. Barnes,,23,15
81,1,2:46.0,,Shooting foul by J. Barea (drawn by J. Grant),23,15
82,1,2:46.0,,J. Grant makes free throw 1 of 2,23,16
