,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:41.0,B. Paul misses 2-pt jump shot from 19 ft,,0,0
1,1,11:37.0,Offensive rebound by L. Aldridge,,0,0
2,1,11:26.0,Shooting foul by T. Warren (drawn by L. Aldridge),,0,0
3,1,11:26.0,L. Aldridge makes free throw 1 of 2,,1,0
4,1,11:26.0,L. Aldridge makes free throw 2 of 2,,2,0
5,1,11:10.0,,Offensive foul by J. Jackson (drawn by B. Paul),2,0
6,1,11:10.0,,Turnover by J. Jackson (offensive foul),2,0
7,1,10:49.0,B. Forbes misses 3-pt jump shot from 25 ft,,2,0
8,1,10:46.0,,Defensive rebound by T. Chandler,2,0
9,1,10:42.0,,Shooting foul by B. Forbes (drawn by J. Jackson),2,0
10,1,10:42.0,,J. Jackson makes free throw 1 of 2,2,1
11,1,10:42.0,,J. Jackson makes free throw 2 of 2,2,2
12,1,10:26.0,B. Paul misses 3-pt jump shot from 26 ft,,2,2
13,1,10:24.0,Offensive rebound by Team,,2,2
14,1,10:11.0,Shooting foul by M. Chriss (drawn by B. Paul),,2,2
15,1,10:11.0,B. Paul makes free throw 1 of 2,,3,2
16,1,10:11.0,B. Paul makes free throw 2 of 2,,4,2
17,1,9:57.0,,T. Warren misses 2-pt jump shot from 16 ft,4,2
18,1,9:53.0,Defensive rebound by R. Gay,,4,2
19,1,9:45.0,B. Forbes makes 2-pt jump shot from 17 ft,,6,2
20,1,9:23.0,,J. Jackson misses 2-pt jump shot from 3 ft,6,2
21,1,9:21.0,,Offensive rebound by J. Jackson,6,2
22,1,9:20.0,,M. Chriss misses 3-pt jump shot from 25 ft,6,2
23,1,9:16.0,Defensive rebound by L. Aldridge,,6,2
24,1,9:06.0,R. Gay misses 2-pt jump shot from 21 ft,,6,2
25,1,9:04.0,Offensive rebound by D. Murray,,6,2
26,1,8:57.0,B. Forbes misses 3-pt jump shot from 24 ft,,6,2
27,1,8:54.0,Offensive rebound by L. Aldridge,,6,2
28,1,8:52.0,L. Aldridge makes 2-pt layup from 1 ft,,8,2
29,1,8:35.0,,T. Ulis misses 3-pt jump shot from 24 ft,8,2
30,1,8:32.0,Defensive rebound by L. Aldridge,,8,2
31,1,8:24.0,L. Aldridge misses 2-pt jump shot from 21 ft,,8,2
32,1,8:21.0,,Defensive rebound by T. Chandler,8,2
33,1,8:15.0,,Turnover by T. Ulis (out of bounds lost ball),8,2
34,1,7:59.0,L. Aldridge misses 2-pt hook shot from 4 ft,,8,2
35,1,7:59.0,,Defensive rebound by T. Chandler,8,2
36,1,7:50.0,,Personal foul by D. Murray (drawn by T. Ulis),8,2
37,1,7:39.0,,Turnover by T. Warren (lost ball; steal by B. Paul),8,2
38,1,7:38.0,,Loose ball foul by T. Warren (drawn by B. Paul),8,2
39,1,7:38.0,,T. Daniels enters the game for T. Warren,8,2
40,1,7:17.0,B. Forbes misses 3-pt jump shot from 24 ft,,8,2
41,1,7:14.0,Offensive rebound by R. Gay,,8,2
42,1,7:01.0,D. Murray misses 2-pt jump shot from 16 ft,,8,2
43,1,7:00.0,,Defensive rebound by M. Chriss,8,2
44,1,6:58.0,,Turnover by J. Jackson (lost ball; steal by B. Paul),8,2
