,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,Turnover by K. Thompson (bad pass; steal by J. Teague),0,0
1,1,11:26.0,K. Towns misses 3-pt jump shot from 26 ft,,0,0
2,1,11:23.0,,Defensive rebound by D. Green,0,0
3,1,11:19.0,,S. Curry makes 2-pt jump shot from 17 ft,0,2
4,1,11:19.0,,Shooting foul by J. Teague (drawn by S. Curry),0,2
5,1,11:19.0,,S. Curry misses free throw 1 of 1,0,2
6,1,11:15.0,Defensive rebound by T. Gibson,,0,2
7,1,11:01.0,J. Teague makes 2-pt jump shot from 5 ft (assist by K. Towns),,2,2
8,1,10:51.0,,K. Thompson makes 2-pt layup from 2 ft (assist by Z. Pachulia),2,4
9,1,10:33.0,T. Gibson misses 2-pt layup from 1 ft,,2,4
10,1,10:32.0,Offensive rebound by T. Gibson,,2,4
11,1,10:30.0,T. Gibson misses 2-pt layup from 4 ft,,2,4
12,1,10:28.0,Offensive rebound by K. Towns,,2,4
13,1,10:25.0,K. Towns makes 2-pt hook shot from 3 ft,,4,4
14,1,10:13.0,,Z. Pachulia misses 2-pt layup from 2 ft,4,4
15,1,10:09.0,Defensive rebound by T. Gibson,,4,4
16,1,9:55.0,K. Towns misses 3-pt jump shot from 25 ft,,4,4
17,1,9:51.0,,Defensive rebound by Z. Pachulia,4,4
18,1,9:46.0,,K. Durant misses 2-pt jump shot from 19 ft,4,4
19,1,9:44.0,,Offensive rebound by Z. Pachulia,4,4
20,1,9:44.0,,Z. Pachulia misses 2-pt layup from 1 ft,4,4
21,1,9:42.0,,Offensive rebound by Z. Pachulia,4,4
22,1,9:42.0,,Z. Pachulia misses 2-pt layup from 2 ft (block by T. Gibson),4,4
23,1,9:40.0,,Offensive rebound by Z. Pachulia,4,4
24,1,9:38.0,,S. Curry misses 3-pt jump shot from 25 ft,4,4
25,1,9:36.0,Defensive rebound by T. Gibson,,4,4
26,1,9:21.0,K. Towns misses 2-pt jump shot from 4 ft (block by D. Green),,4,4
27,1,9:18.0,,Defensive rebound by K. Durant,4,4
28,1,9:16.0,,Shooting foul by A. Wiggins (drawn by K. Durant),4,4
29,1,9:16.0,,K. Durant makes free throw 1 of 2,4,5
30,1,9:16.0,,K. Durant makes free throw 2 of 2,4,6
31,1,9:00.0,K. Towns misses 3-pt jump shot from 25 ft,,4,6
32,1,8:56.0,,Defensive rebound by D. Green,4,6
33,1,8:53.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),4,9
34,1,8:43.0,Minnesota full timeout,,4,9
35,1,8:36.0,J. Teague makes 2-pt jump shot from 10 ft,,6,9
36,1,8:19.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),6,11
37,1,7:59.0,T. Gibson makes 2-pt jump shot from 18 ft (assist by J. Teague),,8,11
38,1,7:48.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),8,13
39,1,7:38.0,Personal foul by Z. Pachulia (drawn by K. Towns),,8,13
40,1,7:25.0,Turnover by A. Wiggins (bad pass; steal by S. Curry),,8,13
41,1,7:21.0,,S. Curry makes 2-pt layup from 1 ft,8,15
42,1,7:10.0,A. Wiggins misses 2-pt hook shot from 5 ft,,8,15
43,1,7:09.0,Offensive rebound by Team,,8,15
44,1,7:04.0,J. Teague misses 2-pt jump shot from 9 ft,,8,15
45,1,7:01.0,Offensive rebound by K. Towns,,8,15
46,1,7:00.0,K. Towns makes 2-pt dunk at rim,,10,15
47,1,6:55.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),10,17
48,1,6:40.0,A. Wiggins misses 2-pt jump shot from 15 ft,,10,17
49,1,6:38.0,,Defensive rebound by S. Curry,10,17
50,1,6:32.0,,D. Green makes 2-pt jump shot from 11 ft (assist by S. Curry),10,19
51,1,6:23.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),,12,19
52,1,6:18.0,,Shooting foul by T. Gibson (drawn by Z. Pachulia),12,19
53,1,6:18.0,,Z. Pachulia misses free throw 1 of 2,12,19
54,1,6:18.0,,Offensive rebound by Team,12,19
55,1,6:18.0,,Z. Pachulia makes free throw 2 of 2,12,20
56,1,6:11.0,J. Teague makes 2-pt jump shot from 7 ft,,14,20
57,1,6:11.0,Shooting foul by K. Durant (drawn by J. Teague),,14,20
58,1,6:11.0,J. Teague makes free throw 1 of 1,,15,20
59,1,6:02.0,,Turnover by D. Green (bad pass),15,20
60,1,5:47.0,A. Wiggins misses 2-pt jump shot from 11 ft,,15,20
61,1,5:45.0,,Defensive rebound by K. Durant,15,20
62,1,5:45.0,Loose ball foul by K. Towns (drawn by K. Durant),,15,20
63,1,5:45.0,,A. Iguodala enters the game for D. Green,15,20
64,1,5:32.0,,A. Iguodala makes 2-pt jump shot from 16 ft (assist by K. Durant),15,22
65,1,5:12.0,T. Gibson makes 2-pt dunk from 1 ft (assist by N. Bjelica),,17,22
66,1,4:51.0,,K. Durant makes 2-pt jump shot from 22 ft (assist by Z. Pachulia),17,24
67,1,4:36.0,K. Towns makes 2-pt jump shot from 14 ft (assist by J. Teague),,19,24
68,1,4:26.0,,K. Durant makes 3-pt jump shot from 25 ft,19,27
69,1,4:13.0,J. Teague makes 2-pt jump shot from 13 ft,,21,27
70,1,4:01.0,,Turnover by S. Curry (bad pass; steal by A. Wiggins),21,27
71,1,3:47.0,J. Teague misses 2-pt jump shot from 9 ft,,21,27
72,1,3:43.0,,Defensive rebound by K. Thompson,21,27
73,1,3:32.0,,Z. Pachulia makes 2-pt jump shot from 9 ft (assist by A. Iguodala),21,29
74,1,3:10.0,K. Towns makes 2-pt layup from 2 ft,,23,29
75,1,3:09.0,,Golden State full timeout,23,29
76,1,3:09.0,,K. Looney enters the game for K. Thompson,23,29
77,1,3:09.0,,N. Young enters the game for Z. Pachulia,23,29
78,1,3:09.0,G. Dieng enters the game for N. Bjelica,,23,29
79,1,3:09.0,J. Crawford enters the game for K. Towns,,23,29
80,1,2:53.0,,K. Looney misses 2-pt hook shot from 4 ft,23,29
81,1,2:51.0,,Offensive rebound by A. Iguodala,23,29
82,1,2:50.0,,Shooting foul by J. Teague (drawn by A. Iguodala),23,29
83,1,2:50.0,,A. Iguodala misses free throw 1 of 2,23,29
84,1,2:50.0,,Offensive rebound by Team,23,29
85,1,2:50.0,,A. Iguodala makes free throw 2 of 2,23,30
86,1,2:34.0,Turnover by J. Teague (bad pass; steal by S. Curry),,23,30
87,1,2:28.0,,Turnover by K. Durant (bad pass),23,30
88,1,2:15.0,A. Wiggins misses 2-pt jump shot from 21 ft,,23,30
89,1,2:12.0,Offensive rebound by T. Gibson,,23,30
90,1,2:10.0,J. Teague misses 3-pt jump shot from 24 ft,,23,30
91,1,2:06.0,,Defensive rebound by K. Durant,23,30
92,1,2:02.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Durant),23,32
93,1,1:43.0,J. Crawford makes 2-pt jump shot from 16 ft (assist by J. Teague),,25,32
94,1,1:24.0,,K. Durant misses 2-pt jump shot from 13 ft,25,32
95,1,1:17.0,,Offensive rebound by A. Iguodala,25,32
96,1,1:17.0,,A. Iguodala misses 2-pt dunk at rim,25,32
97,1,1:16.0,Defensive rebound by G. Dieng,,25,32
98,1,1:16.0,T. Gibson makes 2-pt hook shot from 2 ft (assist by J. Crawford),,27,32
99,1,1:04.0,,S. Curry makes 3-pt jump shot from 27 ft,27,35
100,1,0:52.0,,D. Green enters the game for K. Durant,27,35
