,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
0,1,11:40.0,,R. Bullock misses 3-pt jump shot from 23 ft,0,0
1,1,11:35.0,Defensive rebound by D. Brooks,,0,0
2,1,11:15.0,A. Harrison misses 2-pt jump shot from 7 ft,,0,0
3,1,11:11.0,Offensive rebound by J. Martin,,0,0
4,1,11:11.0,J. Martin misses 2-pt layup at rim,,0,0
5,1,11:10.0,,Defensive rebound by B. Griffin,0,0
6,1,11:05.0,,A. Drummond misses 2-pt layup from 5 ft,0,0
7,1,11:05.0,Defensive rebound by Team,,0,0
8,1,10:52.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by A. Harrison),,3,0
9,1,10:37.0,,B. Griffin makes 2-pt jump shot from 6 ft,3,2
10,1,10:28.0,Personal foul by S. Johnson,,3,2
11,1,10:28.0,,Technical foul by S. Johnson,3,2
12,1,10:28.0,M. Gasol makes technical free throw,,4,2
13,1,10:15.0,A. Harrison misses 3-pt jump shot from 24 ft,,4,2
14,1,10:13.0,Offensive rebound by Team,,4,2
15,1,10:11.0,D. Brooks makes 2-pt dunk from 2 ft (assist by M. Gasol),,6,2
16,1,9:55.0,,R. Bullock makes 2-pt layup from 5 ft (assist by A. Drummond),6,4
17,1,9:30.0,J. Martin misses 2-pt jump shot from 18 ft,,6,4
18,1,9:28.0,,Defensive rebound by I. Smith,6,4
19,1,9:16.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by I. Smith),6,7
20,1,8:55.0,J. Martin makes 2-pt layup from 3 ft,,8,7
21,1,8:33.0,,A. Drummond misses 2-pt layup from 1 ft,8,7
22,1,8:30.0,Defensive rebound by D. Brooks,,8,7
23,1,8:15.0,M. Gasol misses 3-pt jump shot from 24 ft,,8,7
24,1,8:11.0,,Defensive rebound by B. Griffin,8,7
25,1,8:02.0,,Shooting foul by D. Brooks (drawn by B. Griffin),8,7
26,1,8:02.0,,B. Griffin makes free throw 1 of 2,8,8
27,1,8:02.0,,B. Griffin makes free throw 2 of 2,8,9
28,1,7:44.0,J. Martin misses 2-pt jump shot from 9 ft,,8,9
29,1,7:40.0,,Defensive rebound by A. Drummond,8,9
30,1,7:34.0,,Personal foul by D. Brooks (drawn by A. Drummond),8,9
31,1,7:34.0,J. Ennis enters the game for D. Brooks,,8,9
32,1,7:28.0,,I. Smith makes 2-pt layup from 2 ft,8,11
33,1,7:14.0,A. Harrison misses 3-pt jump shot from 25 ft,,8,11
34,1,7:12.0,,Defensive rebound by S. Johnson,8,11
35,1,7:10.0,,Offensive foul by A. Drummond (drawn by W. Selden),8,11
36,1,7:10.0,,Turnover by A. Drummond (offensive foul),8,11
37,1,7:10.0,Memphis full timeout,,8,11
38,1,7:10.0,J. Green enters the game for J. Martin,,8,11
39,1,7:10.0,B. McLemore enters the game for A. Harrison,,8,11
40,1,6:58.0,W. Selden misses 3-pt jump shot from 25 ft,,8,11
41,1,6:54.0,,Defensive rebound by A. Drummond,8,11
42,1,6:43.0,,A. Drummond misses 2-pt layup from 5 ft (block by J. Ennis),8,11
43,1,6:40.0,Defensive rebound by J. Green,,8,11
44,1,6:34.0,Turnover by J. Ennis (bad pass; steal by A. Drummond),,8,11
45,1,6:31.0,,Shooting foul by J. Green (drawn by B. Griffin),8,11
46,1,6:31.0,,B. Griffin makes free throw 1 of 2,8,12
47,1,6:31.0,,B. Griffin makes free throw 2 of 2,8,13
48,1,6:31.0,Violation by B. McLemore (lane),,8,13
49,1,6:15.0,J. Green misses 2-pt layup from 1 ft (block by B. Griffin),,8,13
50,1,6:14.0,,Defensive rebound by B. Griffin,8,13
51,1,6:14.0,,Personal foul by J. Ennis (drawn by B. Griffin),8,13
52,1,5:58.0,,R. Bullock makes 2-pt layup from 1 ft (assist by I. Smith),8,15
53,1,5:41.0,M. Gasol misses 3-pt jump shot from 26 ft,,8,15
54,1,5:38.0,Offensive rebound by J. Ennis,,8,15
55,1,5:37.0,J. Ennis makes 2-pt layup at rim,,10,15
56,1,5:18.0,,Shooting foul by W. Selden (drawn by B. Griffin),10,15
57,1,5:18.0,,B. Griffin misses free throw 1 of 2,10,15
58,1,5:18.0,,Offensive rebound by Team,10,15
59,1,5:18.0,,L. Kennard enters the game for S. Johnson,10,15
60,1,5:18.0,M. Henry enters the game for W. Selden,,10,15
61,1,5:18.0,,B. Griffin makes free throw 2 of 2,10,16
62,1,5:04.0,B. McLemore misses 3-pt jump shot from 25 ft,,10,16
63,1,4:59.0,Offensive rebound by J. Green,,10,16
64,1,4:59.0,J. Green makes 2-pt layup at rim,,12,16
65,1,4:47.0,,I. Smith makes 2-pt layup from 1 ft,12,18
66,1,4:34.0,J. Green makes 2-pt jump shot from 18 ft (assist by J. Ennis),,14,18
67,1,4:24.0,,Personal foul by J. Ennis (drawn by R. Bullock),14,18
68,1,4:24.0,A. Harrison enters the game for J. Ennis,,14,18
69,1,4:24.0,,R. Bullock makes free throw 1 of 2,14,19
70,1,4:24.0,,R. Bullock makes free throw 2 of 2,14,20
71,1,4:15.0,,D. Buycks enters the game for I. Smith,14,20
72,1,4:08.0,A. Harrison misses 2-pt layup from 3 ft (block by L. Kennard),,14,20
73,1,4:08.0,Offensive rebound by Team,,14,20
74,1,4:02.0,J. Green misses 3-pt jump shot from 24 ft,,14,20
75,1,3:58.0,,Defensive rebound by R. Bullock,14,20
76,1,3:51.0,,B. Griffin misses 3-pt jump shot from 25 ft,14,20
77,1,3:48.0,Defensive rebound by M. Gasol,,14,20
78,1,3:36.0,B. McLemore misses 2-pt jump shot from 20 ft,,14,20
79,1,3:32.0,Offensive rebound by M. Gasol,,14,20
80,1,3:31.0,M. Henry misses 3-pt jump shot from 25 ft,,14,20
81,1,3:31.0,,Defensive rebound by A. Drummond,14,20
82,1,3:22.0,,B. Griffin makes 2-pt layup from 1 ft,14,22
83,1,3:06.0,J. Green misses 3-pt jump shot from 25 ft,,14,22
84,1,3:04.0,,Defensive rebound by A. Drummond,14,22
85,1,2:52.0,,D. Buycks misses 3-pt jump shot from 24 ft,14,22
86,1,2:49.0,Defensive rebound by J. Green,,14,22
87,1,2:40.0,M. Gasol misses 2-pt jump shot from 13 ft,,14,22
88,1,2:38.0,,Defensive rebound by B. Griffin,14,22
89,1,2:23.0,,Turnover by L. Kennard (bad pass),14,22
90,1,2:23.0,,Detroit full timeout,14,22
91,1,2:23.0,,L. Galloway enters the game for B. Griffin,14,22
92,1,2:23.0,,A. Tolliver enters the game for R. Bullock,14,22
93,1,2:23.0,D. Davis enters the game for J. Green,,14,22
94,1,2:23.0,J. Martin enters the game for M. Gasol,,14,22
95,1,2:11.0,A. Harrison misses 2-pt jump shot from 15 ft,,14,22
96,1,2:02.0,Offensive rebound by D. Davis,,14,22
97,1,2:02.0,D. Davis makes 2-pt layup at rim,,16,22
98,1,1:52.0,,D. Buycks makes 2-pt layup from 1 ft (assist by L. Kennard),16,24
99,1,1:37.0,Personal foul by L. Kennard (drawn by J. Martin),,16,24
100,1,1:28.0,A. Harrison makes 2-pt jump shot from 2 ft,,18,24
101,1,1:11.0,,L. Kennard misses 2-pt jump shot from 10 ft,18,24
102,1,1:09.0,Defensive rebound by D. Davis,,18,24
103,1,1:05.0,M. Henry makes 2-pt dunk from 1 ft (assist by A. Harrison),,20,24
104,1,0:50.0,,A. Drummond misses 2-pt layup from 2 ft,20,24
105,1,0:48.0,Defensive rebound by A. Harrison,,20,24
106,1,0:41.0,B. McLemore misses 2-pt layup from 5 ft (block by A. Drummond),,20,24
107,1,0:37.0,,Defensive rebound by A. Drummond,20,24
108,1,0:34.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by A. Drummond),20,27
109,1,0:17.0,J. Martin makes 2-pt layup from 5 ft,,22,27
110,1,0:05.0,,Offensive foul by A. Tolliver (drawn by A. Harrison),22,27
