,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Morris misses 2-pt jump shot from 18 ft,0,0
1,1,11:36.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
2,1,11:28.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,0,0
3,1,11:25.0,,Defensive rebound by M. Gortat,0,0
4,1,11:18.0,,M. Gortat misses 2-pt layup at rim (block by D. Howard),0,0
5,1,11:15.0,Defensive rebound by K. Walker,,0,0
6,1,11:13.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,3,0
7,1,10:59.0,,T. Satoranský misses 2-pt layup from 3 ft (block by D. Howard),3,0
8,1,10:55.0,,Offensive rebound by M. Gortat,3,0
9,1,10:54.0,,M. Gortat makes 2-pt layup from 1 ft,3,2
10,1,10:40.0,N. Batum misses 3-pt jump shot from 27 ft,,3,2
11,1,10:35.0,,Defensive rebound by M. Gortat,3,2
12,1,10:33.0,,M. Morris makes 2-pt layup from 3 ft (assist by B. Beal),3,4
13,1,10:18.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,6,4
14,1,10:03.0,,O. Porter makes 2-pt jump shot from 8 ft (assist by M. Morris),6,6
15,1,9:46.0,Turnover by M. Williams (lost ball; steal by T. Satoranský),,6,6
16,1,9:42.0,,O. Porter misses 3-pt jump shot from 25 ft,6,6
17,1,9:39.0,Defensive rebound by M. Williams,,6,6
18,1,9:33.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,8,6
19,1,9:19.0,,B. Beal misses 3-pt jump shot from 24 ft,8,6
20,1,9:19.0,Defensive rebound by Team,,8,6
21,1,9:03.0,D. Howard makes 2-pt dunk from 3 ft (assist by N. Batum),,10,6
22,1,8:39.0,,M. Morris makes 2-pt layup at rim,10,8
23,1,8:17.0,D. Howard misses 2-pt layup from 2 ft,,10,8
24,1,8:15.0,Offensive rebound by N. Batum,,10,8
25,1,8:15.0,N. Batum misses 2-pt layup from 2 ft,,10,8
26,1,8:12.0,,Defensive rebound by M. Morris,10,8
27,1,8:02.0,,B. Beal misses 2-pt jump shot from 10 ft,10,8
28,1,8:00.0,Defensive rebound by D. Howard,,10,8
29,1,7:52.0,N. Batum makes 2-pt jump shot from 20 ft (assist by D. Howard),,12,8
30,1,7:36.0,,M. Gortat makes 2-pt jump shot from 5 ft (assist by M. Morris),12,10
31,1,7:16.0,M. Williams misses 2-pt jump shot from 2 ft,,12,10
32,1,7:16.0,Offensive rebound by M. Williams,,12,10
33,1,7:12.0,M. Williams makes 2-pt layup at rim,,14,10
34,1,7:03.0,,Turnover by B. Beal (bad pass; steal by N. Batum),14,10
35,1,7:00.0,N. Batum makes 2-pt layup from 2 ft (assist by D. Howard),,16,10
36,1,7:00.0,Shooting foul by M. Morris (drawn by N. Batum),,16,10
37,1,7:00.0,N. Batum makes free throw 1 of 1,,17,10
38,1,6:57.0,,Washington full timeout,17,10
39,1,6:50.0,,M. Morris makes 2-pt dunk from 2 ft (assist by T. Satoranský),17,12
40,1,6:33.0,D. Howard makes 2-pt layup from 2 ft (assist by N. Batum),,19,12
41,1,6:18.0,,M. Morris misses 3-pt jump shot from 24 ft,19,12
42,1,6:15.0,,Offensive rebound by O. Porter,19,12
43,1,6:14.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by O. Porter),19,15
44,1,5:51.0,K. Walker misses 3-pt jump shot from 26 ft,,19,15
45,1,5:48.0,,Defensive rebound by M. Morris,19,15
46,1,5:36.0,,Turnover by M. Morris (traveling),19,15
47,1,5:18.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by N. Batum),,21,15
48,1,5:04.0,,Turnover by T. Satoranský (out of bounds lost ball),21,15
49,1,5:04.0,,K. Oubre enters the game for O. Porter,21,15
50,1,4:45.0,M. Williams makes 3-pt jump shot from 29 ft (assist by N. Batum),,24,15
51,1,4:45.0,Shooting foul by M. Morris (drawn by M. Williams),,24,15
52,1,4:45.0,,M. Scott enters the game for M. Morris,24,15
53,1,4:45.0,M. Williams misses free throw 1 of 1,,24,15
54,1,4:42.0,,Defensive rebound by M. Gortat,24,15
55,1,4:23.0,,Turnover by B. Beal (bad pass; steal by K. Walker),24,15
56,1,4:13.0,M. Kidd-Gilchrist makes 2-pt jump shot from 12 ft,,26,15
57,1,4:00.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by M. Gortat),26,18
58,1,3:43.0,K. Walker misses 2-pt jump shot from 16 ft,,26,18
59,1,3:40.0,,Defensive rebound by M. Gortat,26,18
60,1,3:27.0,,T. Satoranský makes 2-pt layup at rim (assist by B. Beal),26,20
61,1,3:20.0,Charlotte full timeout,,26,20
62,1,3:20.0,,I. Mahinmi enters the game for M. Gortat,26,20
63,1,3:20.0,F. Kaminsky enters the game for M. Williams,,26,20
64,1,3:20.0,J. Lamb enters the game for M. Kidd-Gilchrist,,26,20
65,1,3:13.0,D. Howard makes 2-pt layup from 4 ft (assist by N. Batum),,28,20
66,1,2:57.0,,Offensive foul by I. Mahinmi (drawn by N. Batum),28,20
67,1,2:57.0,,Turnover by I. Mahinmi (offensive foul),28,20
68,1,2:57.0,C. Zeller enters the game for D. Howard,,28,20
69,1,2:57.0,M. Carter-Williams enters the game for K. Walker,,28,20
70,1,2:46.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,28,20
71,1,2:42.0,Offensive rebound by C. Zeller,,28,20
72,1,2:41.0,J. Lamb misses 3-pt jump shot from 25 ft,,28,20
73,1,2:41.0,,Defensive rebound by I. Mahinmi,28,20
74,1,2:26.0,,M. Scott misses 2-pt jump shot from 7 ft,28,20
75,1,2:23.0,,Offensive rebound by M. Scott,28,20
76,1,2:22.0,,Turnover by M. Scott (lost ball; steal by M. Carter-Williams),28,20
77,1,2:06.0,N. Batum makes 3-pt jump shot from 27 ft,,31,20
78,1,1:51.0,,Shooting foul by C. Zeller (drawn by I. Mahinmi),31,20
79,1,1:51.0,,I. Mahinmi makes free throw 1 of 2,31,21
