,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHARLOTTE_ACTION,NEW ORLEANS_SCORE,CHARLOTTE_SCORE
0,1,11:34.0,J. Holiday misses 2-pt layup from 3 ft (block by D. Howard),,0,0
1,1,11:34.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:18.0,,M. Williams misses 3-pt jump shot from 25 ft,0,0
4,1,11:13.0,Defensive rebound by D. Cousins,,0,0
5,1,11:08.0,Turnover by D. Cousins (bad pass; steal by N. Batum),,0,0
6,1,11:05.0,,Turnover by M. Williams (out of bounds lost ball),0,0
7,1,10:52.0,J. Holiday misses 2-pt jump shot from 19 ft,,0,0
8,1,10:49.0,,Defensive rebound by M. Williams,0,0
9,1,10:41.0,,D. Howard misses 2-pt jump shot from 4 ft (block by D. Cousins),0,0
10,1,10:41.0,Defensive rebound by Team,,0,0
11,1,10:23.0,R. Rondo makes 3-pt jump shot from 22 ft (assist by J. Holiday),,3,0
12,1,10:08.0,,K. Walker misses 2-pt jump shot from 12 ft,3,0
13,1,10:05.0,Defensive rebound by D. Cousins,,3,0
14,1,9:58.0,A. Davis makes 2-pt jump shot from 4 ft (assist by E. Moore),,5,0
15,1,9:43.0,,M. Williams misses 2-pt jump shot from 6 ft (block by R. Rondo),5,0
16,1,9:39.0,Defensive rebound by J. Holiday,,5,0
17,1,9:36.0,E. Moore misses 2-pt jump shot from 6 ft,,5,0
18,1,9:36.0,Offensive rebound by Team,,5,0
19,1,9:36.0,,Loose ball foul by D. Howard (drawn by A. Davis),5,0
20,1,9:28.0,R. Rondo makes 2-pt layup at rim,,7,0
21,1,9:17.0,,Shooting foul by E. Moore (drawn by D. Howard),7,0
22,1,9:17.0,,D. Howard misses free throw 1 of 2,7,0
23,1,9:17.0,,Offensive rebound by Team,7,0
24,1,9:17.0,,D. Howard makes free throw 2 of 2,7,1
25,1,9:06.0,D. Cousins misses 3-pt jump shot from 25 ft,,7,1
26,1,9:02.0,,Defensive rebound by M. Williams,7,1
27,1,8:55.0,,D. Howard misses 2-pt hook shot from 5 ft (block by D. Cousins),7,1
28,1,8:52.0,Defensive rebound by J. Holiday,,7,1
29,1,8:49.0,R. Rondo misses 2-pt jump shot from 15 ft (block by N. Batum),,7,1
30,1,8:46.0,,Defensive rebound by M. Kidd-Gilchrist,7,1
31,1,8:39.0,,Turnover by K. Walker (bad pass; steal by D. Cousins),7,1
32,1,8:34.0,J. Holiday misses 3-pt jump shot from 23 ft,,7,1
33,1,8:31.0,,Defensive rebound by M. Williams,7,1
34,1,8:23.0,,Shooting foul by D. Cousins (drawn by D. Howard),7,1
35,1,8:23.0,,D. Howard misses free throw 1 of 2,7,1
36,1,8:23.0,,Offensive rebound by Team,7,1
37,1,8:23.0,,D. Howard makes free throw 2 of 2,7,2
38,1,8:17.0,Shooting foul by M. Williams (drawn by D. Cousins),,7,2
39,1,8:17.0,D. Cousins misses free throw 1 of 2,,7,2
40,1,8:17.0,Offensive rebound by Team,,7,2
41,1,8:17.0,D. Cousins makes free throw 2 of 2,,8,2
42,1,8:05.0,,D. Howard makes 2-pt layup from 1 ft (assist by K. Walker),8,4
