,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:34.0,H. Barnes makes 2-pt layup from 7 ft,,2,0
1,1,11:23.0,,J. Harden misses 2-pt layup from 5 ft,2,0
2,1,11:23.0,,Offensive rebound by C. Capela,2,0
3,1,11:17.0,,E. Gordon makes 2-pt layup at rim,2,2
4,1,11:17.0,,Shooting foul by D. Nowitzki (drawn by E. Gordon),2,2
5,1,11:17.0,,E. Gordon makes free throw 1 of 1,2,3
6,1,11:10.0,Turnover by D. Finney-Smith (bad pass; steal by T. Ariza),,2,3
7,1,11:08.0,,T. Ariza makes 2-pt dunk from 1 ft,2,5
8,1,10:53.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,5,5
9,1,10:39.0,,C. Capela misses 2-pt dunk from 1 ft,5,5
10,1,10:36.0,Defensive rebound by W. Matthews,,5,5
11,1,10:26.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by W. Matthews),,8,5
12,1,10:13.0,,J. Harden makes 2-pt jump shot from 11 ft,8,7
13,1,9:43.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,8,7
14,1,9:41.0,,Defensive rebound by C. Capela,8,7
15,1,9:25.0,,E. Gordon makes 2-pt layup from 2 ft,8,9
16,1,9:08.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,8,9
17,1,9:06.0,,Defensive rebound by R. Anderson,8,9
18,1,8:53.0,,J. Harden misses 3-pt jump shot from 24 ft,8,9
19,1,8:49.0,,Offensive rebound by C. Capela,8,9
20,1,8:46.0,,R. Anderson makes 3-pt jump shot from 27 ft (assist by C. Capela),8,12
21,1,8:21.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,8,12
22,1,8:19.0,,Defensive rebound by R. Anderson,8,12
23,1,8:07.0,,J. Harden makes 2-pt layup from 2 ft,8,14
24,1,7:43.0,Turnover by H. Barnes (turnover; steal by J. Harden),,8,14
25,1,7:37.0,,Personal foul by D. Finney-Smith (drawn by J. Harden),8,14
