,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,3,0
1,1,11:18.0,,L. Aldridge misses 2-pt layup at rim,3,0
2,1,11:16.0,Defensive rebound by J. Johnson,,3,0
3,1,11:06.0,G. Dragić misses 3-pt jump shot from 25 ft,,3,0
4,1,11:02.0,,Defensive rebound by R. Gay,3,0
5,1,10:54.0,,P. Gasol makes 2-pt hook shot from 5 ft (assist by T. Parker),3,2
6,1,10:40.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Waiters),,6,2
7,1,10:26.0,,L. Aldridge misses 2-pt jump shot from 17 ft,6,2
8,1,10:22.0,Defensive rebound by K. Olynyk,,6,2
9,1,10:13.0,Shooting foul by L. Aldridge (drawn by J. Johnson),,6,2
10,1,10:13.0,J. Johnson misses free throw 1 of 2,,6,2
11,1,10:13.0,Offensive rebound by Team,,6,2
12,1,10:13.0,J. Johnson makes free throw 2 of 2,,7,2
13,1,9:58.0,,P. Gasol misses 2-pt jump shot from 16 ft,7,2
14,1,9:55.0,,Offensive rebound by T. Parker,7,2
15,1,9:46.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Gasol),7,4
16,1,9:31.0,J. Richardson misses 3-pt jump shot from 22 ft,,7,4
17,1,9:28.0,,Defensive rebound by P. Gasol,7,4
18,1,9:21.0,,T. Parker makes 2-pt layup from 1 ft,7,6
19,1,9:09.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,10,6
20,1,8:54.0,,Turnover by T. Parker (bad pass; steal by G. Dragić),10,6
21,1,8:48.0,D. Waiters makes 2-pt layup from 2 ft (assist by J. Richardson),,12,6
22,1,8:48.0,,San Antonio full timeout,12,6
23,1,8:28.0,,D. Green makes 3-pt jump shot from 22 ft (assist by R. Gay),12,9
24,1,8:14.0,J. Richardson misses 3-pt jump shot from 25 ft,,12,9
25,1,8:12.0,,Defensive rebound by R. Gay,12,9
26,1,8:00.0,,P. Gasol misses 2-pt jump shot from 9 ft,12,9
27,1,7:52.0,,Offensive rebound by L. Aldridge,12,9
28,1,7:52.0,,L. Aldridge makes 2-pt layup at rim,12,11
29,1,7:36.0,D. Waiters makes 2-pt jump shot from 16 ft (assist by K. Olynyk),,14,11
