,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,T. Gibson misses 2-pt jump shot from 18 ft,0,0
1,1,11:39.0,Defensive rebound by M. Morris,,0,0
2,1,11:25.0,O. Porter misses 2-pt jump shot from 12 ft,,0,0
3,1,11:22.0,,Defensive rebound by A. Wiggins,0,0
4,1,11:03.0,,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Jones),0,3
5,1,10:38.0,M. Gortat makes 2-pt jump shot from 10 ft (assist by T. Frazier),,2,3
6,1,10:12.0,,T. Gibson makes 2-pt jump shot from 8 ft (assist by J. Butler),2,5
7,1,9:58.0,B. Beal makes 2-pt jump shot from 17 ft (assist by T. Frazier),,4,5
8,1,9:35.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by T. Jones),4,8
9,1,9:14.0,M. Gortat misses 2-pt jump shot from 9 ft,,4,8
10,1,9:11.0,,Defensive rebound by K. Towns,4,8
11,1,8:56.0,,K. Towns makes 2-pt jump shot from 3 ft (assist by A. Wiggins),4,10
12,1,8:42.0,M. Morris misses 2-pt jump shot from 9 ft,,4,10
13,1,8:39.0,,Defensive rebound by T. Jones,4,10
14,1,8:34.0,,T. Gibson makes 2-pt dunk at rim (assist by T. Jones),4,12
15,1,8:33.0,Washington full timeout,,4,12
16,1,8:12.0,M. Morris misses 3-pt jump shot from 25 ft,,4,12
17,1,8:08.0,Offensive rebound by M. Gortat,,4,12
18,1,8:08.0,M. Gortat makes 2-pt jump shot from 6 ft,,6,12
19,1,7:50.0,,T. Jones makes 2-pt layup from 1 ft (assist by J. Butler),6,14
20,1,7:33.0,O. Porter misses 3-pt jump shot from 25 ft,,6,14
21,1,7:31.0,,Defensive rebound by Team,6,14
22,1,7:17.0,,A. Wiggins makes 3-pt jump shot from 25 ft,6,17
23,1,7:08.0,Personal foul by A. Wiggins (drawn by O. Porter),,6,17
24,1,6:56.0,O. Porter misses 2-pt jump shot from 21 ft,,6,17
25,1,6:53.0,Offensive rebound by Team,,6,17
26,1,6:36.0,M. Morris misses 3-pt jump shot from 25 ft,,6,17
27,1,6:32.0,,Defensive rebound by A. Wiggins,6,17
28,1,6:15.0,,T. Gibson misses 2-pt jump shot from 10 ft,6,17
29,1,6:13.0,Defensive rebound by O. Porter,,6,17
30,1,6:03.0,M. Gortat makes 2-pt hook shot from 6 ft,,8,17
31,1,5:40.0,,J. Butler misses 3-pt jump shot from 24 ft,8,17
32,1,5:36.0,,Offensive rebound by K. Towns,8,17
33,1,5:35.0,,K. Towns misses 2-pt jump shot from 5 ft,8,17
34,1,5:32.0,Defensive rebound by O. Porter,,8,17
35,1,5:23.0,O. Porter misses 2-pt jump shot from 4 ft,,8,17
36,1,5:21.0,,Defensive rebound by T. Gibson,8,17
37,1,5:19.0,,Shooting block foul by T. Frazier (drawn by T. Jones),8,17
38,1,5:19.0,,T. Jones makes free throw 1 of 2,8,18
39,1,5:19.0,,T. Jones makes free throw 2 of 2,8,19
40,1,5:10.0,B. Beal misses 2-pt layup at rim,,8,19
41,1,5:07.0,,Defensive rebound by K. Towns,8,19
42,1,4:52.0,,T. Jones misses 3-pt jump shot from 23 ft,8,19
43,1,4:49.0,Defensive rebound by M. Morris,,8,19
44,1,4:41.0,B. Beal misses 2-pt jump shot from 16 ft,,8,19
45,1,4:37.0,,Defensive rebound by K. Towns,8,19
46,1,4:28.0,,Shooting foul by M. Gortat (drawn by T. Gibson),8,19
47,1,4:28.0,,T. Gibson misses free throw 1 of 2,8,19
48,1,4:28.0,,Offensive rebound by Team,8,19
49,1,4:28.0,,G. Dieng enters the game for K. Towns,8,19
50,1,4:28.0,K. Oubre enters the game for M. Gortat,,8,19
51,1,4:28.0,I. Mahinmi enters the game for M. Morris,,8,19
52,1,4:28.0,,T. Gibson misses free throw 2 of 2,8,19
53,1,4:25.0,Defensive rebound by O. Porter,,8,19
54,1,4:12.0,K. Oubre misses 2-pt jump shot from 17 ft,,8,19
55,1,4:06.0,Offensive rebound by I. Mahinmi,,8,19
56,1,4:06.0,I. Mahinmi misses 2-pt dunk at rim,,8,19
57,1,4:06.0,,Defensive rebound by T. Gibson,8,19
58,1,3:59.0,,A. Wiggins misses 3-pt jump shot from 24 ft,8,19
59,1,3:59.0,Defensive rebound by Team,,8,19
60,1,3:58.0,,Loose ball foul by G. Dieng (drawn by I. Mahinmi),8,19
61,1,3:58.0,,J. Crawford enters the game for J. Butler,8,19
62,1,3:58.0,T. Satoranský enters the game for T. Frazier,,8,19
63,1,3:42.0,K. Oubre makes 2-pt layup from 1 ft (assist by T. Satoranský),,10,19
64,1,3:20.0,,A. Wiggins makes 2-pt hook shot from 6 ft,10,21
65,1,3:04.0,O. Porter makes 3-pt jump shot from 25 ft (assist by B. Beal),,13,21
66,1,2:45.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by T. Jones),13,23
67,1,2:32.0,T. Satoranský misses 3-pt jump shot from 22 ft,,13,23
68,1,2:29.0,Offensive rebound by I. Mahinmi,,13,23
69,1,2:20.0,O. Porter makes 2-pt layup from 1 ft,,15,23
70,1,1:59.0,,A. Wiggins makes 2-pt layup at rim,15,25
71,1,1:59.0,,Shooting foul by K. Oubre (drawn by A. Wiggins),15,25
72,1,1:59.0,,Minnesota full timeout,15,25
73,1,1:59.0,J. Meeks enters the game for B. Beal,,15,25
74,1,1:59.0,M. Scott enters the game for O. Porter,,15,25
75,1,1:59.0,,A. Wiggins makes free throw 1 of 1,15,26
76,1,1:41.0,Shooting foul by G. Dieng (drawn by M. Scott),,15,26
77,1,1:41.0,M. Scott misses free throw 1 of 2,,15,26
78,1,1:41.0,Offensive rebound by Team,,15,26
79,1,1:41.0,M. Scott makes free throw 2 of 2,,16,26
80,1,1:29.0,,G. Dieng misses 3-pt jump shot from 22 ft,16,26
81,1,1:26.0,Defensive rebound by K. Oubre,,16,26
82,1,1:23.0,K. Oubre makes 2-pt layup from 1 ft,,18,26
83,1,1:06.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by T. Jones),18,29
