,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:39.0,P. Zipser makes 2-pt layup from 4 ft,,2,0
1,1,11:24.0,,Turnover by L. James (bad pass; steal by J. Grant),2,0
2,1,11:18.0,P. Zipser misses 2-pt jump shot from 16 ft,,2,0
3,1,11:18.0,Offensive rebound by Team,,2,0
4,1,11:05.0,P. Zipser makes 2-pt layup from 1 ft (assist by J. Grant),,4,0
5,1,10:48.0,,K. Love misses 2-pt hook shot from 14 ft,4,0
6,1,10:44.0,Defensive rebound by J. Grant,,4,0
7,1,10:38.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by J. Grant),,7,0
8,1,10:11.0,,L. James makes 2-pt jump shot from 20 ft,7,2
9,1,9:57.0,J. Holiday misses 2-pt layup from 2 ft (block by T. Thompson),,7,2
10,1,9:50.0,,Defensive rebound by T. Thompson,7,2
11,1,9:50.0,,Personal foul by P. Zipser (drawn by T. Thompson),7,2
12,1,9:43.0,,J. Smith misses 3-pt jump shot from 25 ft,7,2
13,1,9:39.0,Defensive rebound by L. Markkanen,,7,2
14,1,9:36.0,J. Grant makes 2-pt layup at rim,,9,2
15,1,9:21.0,,J. Crowder misses 2-pt jump shot from 17 ft,9,2
16,1,9:17.0,Defensive rebound by L. Markkanen,,9,2
17,1,9:13.0,J. Holiday misses 3-pt jump shot from 25 ft,,9,2
18,1,9:11.0,,Defensive rebound by K. Love,9,2
19,1,9:11.0,,Personal foul by J. Grant (drawn by J. Crowder),9,2
20,1,9:03.0,,K. Love misses 2-pt jump shot from 15 ft,9,2
21,1,8:59.0,Defensive rebound by R. Lopez,,9,2
22,1,8:53.0,L. Markkanen makes 3-pt jump shot from 29 ft (assist by J. Grant),,12,2
23,1,8:51.0,,Cleveland full timeout,12,2
24,1,8:34.0,,J. Crowder makes 2-pt layup from 1 ft (assist by L. James),12,4
25,1,8:13.0,R. Lopez makes 2-pt jump shot from 19 ft,,14,4
26,1,8:00.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),14,7
27,1,7:32.0,R. Lopez makes 3-pt jump shot from 26 ft (assist by J. Grant),,17,7
28,1,7:14.0,,K. Love makes 2-pt hook shot from 14 ft (assist by L. James),17,9
29,1,7:06.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by J. Grant),,20,9
30,1,6:47.0,,J. Crowder misses 2-pt layup from 1 ft (block by L. Markkanen),20,9
31,1,6:41.0,Defensive rebound by L. Markkanen,,20,9
32,1,6:35.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by R. Lopez),,22,9
33,1,6:18.0,,L. James makes 3-pt jump shot from 27 ft (assist by K. Love),22,12
34,1,5:52.0,J. Grant misses 3-pt jump shot from 25 ft,,22,12
35,1,5:48.0,Offensive rebound by R. Lopez,,22,12
36,1,5:48.0,R. Lopez misses 2-pt layup at rim,,22,12
37,1,5:48.0,,Defensive rebound by K. Love,22,12
38,1,5:48.0,,Offensive foul by K. Love (drawn by R. Lopez),22,12
39,1,5:48.0,,Turnover by K. Love (offensive foul),22,12
40,1,5:48.0,,J. Green enters the game for K. Love,22,12
41,1,5:40.0,L. Markkanen makes 2-pt layup at rim (assist by P. Zipser),,24,12
42,1,5:26.0,,L. James misses 2-pt jump shot from 18 ft,24,12
43,1,5:22.0,Defensive rebound by P. Zipser,,24,12
44,1,5:16.0,J. Grant makes 2-pt layup at rim,,26,12
45,1,5:00.0,,L. James makes 3-pt jump shot from 22 ft (assist by J. Green),26,15
46,1,4:37.0,L. Markkanen misses 3-pt jump shot from 28 ft,,26,15
47,1,4:33.0,,Defensive rebound by L. James,26,15
48,1,4:28.0,,L. James makes 2-pt layup from 1 ft,26,17
49,1,4:08.0,J. Grant misses 3-pt jump shot from 26 ft,,26,17
50,1,4:04.0,Offensive rebound by P. Zipser,,26,17
51,1,3:56.0,Shooting foul by J. Smith (drawn by J. Holiday),,26,17
52,1,3:56.0,J. Holiday makes free throw 1 of 2,,27,17
53,1,3:56.0,,C. Frye enters the game for T. Thompson,27,17
54,1,3:56.0,C. Felício enters the game for P. Zipser,,27,17
55,1,3:56.0,D. Nwaba enters the game for R. Lopez,,27,17
56,1,3:56.0,J. Holiday makes free throw 2 of 2,,28,17
57,1,3:43.0,,J. Smith misses 3-pt jump shot from 26 ft,28,17
58,1,3:39.0,Defensive rebound by L. Markkanen,,28,17
59,1,3:34.0,Turnover by J. Grant (bad pass),,28,17
60,1,3:34.0,,I. Shumpert enters the game for J. Smith,28,17
61,1,3:27.0,,L. James misses 2-pt layup from 2 ft (block by D. Nwaba),28,17
62,1,3:21.0,Defensive rebound by J. Holiday,,28,17
63,1,3:18.0,J. Holiday misses 3-pt jump shot from 25 ft,,28,17
64,1,3:13.0,,Defensive rebound by C. Frye,28,17
65,1,3:10.0,,L. James makes 2-pt layup from 2 ft,28,19
66,1,3:10.0,Chicago full timeout,,28,19
67,1,3:10.0,K. Felder enters the game for J. Grant,,28,19
68,1,3:10.0,P. Zipser enters the game for L. Markkanen,,28,19
69,1,2:46.0,J. Holiday misses 2-pt jump shot from 17 ft,,28,19
70,1,2:43.0,,Defensive rebound by J. Green,28,19
71,1,2:39.0,,J. Green misses 2-pt layup at rim,28,19
72,1,2:34.0,Defensive rebound by J. Holiday,,28,19
73,1,2:25.0,K. Felder makes 2-pt jump shot from 19 ft,,30,19
74,1,2:04.0,,J. Crowder misses 3-pt jump shot from 25 ft,30,19
75,1,2:01.0,Defensive rebound by D. Nwaba,,30,19
76,1,1:51.0,K. Felder makes 2-pt layup at rim (assist by D. Nwaba),,32,19
