,QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
0,1,11:31.0,,T. Johnson misses 3-pt jump shot from 23 ft,0,0
1,1,11:29.0,Defensive rebound by B. Marjanović,,0,0
2,1,11:18.0,A. Bradley misses 3-pt jump shot from 26 ft,,0,0
3,1,11:16.0,,Defensive rebound by K. Olynyk,0,0
4,1,11:02.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by H. Whiteside),0,3
5,1,10:46.0,R. Bullock misses 2-pt layup from 2 ft (block by H. Whiteside),,0,3
6,1,10:46.0,Offensive rebound by Team,,0,3
7,1,10:35.0,B. Marjanović makes 2-pt jump shot from 9 ft,,2,3
8,1,10:16.0,,G. Dragić misses 2-pt jump shot from 10 ft,2,3
9,1,10:12.0,Defensive rebound by I. Smith,,2,3
10,1,10:05.0,T. Harris makes 2-pt jump shot from 1 ft (assist by I. Smith),,4,3
11,1,9:42.0,,K. Olynyk misses 2-pt jump shot from 17 ft,4,3
12,1,9:37.0,Defensive rebound by A. Bradley,,4,3
13,1,9:35.0,Shooting foul by K. Olynyk (drawn by B. Marjanović),,4,3
14,1,9:35.0,B. Marjanović makes free throw 1 of 2,,5,3
15,1,9:35.0,B. Marjanović makes free throw 2 of 2,,6,3
16,1,9:25.0,,Personal foul by B. Marjanović (drawn by G. Dragić),6,3
17,1,9:17.0,,J. Richardson misses 2-pt jump shot from 19 ft,6,3
18,1,9:14.0,Defensive rebound by B. Marjanović,,6,3
19,1,9:05.0,T. Harris misses 2-pt jump shot from 7 ft,,6,3
20,1,9:03.0,,Defensive rebound by K. Olynyk,6,3
21,1,8:55.0,,H. Whiteside misses 2-pt jump shot from 14 ft,6,3
22,1,8:52.0,Defensive rebound by B. Marjanović,,6,3
23,1,8:37.0,T. Harris misses 2-pt jump shot from 11 ft,,6,3
24,1,8:37.0,Offensive rebound by B. Marjanović,,6,3
25,1,8:37.0,Shooting foul by H. Whiteside (drawn by B. Marjanović),,6,3
26,1,8:37.0,B. Marjanović makes free throw 1 of 2,,7,3
27,1,8:37.0,B. Marjanović makes free throw 2 of 2,,8,3
28,1,8:24.0,,G. Dragić makes 2-pt layup from 1 ft,8,5
29,1,8:12.0,R. Bullock makes 2-pt jump shot from 19 ft,,10,5
30,1,8:00.0,,Turnover by G. Dragić (bad pass; steal by A. Bradley),10,5
31,1,7:54.0,T. Harris makes 2-pt dunk from 1 ft (assist by A. Bradley),,12,5
32,1,7:33.0,,H. Whiteside makes 2-pt dunk at rim (assist by K. Olynyk),12,7
33,1,7:15.0,Turnover by T. Harris (bad pass; steal by H. Whiteside),,12,7
34,1,7:09.0,,G. Dragić misses 2-pt jump shot from 14 ft,12,7
35,1,7:04.0,Defensive rebound by B. Marjanović,,12,7
36,1,6:56.0,T. Harris misses 2-pt jump shot from 10 ft,,12,7
37,1,6:53.0,,Defensive rebound by K. Olynyk,12,7
38,1,6:48.0,,J. Richardson makes 2-pt jump shot from 4 ft,12,9
39,1,6:39.0,B. Marjanović makes 2-pt hook shot from 5 ft (assist by A. Bradley),,14,9
40,1,6:39.0,Shooting foul by H. Whiteside (drawn by B. Marjanović),,14,9
41,1,6:39.0,,Miami full timeout,14,9
42,1,6:39.0,,W. Ellington enters the game for J. Richardson,14,9
43,1,6:39.0,,J. Johnson enters the game for H. Whiteside,14,9
44,1,6:39.0,B. Marjanović makes free throw 1 of 1,,15,9
45,1,6:28.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by T. Johnson),15,12
46,1,6:10.0,A. Bradley misses 2-pt layup at rim,,15,12
47,1,6:08.0,,Defensive rebound by K. Olynyk,15,12
48,1,5:58.0,,Turnover by J. Johnson (turnover),15,12
49,1,5:39.0,R. Bullock misses 3-pt jump shot from 26 ft,,15,12
50,1,5:37.0,,Defensive rebound by G. Dragić,15,12
51,1,5:21.0,,T. Johnson misses 2-pt jump shot from 19 ft,15,12
52,1,5:16.0,,Offensive rebound by K. Olynyk,15,12
53,1,5:16.0,,K. Olynyk makes 2-pt layup at rim,15,14
54,1,5:09.0,B. Marjanović misses 2-pt hook shot from 6 ft,,15,14
55,1,5:06.0,,Defensive rebound by G. Dragić,15,14
56,1,5:02.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by G. Dragić),15,17
57,1,4:54.0,Detroit full timeout,,15,17
58,1,4:54.0,L. Kennard enters the game for A. Bradley,,15,17
59,1,4:54.0,E. Moreland enters the game for B. Marjanović,,15,17
60,1,4:44.0,T. Harris makes 2-pt jump shot from 6 ft,,17,17
61,1,4:29.0,,T. Johnson makes 2-pt dunk at rim (assist by G. Dragić),17,19
62,1,4:14.0,T. Harris makes 2-pt jump shot from 11 ft,,19,19
63,1,4:03.0,,Def 3 sec tech foul by T. Harris,19,19
64,1,4:03.0,,W. Ellington misses technical free throw,19,19
65,1,4:03.0,,Offensive rebound by Team,19,19
