,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,Turnover by J. Teague (out of bounds lost ball),0,0
1,1,11:26.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,0,0
2,1,11:21.0,,Defensive rebound by J. Butler,0,0
3,1,11:16.0,,K. Towns misses 3-pt jump shot from 26 ft,0,0
4,1,11:12.0,Defensive rebound by D. Smith,,0,0
5,1,10:59.0,H. Barnes misses 2-pt jump shot from 20 ft,,0,0
6,1,10:53.0,Offensive rebound by S. Mejri,,0,0
7,1,10:53.0,S. Mejri misses 2-pt layup at rim,,0,0
8,1,10:52.0,,Defensive rebound by J. Butler,0,0
9,1,10:49.0,,J. Butler misses 2-pt jump shot from 16 ft,0,0
10,1,10:47.0,Defensive rebound by D. Smith,,0,0
11,1,10:43.0,D. Smith misses 2-pt jump shot from 22 ft,,0,0
12,1,10:39.0,,Defensive rebound by J. Butler,0,0
13,1,10:31.0,,Turnover by J. Teague (bad pass; steal by D. Nowitzki),0,0
14,1,10:25.0,H. Barnes makes 2-pt layup from 3 ft (assist by W. Matthews),,2,0
15,1,10:09.0,,Personal foul by S. Mejri (drawn by K. Towns),2,0
16,1,10:00.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by J. Teague),2,2
17,1,9:38.0,W. Matthews misses 2-pt jump shot from 19 ft,,2,2
18,1,9:36.0,,Defensive rebound by Team,2,2
19,1,9:22.0,,A. Wiggins misses 2-pt jump shot from 14 ft,2,2
20,1,9:19.0,Defensive rebound by D. Nowitzki,,2,2
21,1,9:01.0,D. Smith makes 2-pt layup from 1 ft,,4,2
22,1,8:52.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),4,5
23,1,8:37.0,Turnover by D. Smith (out of bounds lost ball),,4,5
24,1,8:37.0,Y. Ferrell enters the game for D. Nowitzki,,4,5
25,1,8:25.0,,Shooting foul by S. Mejri (drawn by K. Towns),4,5
26,1,8:25.0,,K. Towns makes free throw 1 of 2,4,6
27,1,8:25.0,N. Noel enters the game for S. Mejri,,4,6
28,1,8:25.0,,K. Towns makes free throw 2 of 2,4,7
29,1,8:03.0,H. Barnes makes 2-pt layup from 1 ft (assist by Y. Ferrell),,6,7
30,1,7:52.0,,Personal foul by D. Smith (drawn by J. Teague),6,7
31,1,7:46.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Gibson),6,9
32,1,7:25.0,H. Barnes makes 2-pt jump shot from 11 ft,,8,9
33,1,7:07.0,,T. Gibson makes 2-pt jump shot from 12 ft (assist by J. Butler),8,11
34,1,6:47.0,W. Matthews misses 3-pt jump shot from 26 ft,,8,11
35,1,6:43.0,,Defensive rebound by K. Towns,8,11
36,1,6:34.0,,J. Butler misses 2-pt layup from 1 ft (block by N. Noel),8,11
37,1,6:32.0,,Offensive rebound by T. Gibson,8,11
38,1,6:31.0,,T. Gibson misses 2-pt jump shot from 16 ft,8,11
39,1,6:31.0,,Offensive rebound by K. Towns,8,11
