,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,T. Parker makes 2-pt jump shot from 8 ft,,2,0
1,1,11:26.0,,Z. Randolph misses 3-pt jump shot from 25 ft,2,0
2,1,11:26.0,,Offensive rebound by W. Cauley-Stein,2,0
3,1,11:19.0,,M. Richardson misses 2-pt jump shot from 15 ft,2,0
4,1,11:19.0,Defensive rebound by P. Gasol,,2,0
5,1,11:07.0,P. Gasol misses 2-pt jump shot from 21 ft,,2,0
6,1,11:07.0,,Defensive rebound by D. Fox,2,0
7,1,10:51.0,,B. Hield makes 2-pt jump shot from 16 ft,2,2
8,1,10:24.0,K. Anderson misses 3-pt jump shot from 22 ft,,2,2
9,1,10:19.0,,Defensive rebound by Z. Randolph,2,2
10,1,10:14.0,,B. Hield misses 3-pt jump shot from 25 ft,2,2
11,1,10:12.0,Defensive rebound by P. Gasol,,2,2
12,1,9:57.0,B. Forbes misses 3-pt jump shot from 25 ft,,2,2
13,1,9:53.0,,Defensive rebound by W. Cauley-Stein,2,2
14,1,9:35.0,,M. Richardson misses 3-pt jump shot from 24 ft,2,2
15,1,9:31.0,Defensive rebound by P. Gasol,,2,2
16,1,9:23.0,T. Parker misses 2-pt jump shot from 21 ft,,2,2
17,1,9:20.0,,Defensive rebound by W. Cauley-Stein,2,2
18,1,9:11.0,,D. Fox makes 2-pt layup from 2 ft,2,4
19,1,9:05.0,Shooting foul by Z. Randolph (drawn by T. Parker),,2,4
20,1,9:05.0,T. Parker misses free throw 1 of 2,,2,4
21,1,9:05.0,Offensive rebound by Team,,2,4
22,1,9:05.0,T. Parker makes free throw 2 of 2,,3,4
23,1,8:50.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,3,4
24,1,8:46.0,Defensive rebound by L. Aldridge,,3,4
25,1,8:40.0,T. Parker misses 2-pt jump shot from 17 ft,,3,4
26,1,8:37.0,,Defensive rebound by W. Cauley-Stein,3,4
27,1,8:24.0,,W. Cauley-Stein makes 2-pt jump shot from 12 ft,3,6
28,1,7:59.0,K. Anderson misses 2-pt jump shot from 5 ft,,3,6
29,1,7:56.0,,Defensive rebound by D. Fox,3,6
30,1,7:52.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),3,9
31,1,7:26.0,P. Gasol misses 2-pt hook shot from 9 ft,,3,9
32,1,7:24.0,,Defensive rebound by Z. Randolph,3,9
33,1,7:20.0,,Turnover by B. Hield (lost ball; steal by K. Anderson),3,9
34,1,7:09.0,P. Gasol misses 2-pt jump shot from 22 ft,,3,9
35,1,7:07.0,,Defensive rebound by Z. Randolph,3,9
36,1,7:02.0,,D. Fox misses 3-pt jump shot from 24 ft,3,9
37,1,6:58.0,Defensive rebound by L. Aldridge,,3,9
38,1,6:48.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by K. Anderson),,5,9
39,1,6:32.0,,Z. Randolph makes 2-pt hook shot from 6 ft (assist by D. Fox),5,11
40,1,6:32.0,San Antonio full timeout,,5,11
41,1,6:32.0,B. Paul enters the game for K. Anderson,,5,11
42,1,6:32.0,D. Murray enters the game for P. Gasol,,5,11
43,1,6:32.0,D. Bertāns enters the game for T. Parker,,5,11
44,1,6:15.0,L. Aldridge makes 2-pt jump shot from 13 ft,,7,11
45,1,5:52.0,,B. Hield misses 3-pt jump shot from 25 ft,7,11
46,1,5:52.0,,Offensive rebound by Team,7,11
47,1,5:35.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft,7,13
48,1,5:18.0,L. Aldridge makes 2-pt jump shot from 14 ft,,9,13
49,1,4:59.0,,W. Cauley-Stein makes 2-pt hook shot from 9 ft (assist by D. Fox),9,15
50,1,4:48.0,L. Aldridge misses 3-pt jump shot from 24 ft,,9,15
51,1,4:46.0,,Defensive rebound by W. Cauley-Stein,9,15
52,1,4:39.0,,S. Labissière enters the game for M. Richardson,9,15
53,1,4:39.0,,B. Bogdanović enters the game for Z. Randolph,9,15
54,1,4:39.0,P. Mills enters the game for B. Forbes,,9,15
55,1,4:35.0,,W. Cauley-Stein misses 2-pt jump shot from 21 ft,9,15
56,1,4:32.0,Defensive rebound by D. Murray,,9,15
57,1,4:19.0,D. Bertāns makes 2-pt jump shot from 21 ft (assist by B. Paul),,11,15
58,1,4:01.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,11,17
59,1,3:35.0,L. Aldridge misses 3-pt jump shot from 23 ft,,11,17
60,1,3:32.0,,Defensive rebound by S. Labissière,11,17
61,1,3:25.0,,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),11,17
62,1,3:25.0,,W. Cauley-Stein makes free throw 1 of 2,11,18
63,1,3:25.0,P. Gasol enters the game for L. Aldridge,,11,18
64,1,3:25.0,,W. Cauley-Stein makes free throw 2 of 2,11,19
65,1,3:15.0,,K. Koufos enters the game for W. Cauley-Stein,11,19
66,1,3:11.0,D. Murray makes 2-pt layup from 1 ft (assist by P. Mills),,13,19
67,1,2:46.0,,K. Koufos misses 2-pt layup from 7 ft,13,19
68,1,2:46.0,Defensive rebound by Team,,13,19
69,1,2:46.0,,Sacramento full timeout,13,19
70,1,2:46.0,,G. Temple enters the game for D. Fox,13,19
71,1,2:45.0,Turnover by D. Murray (out of bounds lost ball),,13,19
72,1,2:26.0,,B. Hield misses 3-pt jump shot from 24 ft,13,19
73,1,2:20.0,,Offensive rebound by S. Labissière,13,19
74,1,2:19.0,,Turnover by S. Labissière (bad pass; steal by P. Gasol),13,19
75,1,2:17.0,,Violation by K. Koufos (kicked ball),13,19
76,1,2:17.0,,V. Carter enters the game for B. Hield,13,19
77,1,2:10.0,D. Murray makes 2-pt layup from 2 ft,,15,19
78,1,1:52.0,,G. Temple makes 2-pt jump shot from 20 ft (assist by S. Labissière),15,21
79,1,1:37.0,B. Paul makes 3-pt jump shot from 22 ft (assist by P. Mills),,18,21
80,1,1:27.0,,G. Temple misses 2-pt layup from 2 ft,18,21
81,1,1:25.0,Defensive rebound by P. Gasol,,18,21
82,1,1:15.0,D. Bertāns makes 3-pt jump shot from 24 ft (assist by D. Murray),,21,21
83,1,0:58.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,21,23
84,1,0:42.0,P. Gasol misses 2-pt jump shot from 11 ft,,21,23
85,1,0:39.0,,Defensive rebound by G. Temple,21,23
86,1,0:30.0,,B. Bogdanović misses 2-pt layup from 3 ft,21,23
87,1,0:30.0,,Offensive rebound by S. Labissière,21,23
88,1,0:30.0,,S. Labissière makes 2-pt layup from 2 ft,21,25
89,1,0:08.0,B. Paul misses 2-pt layup from 1 ft,,21,25
90,1,0:04.0,,Defensive rebound by G. Temple,21,25
91,1,0:03.0,,Personal foul by P. Mills (drawn by G. Temple),21,25
92,1,0:00.0,,V. Carter misses 3-pt jump shot from 25 ft,21,25
93,1,0:00.0,,Offensive rebound by Team,21,25
94,2,11:40.0,,Shooting foul by P. Gasol (drawn by V. Carter),21,25
95,2,11:40.0,,V. Carter misses free throw 1 of 2,21,25
96,2,11:40.0,,Offensive rebound by Team,21,25
97,2,11:40.0,,V. Carter makes free throw 2 of 2,21,26
98,2,11:17.0,M. Costello misses 2-pt layup from 3 ft,,21,26
99,2,11:15.0,Offensive rebound by P. Gasol,,21,26
100,2,11:15.0,P. Gasol misses 2-pt layup from 3 ft (block by K. Koufos),,21,26
101,2,11:11.0,Offensive rebound by P. Gasol,,21,26
102,2,11:10.0,P. Gasol makes 2-pt layup from 1 ft,,23,26
103,2,11:03.0,,K. Koufos makes 2-pt jump shot from 8 ft,23,28
104,2,10:37.0,T. Parker misses 2-pt jump shot from 17 ft,,23,28
105,2,10:33.0,,Defensive rebound by K. Koufos,23,28
106,2,10:26.0,,Turnover by V. Carter (bad pass),23,28
107,2,10:05.0,P. Mills makes 3-pt jump shot from 25 ft (assist by P. Gasol),,26,28
108,2,9:47.0,,K. Koufos misses 2-pt hook shot from 9 ft,26,28
109,2,9:46.0,Defensive rebound by Team,,26,28
110,2,9:46.0,,Loose ball foul by K. Koufos (drawn by M. Costello),26,28
111,2,9:46.0,L. Aldridge enters the game for P. Mills,,26,28
112,2,9:46.0,B. Forbes enters the game for P. Gasol,,26,28
113,2,9:30.0,Turnover by K. Anderson (bad pass),,26,28
114,2,9:12.0,,B. Bogdanović makes 2-pt jump shot from 11 ft,26,30
115,2,9:11.0,San Antonio full timeout,,26,30
116,2,8:52.0,L. Aldridge makes 2-pt hook shot from 8 ft,,28,30
117,2,8:37.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by V. Carter),28,33
118,2,8:21.0,L. Aldridge makes 2-pt jump shot from 10 ft,,30,33
119,2,8:09.0,,G. Temple makes 2-pt jump shot from 20 ft,30,35
120,2,7:46.0,B. Forbes makes 2-pt jump shot from 16 ft (assist by T. Parker),,32,35
121,2,7:32.0,,G. Temple misses 2-pt layup from 1 ft,32,35
122,2,7:32.0,,Offensive rebound by K. Koufos,32,35
123,2,7:32.0,,Shooting foul by M. Costello (drawn by K. Koufos),32,35
124,2,7:32.0,,K. Koufos makes free throw 1 of 2,32,36
125,2,7:32.0,D. Bertāns enters the game for M. Costello,,32,36
126,2,7:32.0,,K. Koufos makes free throw 2 of 2,32,37
127,2,7:11.0,L. Aldridge misses 2-pt jump shot from 13 ft,,32,37
128,2,7:07.0,,Defensive rebound by V. Carter,32,37
