,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:46.0,D. Fox misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,,Defensive rebound by P. Tucker,0,0
2,1,11:33.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),0,3
3,1,11:26.0,Turnover by D. Fox (bad pass),,0,3
4,1,11:09.0,,L. Mbah a Moute misses 2-pt layup from 4 ft (block by J. Jackson),0,3
5,1,11:06.0,Defensive rebound by J. Jackson,,0,3
6,1,11:00.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,0,3
7,1,10:57.0,,Defensive rebound by C. Capela,0,3
8,1,10:49.0,,Turnover by J. Harden (bad pass),0,3
9,1,10:32.0,J. Jackson misses 2-pt jump shot from 11 ft,,0,3
10,1,10:29.0,,Defensive rebound by L. Mbah a Moute,0,3
11,1,10:23.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,0,5
12,1,10:23.0,,Shooting foul by J. Sampson (drawn by L. Mbah a Moute),0,5
13,1,10:23.0,,L. Mbah a Moute makes free throw 1 of 1,0,6
14,1,10:01.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Jackson),,3,6
15,1,9:49.0,,Turnover by C. Paul (bad pass; steal by B. Bogdanović),3,6
16,1,9:41.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),,5,6
17,1,9:27.0,,J. Harden misses 2-pt layup from 4 ft (block by W. Cauley-Stein),5,6
18,1,9:24.0,Defensive rebound by J. Sampson,,5,6
19,1,9:21.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,5,6
20,1,9:19.0,Offensive rebound by W. Cauley-Stein,,5,6
21,1,9:18.0,W. Cauley-Stein misses 2-pt layup at rim,,5,6
22,1,9:16.0,,Defensive rebound by P. Tucker,5,6
23,1,9:13.0,,Turnover by J. Harden (bad pass; steal by W. Cauley-Stein),5,6
24,1,9:04.0,Personal foul by L. Mbah a Moute (drawn by W. Cauley-Stein),,5,6
25,1,8:52.0,J. Jackson misses 3-pt jump shot from 27 ft,,5,6
26,1,8:52.0,,Defensive rebound by C. Capela,5,6
27,1,8:44.0,,J. Harden misses 3-pt jump shot from 26 ft,5,6
28,1,8:40.0,Defensive rebound by B. Bogdanović,,5,6
29,1,8:29.0,J. Sampson makes 2-pt jump shot from 7 ft,,7,6
30,1,8:11.0,,P. Tucker misses 3-pt jump shot from 23 ft,7,6
31,1,8:07.0,Defensive rebound by J. Jackson,,7,6
32,1,8:04.0,D. Fox misses 2-pt layup from 2 ft (block by L. Mbah a Moute),,7,6
33,1,8:01.0,,Defensive rebound by C. Capela,7,6
34,1,7:57.0,,L. Mbah a Moute makes 3-pt jump shot from 26 ft (assist by C. Paul),7,9
35,1,7:40.0,Shooting foul by L. Mbah a Moute (drawn by W. Cauley-Stein),,7,9
36,1,7:40.0,W. Cauley-Stein misses free throw 1 of 2,,7,9
37,1,7:40.0,Offensive rebound by Team,,7,9
38,1,7:40.0,W. Cauley-Stein misses free throw 2 of 2,,7,9
39,1,7:37.0,,Defensive rebound by J. Harden,7,9
40,1,7:17.0,,Turnover by C. Paul (bad pass; steal by J. Sampson),7,9
41,1,7:11.0,J. Sampson makes 2-pt layup from 2 ft (assist by B. Bogdanović),,9,9
42,1,6:54.0,,C. Paul misses 3-pt jump shot from 22 ft,9,9
43,1,6:50.0,Defensive rebound by J. Jackson,,9,9
44,1,6:43.0,W. Cauley-Stein misses 2-pt jump shot from 9 ft,,9,9
45,1,6:41.0,Offensive rebound by J. Sampson,,9,9
46,1,6:41.0,J. Sampson makes 2-pt dunk at rim,,11,9
47,1,6:41.0,,Houston full timeout,11,9
48,1,6:41.0,,R. Anderson enters the game for P. Tucker,11,9
49,1,6:41.0,,G. Green enters the game for C. Paul,11,9
50,1,6:31.0,,Personal foul by B. Bogdanović (drawn by J. Harden),11,9
51,1,6:19.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),11,11
52,1,6:03.0,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by D. Fox),,13,11
53,1,5:48.0,,C. Capela misses 2-pt layup from 3 ft,13,11
54,1,5:44.0,,Offensive rebound by C. Capela,13,11
55,1,5:44.0,,C. Capela misses 2-pt layup at rim,13,11
56,1,5:43.0,Defensive rebound by D. Fox,,13,11
57,1,5:29.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,13,11
58,1,5:27.0,,Defensive rebound by J. Harden,13,11
59,1,5:24.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by J. Harden),13,13
60,1,5:07.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,13,13
61,1,5:01.0,,Defensive rebound by R. Anderson,13,13
62,1,4:52.0,,G. Green misses 3-pt jump shot from 26 ft,13,13
63,1,4:49.0,Defensive rebound by W. Cauley-Stein,,13,13
64,1,4:39.0,J. Jackson makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,15,13
65,1,4:29.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),15,15
66,1,4:17.0,D. Fox misses 2-pt jump shot from 21 ft,,15,15
67,1,4:13.0,,Defensive rebound by J. Harden,15,15
68,1,4:11.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),15,17
69,1,4:11.0,,Shooting foul by W. Cauley-Stein (drawn by C. Capela),15,17
70,1,4:11.0,,J. Johnson enters the game for L. Mbah a Moute,15,17
71,1,4:11.0,V. Carter enters the game for W. Cauley-Stein,,15,17
72,1,4:11.0,K. Koufos enters the game for B. Bogdanović,,15,17
73,1,4:11.0,G. Temple enters the game for J. Sampson,,15,17
74,1,4:11.0,,C. Capela makes free throw 1 of 1,15,18
75,1,3:58.0,Turnover by D. Fox (bad pass; steal by G. Green),,15,18
76,1,3:53.0,,J. Harden misses 3-pt jump shot from 26 ft,15,18
77,1,3:48.0,Defensive rebound by G. Temple,,15,18
78,1,3:34.0,K. Koufos misses 2-pt hook shot from 9 ft,,15,18
79,1,3:31.0,,Defensive rebound by J. Johnson,15,18
80,1,3:24.0,,R. Anderson misses 3-pt jump shot from 25 ft,15,18
81,1,3:21.0,Defensive rebound by K. Koufos,,15,18
