,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
0,1,11:52.0,,E. İlyasova makes 2-pt jump shot from 21 ft (assist by T. Prince),0,2
1,1,11:28.0,P. Millsap makes 2-pt layup from 1 ft,,2,2
2,1,11:10.0,,D. Schröder misses 2-pt layup from 6 ft,2,2
3,1,11:07.0,Defensive rebound by P. Millsap,,2,2
4,1,11:02.0,J. Murray makes 2-pt layup from 2 ft (assist by P. Millsap),,4,2
5,1,10:50.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by K. Bazemore),4,5
6,1,10:32.0,J. Murray makes 2-pt jump shot from 9 ft,,6,5
7,1,10:16.0,,Turnover by T. Prince (traveling),6,5
8,1,9:53.0,P. Millsap misses 3-pt jump shot from 25 ft,,6,5
9,1,9:49.0,,Defensive rebound by D. Dedmon,6,5
10,1,9:39.0,,D. Dedmon misses 2-pt layup from 2 ft (block by P. Millsap),6,5
11,1,9:32.0,Defensive rebound by J. Murray,,6,5
12,1,9:31.0,J. Murray misses 2-pt jump shot from 21 ft,,6,5
13,1,9:31.0,Offensive rebound by N. Jokić,,6,5
14,1,9:24.0,N. Jokić makes 2-pt jump shot from 2 ft,,8,5
15,1,9:21.0,,Violation by D. Dedmon (def goaltending),8,5
16,1,8:59.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Bazemore),8,8
17,1,8:42.0,W. Chandler misses 2-pt jump shot from 12 ft,,8,8
18,1,8:38.0,,Defensive rebound by D. Schröder,8,8
19,1,8:32.0,,D. Schröder misses 3-pt jump shot from 25 ft,8,8
20,1,8:27.0,Defensive rebound by W. Chandler,,8,8
21,1,8:16.0,G. Harris misses 3-pt jump shot from 25 ft,,8,8
22,1,8:11.0,Offensive rebound by N. Jokić,,8,8
23,1,8:06.0,J. Murray misses 2-pt layup from 2 ft,,8,8
24,1,7:59.0,Offensive rebound by J. Murray,,8,8
25,1,7:56.0,G. Harris makes 2-pt layup from 2 ft,,10,8
26,1,7:39.0,,Personal foul by J. Murray (drawn by D. Schröder),10,8
27,1,7:38.0,,Turnover by K. Bazemore (bad pass; steal by G. Harris),10,8
28,1,7:34.0,G. Harris misses 2-pt layup from 2 ft (block by K. Bazemore),,10,8
29,1,7:30.0,,Defensive rebound by D. Dedmon,10,8
30,1,7:28.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. Schröder),10,11
31,1,7:15.0,G. Harris makes 3-pt jump shot from 24 ft (assist by W. Chandler),,13,11
32,1,6:58.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by T. Prince),13,14
33,1,6:55.0,Denver full timeout,,13,14
34,1,6:55.0,,M. Delaney enters the game for D. Schröder,13,14
35,1,6:37.0,P. Millsap misses 2-pt jump shot from 13 ft,,13,14
36,1,6:34.0,,Defensive rebound by T. Prince,13,14
37,1,6:30.0,,E. İlyasova misses 3-pt jump shot from 25 ft,13,14
38,1,6:30.0,Defensive rebound by P. Millsap,,13,14
39,1,6:08.0,P. Millsap misses 2-pt layup from 1 ft,,13,14
40,1,6:05.0,,Defensive rebound by D. Dedmon,13,14
41,1,5:54.0,,J. Collins enters the game for D. Dedmon,13,14
42,1,5:54.0,,M. Belinelli enters the game for K. Bazemore,13,14
43,1,5:54.0,M. Plumlee enters the game for N. Jokić,,13,14
44,1,5:53.0,,Shooting foul by G. Harris (drawn by E. İlyasova),13,14
45,1,5:41.0,,E. İlyasova misses 2-pt jump shot from 16 ft,13,14
46,1,5:41.0,Defensive rebound by Team,,13,14
