,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:48.0,,Turnover by N. Jokić (bad pass),0,0
1,1,11:33.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Butler),,2,0
2,1,11:13.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),2,3
3,1,10:57.0,Turnover by J. Butler (lost ball; steal by M. Plumlee),,2,3
4,1,10:52.0,,Turnover by T. Craig (lost ball; steal by T. Gibson),2,3
5,1,10:44.0,K. Towns misses 2-pt jump shot from 13 ft,,2,3
6,1,10:41.0,,Defensive rebound by J. Murray,2,3
7,1,10:33.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by W. Chandler),2,6
8,1,10:09.0,Turnover by J. Teague (bad pass; steal by J. Murray),,2,6
9,1,10:05.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by W. Chandler),2,9
10,1,9:54.0,Minnesota full timeout,,2,9
11,1,9:40.0,Personal foul by W. Chandler (drawn by A. Wiggins),,2,9
12,1,9:35.0,Shooting foul by T. Craig (drawn by J. Butler),,2,9
13,1,9:35.0,J. Butler makes free throw 1 of 2,,3,9
14,1,9:35.0,J. Butler makes free throw 2 of 2,,4,9
15,1,9:16.0,,Turnover by N. Jokić (bad pass; steal by J. Butler),4,9
16,1,9:15.0,Turnover by J. Butler (bad pass),,4,9
17,1,9:04.0,,Turnover by N. Jokić (bad pass; steal by K. Towns),4,9
18,1,8:54.0,J. Butler misses 3-pt jump shot from 22 ft,,4,9
19,1,8:51.0,,Defensive rebound by W. Chandler,4,9
20,1,8:40.0,,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),4,11
21,1,8:24.0,T. Gibson makes 2-pt jump shot from 4 ft (assist by J. Teague),,6,11
22,1,7:58.0,,J. Murray misses 2-pt jump shot from 20 ft,6,11
23,1,7:55.0,,Offensive rebound by M. Plumlee,6,11
24,1,7:54.0,,W. Chandler misses 3-pt jump shot from 24 ft,6,11
25,1,7:51.0,Defensive rebound by T. Gibson,,6,11
26,1,7:39.0,A. Wiggins misses 2-pt layup from 3 ft,,6,11
27,1,7:36.0,,Defensive rebound by J. Murray,6,11
28,1,7:29.0,,J. Murray makes 2-pt layup from 14 ft (assist by T. Craig),6,13
29,1,7:08.0,J. Butler makes 2-pt dunk from 1 ft (assist by J. Teague),,8,13
30,1,6:47.0,,Shooting foul by K. Towns (drawn by M. Plumlee),8,13
31,1,6:47.0,,M. Plumlee misses free throw 2 of 2,8,13
32,1,6:47.0,Defensive rebound by T. Gibson,,8,13
33,1,6:47.0,,M. Plumlee makes free throw 1 of 2,8,14
34,1,6:34.0,A. Wiggins misses 3-pt jump shot from 24 ft,,8,14
35,1,6:30.0,,Defensive rebound by J. Murray,8,14
