,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,,M. Teodosić misses 3-pt jump shot from 26 ft,0,0
1,1,11:32.0,Defensive rebound by J. Green,,0,0
2,1,11:14.0,Turnover by M. Gasol (bad pass; steal by C. Williams),,0,0
3,1,11:10.0,,C. Williams makes 2-pt layup from 1 ft,0,2
4,1,10:48.0,J. Green misses 2-pt jump shot from 21 ft,,0,2
5,1,10:45.0,,Defensive rebound by W. Johnson,0,2
6,1,10:36.0,,Personal foul by D. Brooks (drawn by C. Williams),0,2
7,1,10:25.0,,C. Williams makes 2-pt layup from 1 ft (assist by B. Griffin),0,4
8,1,10:14.0,J. Green makes 2-pt dunk from 1 ft (assist by T. Evans),,2,4
9,1,10:01.0,,Shooting foul by M. Gasol (drawn by D. Jordan),2,4
10,1,10:01.0,,D. Jordan misses free throw 1 of 2,2,4
11,1,10:01.0,,Offensive rebound by Team,2,4
12,1,10:01.0,,D. Jordan makes free throw 2 of 2,2,5
13,1,9:39.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Green),,5,5
14,1,9:19.0,,C. Williams misses 2-pt jump shot from 8 ft,5,5
15,1,9:18.0,Defensive rebound by T. Evans,,5,5
16,1,9:02.0,Turnover by M. Gasol (traveling),,5,5
17,1,8:55.0,,B. Griffin misses 3-pt jump shot from 27 ft,5,5
18,1,8:55.0,Defensive rebound by M. Gasol,,5,5
19,1,8:44.0,A. Harrison makes 2-pt jump shot from 17 ft,,7,5
20,1,8:19.0,,C. Williams makes 3-pt jump shot from 23 ft (assist by B. Griffin),7,8
21,1,8:03.0,J. Green misses 2-pt jump shot from 15 ft,,7,8
22,1,8:01.0,,Defensive rebound by W. Johnson,7,8
23,1,7:51.0,,B. Griffin makes 2-pt dunk from 2 ft (assist by M. Teodosić),7,10
24,1,7:34.0,T. Evans makes 3-pt jump shot from 25 ft,,10,10
25,1,7:22.0,,Turnover by M. Teodosić (traveling),10,10
26,1,7:22.0,W. Selden enters the game for A. Harrison,,10,10
27,1,7:12.0,T. Evans misses 2-pt jump shot from 18 ft,,10,10
28,1,7:09.0,,Defensive rebound by C. Williams,10,10
29,1,7:00.0,,Personal foul by D. Brooks (drawn by M. Teodosić),10,10
30,1,7:00.0,J. Martin enters the game for J. Green,,10,10
31,1,7:00.0,J. Ennis enters the game for D. Brooks,,10,10
32,1,6:53.0,,B. Griffin makes 2-pt layup from 1 ft,10,12
33,1,6:53.0,,Shooting foul by J. Martin (drawn by B. Griffin),10,12
34,1,6:53.0,,LA Clippers full timeout,10,12
35,1,6:53.0,,B. Griffin misses free throw 1 of 1,10,12
36,1,6:49.0,Defensive rebound by J. Martin,,10,12
37,1,6:40.0,Shooting foul by W. Johnson (drawn by T. Evans),,10,12
38,1,6:40.0,T. Evans makes free throw 1 of 2,,11,12
39,1,6:40.0,T. Evans misses free throw 2 of 2,,11,12
40,1,6:38.0,,Defensive rebound by D. Jordan,11,12
41,1,6:20.0,,D. Jordan misses 2-pt hook shot from 6 ft,11,12
42,1,6:18.0,Defensive rebound by M. Gasol,,11,12
43,1,6:07.0,J. Ennis misses 2-pt layup from 1 ft,,11,12
44,1,6:03.0,,Defensive rebound by M. Teodosić,11,12
45,1,5:54.0,,M. Teodosić misses 3-pt jump shot from 26 ft,11,12
46,1,5:50.0,Defensive rebound by J. Martin,,11,12
47,1,5:30.0,W. Selden makes 3-pt jump shot from 25 ft (assist by M. Gasol),,14,12
48,1,5:05.0,,B. Griffin makes 2-pt layup from 2 ft (assist by M. Teodosić),14,14
49,1,4:54.0,W. Selden makes 3-pt jump shot from 26 ft (assist by J. Martin),,17,14
50,1,4:41.0,,C. Williams makes 2-pt jump shot from 14 ft (assist by M. Teodosić),17,16
51,1,4:32.0,Shooting foul by W. Johnson (drawn by T. Evans),,17,16
52,1,4:32.0,T. Evans makes free throw 1 of 2,,18,16
53,1,4:32.0,,L. Williams enters the game for W. Johnson,18,16
54,1,4:32.0,T. Evans makes free throw 2 of 2,,19,16
55,1,4:24.0,,M. Teodosić makes 3-pt jump shot from 24 ft,19,19
56,1,4:06.0,Shooting foul by C. Williams (drawn by T. Evans),,19,19
57,1,4:06.0,T. Evans makes free throw 1 of 3,,20,19
58,1,4:06.0,T. Evans makes free throw 2 of 3,,21,19
59,1,4:06.0,M. Chalmers enters the game for W. Selden,,21,19
60,1,4:06.0,D. Davis enters the game for M. Gasol,,21,19
61,1,4:06.0,T. Evans misses free throw 3 of 3,,21,19
62,1,4:04.0,,Defensive rebound by D. Jordan,21,19
63,1,3:47.0,,C. Williams misses 3-pt jump shot from 23 ft,21,19
64,1,3:45.0,,Offensive rebound by D. Jordan,21,19
65,1,3:41.0,,Turnover by D. Jordan (bad pass; steal by T. Evans),21,19
66,1,3:32.0,M. Chalmers makes 2-pt jump shot from 8 ft,,23,19
67,1,3:13.0,,B. Griffin misses 2-pt hook shot from 6 ft,23,19
68,1,3:11.0,Defensive rebound by M. Chalmers,,23,19
69,1,3:06.0,J. Martin makes 2-pt jump shot from 20 ft (assist by T. Evans),,25,19
70,1,2:52.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Williams),25,21
71,1,2:40.0,D. Davis makes 2-pt dunk at rim (assist by T. Evans),,27,21
72,1,2:30.0,,B. Griffin makes 2-pt dunk from 1 ft (assist by M. Teodosić),27,23
73,1,2:30.0,,Shooting foul by D. Davis (drawn by B. Griffin),27,23
74,1,2:30.0,Memphis full timeout,,27,23
75,1,2:30.0,,J. Evans enters the game for M. Teodosić,27,23
76,1,2:30.0,K. Simmons enters the game for T. Evans,,27,23
77,1,2:30.0,,B. Griffin makes free throw 1 of 1,27,24
78,1,2:17.0,Offensive foul by J. Martin (drawn by J. Evans),,27,24
79,1,2:17.0,Turnover by J. Martin (offensive foul),,27,24
80,1,2:06.0,,L. Williams makes 2-pt jump shot from 11 ft (assist by B. Griffin),27,26
81,1,1:47.0,D. Davis makes 2-pt jump shot from 15 ft,,29,26
