,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,J. Nurkić misses 2-pt jump shot from 10 ft,,0,0
1,1,11:41.0,Offensive rebound by Team,,0,0
2,1,11:30.0,M. Harkless misses 3-pt jump shot from 24 ft,,0,0
3,1,11:26.0,,Defensive rebound by G. Temple,0,0
4,1,11:09.0,,G. Temple makes 2-pt layup from 2 ft (assist by D. Fox),0,2
5,1,10:53.0,Turnover by J. Nurkić (lost ball; steal by D. Fox),,0,2
6,1,10:47.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by D. Fox),0,5
7,1,10:32.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,5
8,1,10:28.0,,Defensive rebound by D. Fox,0,5
9,1,10:26.0,,D. Fox misses 2-pt layup from 6 ft (block by D. Lillard),0,5
10,1,10:26.0,Defensive rebound by Team,,0,5
11,1,10:17.0,D. Lillard misses 2-pt layup from 1 ft,,0,5
12,1,10:14.0,,Defensive rebound by Z. Randolph,0,5
13,1,10:05.0,,Personal foul by J. Nurkić (drawn by G. Temple),0,5
14,1,9:57.0,,G. Hill misses 3-pt jump shot from 23 ft,0,5
15,1,9:55.0,Defensive rebound by C. Swanigan,,0,5
16,1,9:50.0,C. McCollum misses 3-pt jump shot from 25 ft,,0,5
17,1,9:44.0,,Defensive rebound by S. Labissière,0,5
18,1,9:30.0,,Z. Randolph misses 2-pt jump shot from 20 ft,0,5
19,1,9:27.0,Defensive rebound by J. Nurkić,,0,5
20,1,9:17.0,Turnover by J. Nurkić (bad pass; steal by G. Temple),,0,5
21,1,9:08.0,,Turnover by D. Fox (lost ball; steal by C. McCollum),0,5
22,1,9:07.0,Personal foul by S. Labissière (drawn by C. McCollum),,0,5
23,1,8:45.0,Personal foul by Z. Randolph (drawn by J. Nurkić),,0,5
24,1,8:38.0,C. McCollum makes 2-pt jump shot from 16 ft,,2,5
25,1,8:15.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by Z. Randolph),2,8
26,1,8:02.0,D. Lillard misses 3-pt jump shot from 25 ft,,2,8
