,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,K. Towns misses 2-pt jump shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by G. Monroe,,0,0
2,1,11:27.0,J. Jackson misses 2-pt jump shot from 6 ft,,0,0
3,1,11:25.0,,Defensive rebound by T. Gibson,0,0
4,1,11:10.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by K. Towns),0,2
5,1,10:52.0,J. Jackson misses 2-pt jump shot from 9 ft,,0,2
6,1,10:50.0,,Defensive rebound by T. Gibson,0,2
7,1,10:34.0,,Personal foul by T. Warren (drawn by A. Wiggins),0,2
8,1,10:28.0,,J. Butler makes 2-pt layup from 1 ft (assist by T. Gibson),0,4
9,1,10:11.0,T. Warren misses 2-pt jump shot from 6 ft,,0,4
10,1,10:11.0,,Defensive rebound by T. Jones,0,4
11,1,9:58.0,,J. Butler misses 2-pt jump shot from 13 ft,0,4
12,1,9:54.0,Defensive rebound by T. Ulis,,0,4
13,1,9:49.0,G. Monroe makes 2-pt layup at rim (assist by T. Ulis),,2,4
14,1,9:33.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),2,6
15,1,9:12.0,T. Chandler makes 2-pt dunk from 1 ft (assist by G. Monroe),,4,6
16,1,9:12.0,Shooting foul by J. Butler (drawn by T. Chandler),,4,6
17,1,9:12.0,T. Chandler makes free throw 1 of 1,,5,6
18,1,8:57.0,,J. Butler makes 2-pt jump shot from 6 ft,5,8
19,1,8:48.0,T. Chandler makes 2-pt dunk from 1 ft (assist by T. Ulis),,7,8
20,1,8:25.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by K. Towns),7,10
21,1,8:11.0,Turnover by T. Ulis (bad pass; steal by J. Butler),,7,10
22,1,8:08.0,,J. Butler makes 2-pt dunk at rim,7,12
23,1,7:50.0,T. Ulis misses 2-pt jump shot from 11 ft,,7,12
24,1,7:46.0,Offensive rebound by G. Monroe,,7,12
25,1,7:46.0,G. Monroe makes 2-pt layup at rim,,9,12
26,1,7:26.0,,T. Jones misses 3-pt jump shot from 22 ft,9,12
27,1,7:24.0,Defensive rebound by T. Chandler,,9,12
28,1,7:12.0,T. Ulis misses 2-pt layup from 4 ft,,9,12
29,1,7:09.0,,Defensive rebound by K. Towns,9,12
30,1,7:06.0,,T. Jones makes 2-pt jump shot from 8 ft,9,14
31,1,6:40.0,T. Warren makes 2-pt layup from 2 ft,,11,14
32,1,6:26.0,,K. Towns misses 3-pt jump shot from 25 ft,11,14
33,1,6:26.0,,Offensive rebound by T. Gibson,11,14
34,1,6:21.0,,T. Gibson makes 2-pt layup from 1 ft,11,16
35,1,6:02.0,T. Warren makes 2-pt jump shot from 13 ft (assist by G. Monroe),,13,16
36,1,5:43.0,,Personal foul by T. Chandler (drawn by K. Towns),13,16
37,1,5:43.0,,Minnesota full timeout,13,16
38,1,5:43.0,D. Bender enters the game for T. Chandler,,13,16
39,1,5:36.0,,J. Butler makes 2-pt jump shot from 5 ft,13,18
40,1,5:12.0,Turnover by J. Jackson (bad pass; steal by A. Wiggins),,13,18
41,1,5:06.0,,T. Jones makes 2-pt layup from 1 ft (assist by J. Butler),13,20
42,1,4:45.0,Turnover by T. Warren (bad pass; steal by T. Jones),,13,20
43,1,4:41.0,,K. Towns makes 2-pt dunk from 2 ft (assist by T. Jones),13,22
44,1,4:41.0,Phoenix full timeout,,13,22
45,1,4:41.0,,G. Dieng enters the game for K. Towns,13,22
46,1,4:41.0,T. Daniels enters the game for T. Ulis,,13,22
47,1,4:41.0,M. James enters the game for J. Jackson,,13,22
48,1,4:33.0,Turnover by M. James (bad pass; steal by J. Butler),,13,22
49,1,4:30.0,,J. Butler misses 2-pt layup at rim,13,22
50,1,4:22.0,,Offensive rebound by T. Gibson,13,22
51,1,4:22.0,,T. Gibson makes 2-pt dunk at rim,13,24
52,1,4:13.0,D. Bender misses 3-pt jump shot from 24 ft,,13,24
53,1,4:11.0,,Defensive rebound by A. Wiggins,13,24
54,1,4:05.0,,A. Wiggins makes 3-pt jump shot from 26 ft,13,27
55,1,3:42.0,G. Monroe misses 2-pt jump shot from 9 ft,,13,27
56,1,3:39.0,,Defensive rebound by T. Gibson,13,27
57,1,3:31.0,,G. Dieng misses 2-pt jump shot from 21 ft,13,27
58,1,3:29.0,Defensive rebound by M. James,,13,27
59,1,3:24.0,M. James makes 2-pt jump shot from 6 ft,,15,27
60,1,3:01.0,,G. Dieng misses 3-pt jump shot from 23 ft,15,27
61,1,2:58.0,,Offensive rebound by T. Gibson,15,27
62,1,2:56.0,,T. Gibson misses 2-pt layup from 3 ft,15,27
63,1,2:51.0,,Offensive rebound by T. Gibson,15,27
64,1,2:49.0,,Turnover by J. Butler (bad pass; steal by D. Bender),15,27
65,1,2:36.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by M. James),,18,27
66,1,2:14.0,,Turnover by A. Wiggins (lost ball; steal by T. Warren),18,27
67,1,2:09.0,Shooting foul by G. Dieng (drawn by T. Warren),,18,27
68,1,2:09.0,T. Warren makes free throw 1 of 2,,19,27
69,1,2:09.0,,J. Crawford enters the game for T. Jones,19,27
