,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,D. Lillard misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Jackson,0,0
2,1,11:23.0,,Z. Randolph misses 2-pt jump shot from 16 ft,0,0
3,1,11:20.0,,Offensive rebound by B. Bogdanović,0,0
4,1,11:13.0,,D. Fox makes 2-pt jump shot from 5 ft (assist by J. Jackson),0,2
5,1,10:51.0,M. Harkless makes 2-pt jump shot from 5 ft,,2,2
6,1,10:39.0,,W. Cauley-Stein makes 2-pt jump shot from 20 ft (assist by D. Fox),2,4
7,1,10:17.0,J. Nurkić misses 2-pt layup from 2 ft,,2,4
8,1,10:14.0,,Defensive rebound by Z. Randolph,2,4
9,1,10:05.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),2,6
10,1,9:50.0,Def 3 sec tech foul by W. Cauley-Stein,,2,6
11,1,9:50.0,D. Lillard makes technical free throw,,3,6
12,1,9:50.0,Offensive foul by C. McCollum (drawn by B. Bogdanović),,3,6
13,1,9:50.0,Turnover by C. McCollum (offensive foul),,3,6
14,1,9:30.0,,Turnover by B. Bogdanović (bad pass; steal by A. Aminu),3,6
15,1,9:27.0,A. Aminu makes 2-pt dunk from 1 ft,,5,6
16,1,9:05.0,,Turnover by J. Jackson (bad pass; steal by M. Harkless),5,6
17,1,8:54.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Harkless),,8,6
18,1,8:43.0,,Personal foul by D. Lillard (drawn by D. Fox),8,6
19,1,8:30.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Z. Randolph),8,9
20,1,8:16.0,D. Lillard makes 3-pt jump shot from 27 ft,,11,9
21,1,7:59.0,,W. Cauley-Stein makes 2-pt hook shot from 7 ft (assist by D. Fox),11,11
22,1,7:42.0,D. Lillard misses 2-pt layup from 3 ft (block by B. Bogdanović),,11,11
23,1,7:42.0,Offensive rebound by Team,,11,11
24,1,7:40.0,C. McCollum misses 2-pt jump shot from 14 ft,,11,11
25,1,7:36.0,,Defensive rebound by Z. Randolph,11,11
26,1,7:30.0,,J. Jackson misses 2-pt jump shot from 18 ft,11,11
27,1,7:27.0,Defensive rebound by C. McCollum,,11,11
28,1,7:19.0,Turnover by C. McCollum (bad pass; steal by W. Cauley-Stein),,11,11
29,1,7:14.0,,J. Jackson makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),11,13
30,1,6:57.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by D. Lillard),,14,13
31,1,6:35.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,14,13
32,1,6:33.0,Defensive rebound by J. Nurkić,,14,13
33,1,6:19.0,J. Nurkić misses 2-pt hook shot from 6 ft,,14,13
34,1,6:17.0,,Defensive rebound by D. Fox,14,13
35,1,6:12.0,,Z. Randolph makes 3-pt jump shot from 26 ft (assist by J. Jackson),14,16
