,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BROOKLYN_ACTION,SAN ANTONIO_SCORE,BROOKLYN_SCORE
0,1,11:39.0,K. Anderson misses 2-pt jump shot from 12 ft,,0,0
1,1,11:36.0,Offensive rebound by K. Anderson,,0,0
2,1,11:28.0,P. Gasol makes 2-pt jump shot from 21 ft (assist by T. Parker),,2,0
3,1,11:09.0,,R. Hollis-Jefferson makes 2-pt jump shot from 5 ft,2,2
4,1,10:57.0,T. Parker misses 2-pt jump shot from 17 ft,,2,2
5,1,10:55.0,,Defensive rebound by D. Carroll,2,2
6,1,10:50.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Green),2,2
7,1,10:44.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Green),,4,2
8,1,10:20.0,,D. Carroll makes 3-pt jump shot from 23 ft,4,5
9,1,10:03.0,Shooting foul by A. Crabbe (drawn by D. Green),,4,5
10,1,10:03.0,D. Green misses free throw 1 of 2,,4,5
11,1,10:03.0,Offensive rebound by Team,,4,5
12,1,10:03.0,D. Green makes free throw 2 of 2,,5,5
13,1,9:57.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,5,5
14,1,9:53.0,Defensive rebound by D. Green,,5,5
15,1,9:46.0,D. Green misses 2-pt jump shot from 22 ft,,5,5
16,1,9:42.0,,Defensive rebound by R. Hollis-Jefferson,5,5
17,1,9:40.0,,Turnover by D. Carroll (bad pass),5,5
18,1,9:24.0,L. Aldridge makes 2-pt jump shot from 9 ft,,7,5
19,1,9:10.0,,A. Crabbe misses 2-pt jump shot from 17 ft,7,5
20,1,9:05.0,,Offensive rebound by T. Zeller,7,5
21,1,9:02.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),7,8
22,1,8:45.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by T. Parker),,9,8
23,1,8:31.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft,9,8
24,1,8:29.0,Defensive rebound by P. Gasol,,9,8
25,1,8:16.0,L. Aldridge misses 2-pt jump shot from 4 ft,,9,8
26,1,8:14.0,,Defensive rebound by D. Carroll,9,8
27,1,8:09.0,,Shooting foul by D. Green (drawn by A. Crabbe),9,8
28,1,8:09.0,,A. Crabbe makes free throw 1 of 3,9,9
29,1,8:09.0,,A. Crabbe misses free throw 2 of 3,9,9
30,1,8:09.0,,Offensive rebound by Team,9,9
31,1,8:09.0,,A. Crabbe makes free throw 3 of 3,9,10
32,1,8:00.0,Personal foul by T. Zeller (drawn by P. Gasol),,9,10
33,1,7:54.0,L. Aldridge misses 3-pt jump shot from 25 ft,,9,10
34,1,7:50.0,,Defensive rebound by D. Carroll,9,10
35,1,7:37.0,,T. Zeller makes 2-pt hook shot from 2 ft (assist by S. Dinwiddie),9,12
36,1,7:37.0,San Antonio full timeout,,9,12
37,1,7:37.0,,Q. Acy enters the game for R. Hollis-Jefferson,9,12
38,1,7:19.0,Turnover by L. Aldridge (bad pass; steal by S. Dinwiddie),,9,12
39,1,7:15.0,,A. Crabbe makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),9,14
40,1,6:55.0,T. Parker makes 2-pt jump shot from 14 ft (assist by K. Anderson),,11,14
41,1,6:38.0,,D. Carroll makes 2-pt hook shot from 4 ft,11,16
42,1,6:26.0,T. Parker misses 2-pt jump shot from 13 ft,,11,16
43,1,6:25.0,Offensive rebound by L. Aldridge,,11,16
44,1,6:25.0,,Loose ball foul by Q. Acy (drawn by L. Aldridge),11,16
45,1,6:25.0,B. Forbes enters the game for D. Green,,11,16
46,1,6:10.0,K. Anderson misses 2-pt hook shot from 6 ft,,11,16
47,1,6:07.0,,Defensive rebound by T. Zeller,11,16
48,1,5:53.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Carroll),11,19
49,1,5:29.0,T. Parker makes 2-pt layup from 1 ft (assist by P. Gasol),,13,19
50,1,5:29.0,Shooting block foul by A. Crabbe (drawn by T. Parker),,13,19
51,1,5:29.0,,J. Harris enters the game for A. Crabbe,13,19
52,1,5:29.0,P. Mills enters the game for K. Anderson,,13,19
53,1,5:29.0,D. Bertāns enters the game for P. Gasol,,13,19
54,1,5:29.0,T. Parker makes free throw 1 of 1,,14,19
55,1,5:14.0,,T. Zeller misses 2-pt hook shot from 5 ft,14,19
56,1,5:12.0,Defensive rebound by L. Aldridge,,14,19
57,1,5:04.0,T. Parker misses 2-pt jump shot from 7 ft,,14,19
58,1,5:02.0,,Defensive rebound by S. Dinwiddie,14,19
59,1,4:57.0,Violation by T. Parker (kicked ball),,14,19
60,1,4:57.0,,J. Allen enters the game for T. Zeller,14,19
61,1,4:57.0,D. Murray enters the game for T. Parker,,14,19
62,1,4:50.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),14,21
63,1,4:33.0,Shooting foul by Q. Acy (drawn by L. Aldridge),,14,21
64,1,4:33.0,L. Aldridge makes free throw 1 of 2,,15,21
65,1,4:33.0,,C. LeVert enters the game for S. Dinwiddie,15,21
66,1,4:33.0,L. Aldridge makes free throw 2 of 2,,16,21
67,1,4:14.0,,D. Carroll misses 2-pt jump shot from 3 ft,16,21
68,1,4:13.0,Defensive rebound by Team,,16,21
69,1,3:56.0,P. Mills makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,19,21
70,1,3:41.0,,J. Harris misses 2-pt layup from 4 ft (block by L. Aldridge),19,21
71,1,3:38.0,Defensive rebound by L. Aldridge,,19,21
72,1,3:34.0,P. Mills makes 3-pt jump shot from 24 ft,,22,21
73,1,3:34.0,,Brooklyn full timeout,22,21
74,1,3:34.0,,A. Crabbe enters the game for D. Carroll,22,21
75,1,3:18.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by A. Crabbe),22,24
76,1,3:01.0,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. Murray),,24,24
77,1,2:50.0,,J. Allen misses 2-pt jump shot from 11 ft,24,24
78,1,2:48.0,Defensive rebound by D. Murray,,24,24
79,1,2:44.0,D. Bertāns misses 3-pt jump shot from 26 ft,,24,24
80,1,2:39.0,,Defensive rebound by Q. Acy,24,24
81,1,2:31.0,,Q. Acy misses 3-pt jump shot from 24 ft,24,24
82,1,2:27.0,Defensive rebound by B. Forbes,,24,24
83,1,2:20.0,B. Forbes makes 2-pt jump shot from 17 ft (assist by L. Aldridge),,26,24
84,1,2:04.0,,Personal foul by B. Forbes (drawn by A. Crabbe),26,24
85,1,2:04.0,P. Gasol enters the game for L. Aldridge,,26,24
86,1,2:02.0,,Personal foul by D. Murray (drawn by C. LeVert),26,24
87,1,1:51.0,,Turnover by C. LeVert (bad pass; steal by P. Mills),26,24
88,1,1:44.0,D. Bertāns makes 2-pt layup from 3 ft (assist by P. Mills),,28,24
89,1,1:21.0,,C. LeVert misses 3-pt jump shot from 26 ft,28,24
90,1,1:19.0,Defensive rebound by Team,,28,24
91,1,1:19.0,,Loose ball foul by J. Allen (drawn by P. Gasol),28,24
92,1,1:19.0,P. Gasol makes free throw 1 of 2,,29,24
93,1,1:19.0,P. Gasol misses free throw 2 of 2,,29,24
94,1,1:17.0,,Defensive rebound by J. Allen,29,24
95,1,0:56.0,,J. Harris misses 3-pt jump shot from 25 ft,29,24
96,1,0:53.0,Defensive rebound by P. Gasol,,29,24
97,1,0:45.0,B. Forbes misses 2-pt jump shot from 13 ft,,29,24
98,1,0:42.0,,Defensive rebound by A. Crabbe,29,24
99,1,0:34.0,,Turnover by A. Crabbe (bad pass; steal by P. Mills),29,24
100,1,0:14.0,P. Gasol misses 2-pt jump shot from 6 ft,,29,24
101,1,0:12.0,,Defensive rebound by J. Allen,29,24
