,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:37.0,P. Gasol misses 2-pt jump shot from 11 ft,,0,0
1,1,11:33.0,,Defensive rebound by C. Capela,0,0
2,1,11:23.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
3,1,11:19.0,Defensive rebound by P. Gasol,,0,0
4,1,11:11.0,R. Gay makes 2-pt jump shot from 16 ft (assist by K. Anderson),,2,0
5,1,10:45.0,,C. Paul makes 2-pt jump shot from 14 ft,2,2
6,1,10:25.0,P. Mills misses 3-pt jump shot from 25 ft,,2,2
7,1,10:25.0,,Defensive rebound by P. Tucker,2,2
8,1,10:12.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),2,4
9,1,9:54.0,Personal foul by C. Paul (drawn by D. Murray),,2,4
10,1,9:42.0,P. Gasol misses 2-pt jump shot from 8 ft,,2,4
11,1,9:39.0,,Defensive rebound by P. Tucker,2,4
12,1,9:35.0,,Shooting foul by P. Gasol (drawn by C. Capela),2,4
13,1,9:35.0,,C. Capela makes free throw 1 of 2,2,5
14,1,9:35.0,,C. Capela misses free throw 2 of 2,2,5
15,1,9:35.0,Defensive rebound by Team,,2,5
16,1,9:20.0,R. Gay misses 2-pt jump shot from 3 ft,,2,5
17,1,9:18.0,,Defensive rebound by C. Capela,2,5
18,1,9:13.0,,Turnover by J. Harden (out of bounds lost ball),2,5
19,1,8:57.0,R. Gay misses 2-pt jump shot from 8 ft,,2,5
20,1,8:55.0,,Defensive rebound by C. Capela,2,5
21,1,8:44.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by C. Paul),2,8
22,1,8:34.0,D. Murray misses 2-pt jump shot from 12 ft,,2,8
23,1,8:31.0,,Defensive rebound by T. Ariza,2,8
24,1,8:24.0,,Turnover by T. Ariza (bad pass; steal by D. Murray),2,8
25,1,8:20.0,R. Gay misses 2-pt layup at rim,,2,8
26,1,8:15.0,,Defensive rebound by C. Paul,2,8
27,1,8:02.0,,Shooting foul by K. Anderson (drawn by J. Harden),2,8
28,1,8:02.0,,J. Harden makes free throw 1 of 3,2,9
29,1,8:02.0,,J. Harden makes free throw 2 of 3,2,10
30,1,8:02.0,,J. Harden makes free throw 3 of 3,2,11
31,1,7:47.0,D. Murray misses 2-pt jump shot from 11 ft,,2,11
32,1,7:43.0,Offensive rebound by D. Murray,,2,11
33,1,7:42.0,K. Anderson makes 2-pt jump shot from 8 ft (assist by D. Murray),,4,11
