,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
0,1,11:46.0,Turnover by K. Bazemore (bad pass),,0,0
1,1,11:25.0,,Shooting foul by M. Plumlee (drawn by M. Chriss),0,0
2,1,11:25.0,,M. Chriss makes free throw 1 of 2,0,1
3,1,11:25.0,,M. Chriss misses free throw 2 of 2,0,1
4,1,11:23.0,Defensive rebound by E. İlyasova,,0,1
5,1,11:07.0,D. Schröder makes 2-pt jump shot from 19 ft,,2,1
6,1,10:55.0,,Turnover by D. Booker (bad pass),2,1
7,1,10:41.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Bazemore),,4,1
8,1,10:28.0,,D. Booker misses 2-pt jump shot from 18 ft,4,1
9,1,10:26.0,Defensive rebound by K. Bazemore,,4,1
10,1,10:19.0,D. Schröder makes 2-pt jump shot from 12 ft,,6,1
11,1,9:58.0,,T. Warren makes 2-pt layup from 1 ft (assist by T. Ulis),6,3
12,1,9:50.0,T. Prince misses 3-pt jump shot from 26 ft,,6,3
13,1,9:47.0,,Defensive rebound by M. Chriss,6,3
14,1,9:37.0,,D. Booker makes 2-pt layup from 1 ft,6,5
15,1,9:24.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),,9,5
16,1,9:06.0,,M. Chriss misses 2-pt jump shot from 11 ft,9,5
17,1,9:04.0,Defensive rebound by T. Prince,,9,5
18,1,8:53.0,T. Prince misses 3-pt jump shot from 26 ft,,9,5
19,1,8:48.0,,Defensive rebound by T. Chandler,9,5
20,1,8:46.0,,Turnover by T. Ulis (bad pass),9,5
21,1,8:34.0,E. İlyasova misses 3-pt jump shot from 26 ft,,9,5
22,1,8:31.0,,Defensive rebound by T. Chandler,9,5
23,1,8:26.0,,Shooting foul by K. Bazemore (drawn by D. Booker),9,5
24,1,8:26.0,,D. Booker makes free throw 1 of 2,9,6
25,1,8:26.0,,D. Booker makes free throw 2 of 2,9,7
26,1,8:13.0,D. Schröder misses 3-pt jump shot from 26 ft,,9,7
27,1,8:12.0,,Defensive rebound by T. Chandler,9,7
28,1,8:04.0,,T. Warren makes 2-pt jump shot from 7 ft,9,9
29,1,7:50.0,T. Prince misses 2-pt jump shot from 17 ft,,9,9
30,1,7:46.0,Offensive rebound by M. Plumlee,,9,9
31,1,7:40.0,K. Bazemore makes 2-pt jump shot from 13 ft,,11,9
32,1,7:29.0,,T. Chandler misses 2-pt dunk from 1 ft,11,9
33,1,7:29.0,Defensive rebound by M. Plumlee,,11,9
34,1,7:20.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by T. Prince),,14,9
35,1,7:19.0,,Phoenix full timeout,14,9
36,1,7:01.0,,T. Ulis misses 2-pt jump shot from 16 ft,14,9
37,1,6:57.0,,Offensive rebound by T. Chandler,14,9
38,1,6:54.0,,T. Ulis misses 2-pt jump shot from 9 ft,14,9
39,1,6:52.0,,Offensive rebound by T. Warren,14,9
40,1,6:46.0,,T. Warren misses 2-pt jump shot from 9 ft,14,9
41,1,6:40.0,,Offensive rebound by T. Chandler,14,9
42,1,6:40.0,,T. Chandler makes 2-pt layup at rim,14,11
43,1,6:23.0,Turnover by M. Plumlee (bad pass; steal by T. Ulis),,14,11
44,1,6:19.0,,T. Warren makes 2-pt layup from 1 ft (assist by T. Ulis),14,13
45,1,5:56.0,M. Plumlee makes 2-pt hook shot from 4 ft (assist by K. Bazemore),,16,13
46,1,5:35.0,,Turnover by D. Booker (bad pass; steal by K. Bazemore),16,13
47,1,5:32.0,K. Bazemore makes 3-pt jump shot from 25 ft,,19,13
48,1,5:10.0,Offensive charge foul by T. Warren (drawn by M. Plumlee),,19,13
49,1,5:10.0,,Turnover by T. Warren (offensive foul),19,13
50,1,5:10.0,,I. Canaan enters the game for T. Chandler,19,13
51,1,5:10.0,,T. Daniels enters the game for D. Booker,19,13
52,1,5:10.0,,A. Len enters the game for T. Ulis,19,13
53,1,5:10.0,J. Collins enters the game for M. Plumlee,,19,13
