,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHARLOTTE_ACTION,GOLDEN STATE_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,K. Durant misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
2,1,11:29.0,,D. Howard misses 2-pt jump shot from 8 ft,0,0
3,1,11:29.0,Defensive rebound by Team,,0,0
4,1,11:17.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,0
5,1,11:13.0,,Defensive rebound by K. Walker,0,0
6,1,11:05.0,,M. Williams misses 2-pt jump shot from 8 ft,0,0
7,1,11:02.0,Defensive rebound by J. Bell,,0,0
8,1,10:53.0,Turnover by Z. Pachulia (bad pass),,0,0
9,1,10:29.0,,K. Walker misses 2-pt layup from 2 ft (block by K. Durant),0,0
10,1,10:25.0,Defensive rebound by Z. Pachulia,,0,0
11,1,10:22.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by J. Bell),,3,0
12,1,10:03.0,,N. Batum misses 2-pt jump shot from 15 ft,3,0
13,1,10:00.0,Defensive rebound by K. Durant,,3,0
14,1,9:57.0,Turnover by K. Durant (bad pass; steal by K. Walker),,3,0
15,1,9:54.0,,K. Walker makes 2-pt layup from 1 ft,3,2
16,1,9:33.0,Q. Cook misses 2-pt layup from 1 ft (block by D. Howard),,3,2
17,1,9:26.0,Offensive rebound by Q. Cook,,3,2
18,1,9:26.0,K. Thompson misses 3-pt jump shot from 22 ft,,3,2
19,1,9:21.0,Offensive rebound by Z. Pachulia,,3,2
20,1,9:19.0,Z. Pachulia misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),,3,2
21,1,9:19.0,,Defensive rebound by K. Walker,3,2
22,1,9:17.0,,M. Williams misses 3-pt jump shot from 26 ft,3,2
23,1,9:17.0,Defensive rebound by Z. Pachulia,,3,2
24,1,9:03.0,K. Durant makes 2-pt jump shot from 19 ft,,5,2
25,1,8:48.0,,Personal foul by Z. Pachulia (drawn by N. Batum),5,2
26,1,8:40.0,,D. Howard makes 2-pt layup from 2 ft (assist by K. Walker),5,4
27,1,8:26.0,K. Durant makes 3-pt jump shot from 25 ft (assist by Q. Cook),,8,4
28,1,8:10.0,,M. Williams makes 2-pt layup from 2 ft (assist by D. Howard),8,6
