,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
0,1,11:35.0,,W. Barton makes 2-pt jump shot from 7 ft (assist by N. Jokić),0,2
1,1,11:16.0,M. Turner misses 2-pt layup from 2 ft,,0,2
2,1,11:14.0,Offensive rebound by T. Young,,0,2
3,1,11:14.0,T. Young misses 2-pt layup from 1 ft,,0,2
4,1,11:11.0,,Defensive rebound by J. Murray,0,2
5,1,11:04.0,,Turnover by J. Murray (bad pass; steal by M. Turner),0,2
6,1,10:58.0,V. Oladipo makes 2-pt layup from 2 ft (assist by M. Turner),,2,2
7,1,10:37.0,,W. Chandler misses 2-pt hook shot from 2 ft (block by B. Bogdanović),2,2
8,1,10:34.0,,Offensive rebound by W. Chandler,2,2
9,1,10:33.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by W. Chandler),2,5
10,1,10:14.0,Turnover by B. Bogdanović (lost ball; steal by W. Barton),,2,5
11,1,10:10.0,,W. Barton makes 2-pt dunk from 1 ft,2,7
12,1,9:53.0,Turnover by D. Collison (bad pass; steal by J. Murray),,2,7
13,1,9:50.0,,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),2,9
14,1,9:50.0,Indiana full timeout,,2,9
15,1,9:37.0,T. Young makes 2-pt jump shot from 3 ft (assist by D. Collison),,4,9
16,1,9:24.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),4,11
17,1,9:06.0,Turnover by V. Oladipo (bad pass; steal by N. Jokić),,4,11
18,1,9:01.0,,W. Chandler misses 3-pt jump shot from 22 ft,4,11
19,1,8:58.0,,Offensive rebound by P. Millsap,4,11
20,1,8:57.0,,P. Millsap makes 2-pt layup from 1 ft,4,13
21,1,8:42.0,T. Young misses 2-pt jump shot from 13 ft,,4,13
22,1,8:40.0,,Defensive rebound by W. Chandler,4,13
23,1,8:36.0,,W. Barton misses 3-pt jump shot from 25 ft,4,13
24,1,8:33.0,Defensive rebound by T. Young,,4,13
25,1,8:27.0,Personal foul by W. Barton (drawn by T. Young),,4,13
26,1,8:14.0,Turnover by T. Young (bad pass; steal by N. Jokić),,4,13
27,1,8:09.0,,Turnover by J. Murray (lost ball; steal by V. Oladipo),4,13
28,1,7:53.0,Shooting foul by P. Millsap (drawn by T. Young),,4,13
29,1,7:53.0,T. Young misses free throw 1 of 2,,4,13
30,1,7:53.0,Offensive rebound by Team,,4,13
31,1,7:53.0,T. Young makes free throw 2 of 2,,5,13
32,1,7:37.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by J. Murray),5,15
33,1,7:11.0,M. Turner makes 2-pt hook shot from 3 ft,,7,15
34,1,7:01.0,,Personal foul by T. Young (drawn by P. Millsap),7,15
35,1,6:48.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by J. Murray),7,17
36,1,6:33.0,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),,10,17
37,1,6:11.0,,J. Murray misses 2-pt jump shot from 6 ft,10,17
