,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
0,1,11:39.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by D. Green),,2,0
1,1,11:17.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,2,0
2,1,11:15.0,Defensive rebound by Z. Pachulia,,2,0
3,1,11:12.0,K. Thompson misses 3-pt jump shot from 24 ft,,2,0
4,1,11:07.0,Offensive rebound by S. Curry,,2,0
5,1,11:00.0,Turnover by S. Curry (lost ball; steal by H. Barnes),,2,0
6,1,10:56.0,,W. Matthews makes 2-pt layup from 1 ft (assist by H. Barnes),2,2
7,1,10:46.0,Turnover by S. Curry (bad pass; steal by D. Nowitzki),,2,2
8,1,10:40.0,,Turnover by D. Nowitzki (bad pass; steal by S. Curry),2,2
9,1,10:35.0,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),,4,2
10,1,10:35.0,Shooting foul by D. Nowitzki (drawn by D. Green),,4,2
11,1,10:35.0,D. Green makes free throw 1 of 1,,5,2
12,1,10:16.0,,D. Smith makes 2-pt jump shot from 21 ft,5,4
13,1,10:00.0,K. Thompson makes 2-pt jump shot from 6 ft,,7,4
14,1,9:41.0,,Shooting foul by K. Thompson (drawn by D. Smith),7,4
15,1,9:41.0,,D. Smith makes free throw 1 of 2,7,5
16,1,9:41.0,,D. Smith makes free throw 2 of 2,7,6
17,1,9:29.0,S. Curry makes 2-pt jump shot from 21 ft,,9,6
18,1,9:18.0,,D. Smith misses 2-pt layup from 4 ft,9,6
19,1,9:17.0,Defensive rebound by D. Green,,9,6
20,1,9:05.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Curry),,12,6
21,1,8:47.0,,H. Barnes misses 2-pt jump shot from 14 ft,12,6
22,1,8:44.0,Defensive rebound by Z. Pachulia,,12,6
23,1,8:38.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,15,6
24,1,8:37.0,,Dallas full timeout,15,6
25,1,8:25.0,,Personal foul by Z. Pachulia (drawn by D. Nowitzki),15,6
26,1,8:12.0,,Turnover by D. Nowitzki (bad pass),15,6
27,1,7:59.0,S. Curry misses 3-pt jump shot from 24 ft,,15,6
28,1,7:57.0,Offensive rebound by Z. Pachulia,,15,6
29,1,7:54.0,K. Durant misses 3-pt jump shot from 24 ft,,15,6
30,1,7:50.0,,Defensive rebound by D. Nowitzki,15,6
31,1,7:38.0,,D. Smith misses 3-pt jump shot from 26 ft,15,6
32,1,7:36.0,Defensive rebound by D. Green,,15,6
33,1,7:31.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,17,6
