,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,J. Wall misses 2-pt jump shot from 17 ft,,0,0
1,1,11:38.0,,Defensive rebound by N. Batum,0,0
2,1,11:22.0,,D. Howard makes 2-pt layup from 3 ft (assist by K. Walker),0,2
3,1,11:14.0,Offensive foul by M. Morris (drawn by M. Kidd-Gilchrist),,0,2
4,1,11:14.0,Turnover by M. Morris (offensive foul),,0,2
5,1,11:03.0,,N. Batum makes 2-pt jump shot from 20 ft (assist by M. Williams),0,4
6,1,10:51.0,O. Porter makes 2-pt jump shot from 18 ft (assist by J. Wall),,2,4
7,1,10:33.0,,Turnover by K. Walker (bad pass; steal by M. Gortat),2,4
8,1,10:18.0,M. Morris makes 2-pt jump shot from 7 ft (assist by B. Beal),,4,4
9,1,10:18.0,,Violation by D. Howard (def goaltending),4,4
10,1,10:08.0,,K. Walker makes 2-pt jump shot from 19 ft,4,6
11,1,9:55.0,Turnover by B. Beal (bad pass; steal by M. Kidd-Gilchrist),,4,6
12,1,9:41.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 6 ft,4,8
13,1,9:19.0,M. Gortat misses 2-pt jump shot from 12 ft,,4,8
14,1,9:15.0,,Defensive rebound by D. Howard,4,8
15,1,9:11.0,,Offensive foul by D. Howard (drawn by J. Wall),4,8
16,1,9:11.0,,Turnover by D. Howard (offensive foul),4,8
17,1,9:00.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,7,8
18,1,8:39.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),7,11
19,1,8:39.0,,Shooting foul by M. Morris (drawn by M. Williams),7,11
20,1,8:39.0,M. Scott enters the game for M. Morris,,7,11
21,1,8:39.0,,M. Williams makes free throw 1 of 1,7,12
22,1,8:29.0,B. Beal misses 2-pt jump shot from 20 ft,,7,12
23,1,8:25.0,,Defensive rebound by D. Howard,7,12
24,1,8:22.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by D. Howard),7,14
25,1,8:13.0,O. Porter misses 3-pt jump shot from 24 ft,,7,14
26,1,8:06.0,,Defensive rebound by D. Howard,7,14
27,1,8:03.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),7,16
28,1,8:03.0,Washington full timeout,,7,16
29,1,7:43.0,O. Porter misses 2-pt jump shot from 14 ft,,7,16
30,1,7:41.0,,Defensive rebound by M. Williams,7,16
31,1,7:28.0,,Turnover by M. Williams (bad pass; steal by M. Scott),7,16
