,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,P. George misses 2-pt layup from 1 ft (block by D. Favors),0,0
1,1,11:45.0,Defensive rebound by J. Ingles,,0,0
2,1,11:26.0,D. Favors misses 2-pt jump shot from 18 ft,,0,0
3,1,11:24.0,,Defensive rebound by P. George,0,0
4,1,11:11.0,,C. Anthony misses 2-pt jump shot from 13 ft,0,0
5,1,11:07.0,Defensive rebound by Team,,0,0
6,1,11:07.0,,Loose ball foul by C. Brewer (drawn by R. Rubio),0,0
7,1,10:47.0,R. Gobert misses 2-pt hook shot from 1 ft,,0,0
8,1,10:44.0,Offensive rebound by R. Gobert,,0,0
9,1,10:44.0,R. Gobert misses 2-pt layup at rim,,0,0
10,1,10:42.0,Offensive rebound by R. Gobert,,0,0
11,1,10:41.0,J. Ingles misses 3-pt jump shot from 25 ft,,0,0
12,1,10:38.0,,Defensive rebound by P. George,0,0
13,1,10:21.0,,S. Adams misses 2-pt jump shot from 7 ft,0,0
14,1,10:16.0,Defensive rebound by R. Rubio,,0,0
15,1,10:05.0,R. Gobert misses 2-pt jump shot from 7 ft,,0,0
16,1,10:02.0,,Defensive rebound by C. Anthony,0,0
17,1,9:49.0,,P. George makes 2-pt layup at rim,0,2
18,1,9:49.0,,Shooting foul by D. Mitchell (drawn by P. George),0,2
19,1,9:49.0,,P. George makes free throw 1 of 1,0,3
20,1,9:39.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,3
21,1,9:27.0,,R. Westbrook misses 2-pt jump shot from 20 ft,2,3
22,1,9:25.0,Defensive rebound by D. Favors,,2,3
23,1,9:11.0,Turnover by D. Mitchell (bad pass; steal by C. Anthony),,2,3
24,1,9:02.0,,Personal foul by D. Favors (drawn by S. Adams),2,3
25,1,8:52.0,,C. Anthony misses 2-pt layup at rim,2,3
26,1,8:50.0,Defensive rebound by Team,,2,3
27,1,8:33.0,R. Rubio makes 2-pt jump shot from 16 ft,,4,3
28,1,8:09.0,,P. George misses 3-pt jump shot from 25 ft,4,3
29,1,8:07.0,Defensive rebound by D. Mitchell,,4,3
30,1,7:53.0,Turnover by R. Rubio (bad pass; steal by C. Anthony),,4,3
31,1,7:51.0,,Shooting foul by R. Rubio (drawn by P. George),4,3
32,1,7:51.0,,P. George makes free throw 1 of 2,4,4
33,1,7:51.0,J. Crowder enters the game for J. Ingles,,4,4
34,1,7:51.0,,P. George makes free throw 2 of 2,4,5
35,1,7:41.0,R. Rubio misses 2-pt jump shot from 8 ft,,4,5
36,1,7:38.0,Offensive rebound by D. Favors,,4,5
37,1,7:38.0,D. Favors makes 2-pt layup at rim,,6,5
38,1,7:24.0,,C. Anthony makes 2-pt layup from 1 ft,6,7
39,1,7:04.0,Turnover by D. Favors (bad pass; steal by S. Adams),,6,7
40,1,6:59.0,,R. Westbrook misses 2-pt layup from 1 ft,6,7
41,1,6:56.0,Defensive rebound by R. Gobert,,6,7
42,1,6:51.0,Turnover by R. Gobert (bad pass; steal by S. Adams),,6,7
43,1,6:49.0,,Personal take foul by J. Crowder (drawn by R. Westbrook),6,7
44,1,6:49.0,,Oklahoma City full timeout,6,7
45,1,6:49.0,,J. Grant enters the game for C. Anthony,6,7
46,1,6:40.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),6,9
47,1,6:25.0,Shooting foul by J. Grant (drawn by D. Favors),,6,9
48,1,6:25.0,D. Favors makes free throw 1 of 2,,7,9
49,1,6:25.0,D. Favors makes free throw 2 of 2,,8,9
50,1,6:11.0,,P. George misses 2-pt jump shot from 16 ft,8,9
51,1,6:07.0,Defensive rebound by J. Crowder,,8,9
52,1,5:49.0,D. Mitchell makes 2-pt jump shot from 9 ft,,10,9
53,1,5:35.0,,R. Westbrook makes 2-pt jump shot from 17 ft,10,11
54,1,5:18.0,J. Crowder misses 3-pt jump shot from 24 ft,,10,11
55,1,5:15.0,,Defensive rebound by R. Westbrook,10,11
56,1,5:07.0,,Shooting foul by J. Crowder (drawn by R. Westbrook),10,11
57,1,5:07.0,,R. Westbrook makes free throw 1 of 2,10,12
58,1,5:07.0,,J. Huestis enters the game for P. George,10,12
59,1,5:07.0,R. O'Neale enters the game for D. Favors,,10,12
60,1,5:07.0,,R. Westbrook makes free throw 2 of 2,10,13
61,1,4:57.0,R. Rubio misses 2-pt jump shot from 6 ft,,10,13
62,1,4:55.0,,Defensive rebound by C. Brewer,10,13
63,1,4:50.0,,Personal foul by R. Rubio (drawn by J. Huestis),10,13
64,1,4:50.0,,J. Huestis misses free throw 1 of 2,10,13
65,1,4:50.0,,Offensive rebound by Team,10,13
66,1,4:50.0,J. Ingles enters the game for R. Rubio,,10,13
67,1,4:50.0,,J. Huestis makes free throw 2 of 2,10,14
68,1,4:38.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. Gobert),,13,14
69,1,4:26.0,,C. Brewer makes 3-pt jump shot from 23 ft (assist by R. Westbrook),13,17
70,1,4:07.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. O'Neale),,16,17
71,1,3:51.0,,Turnover by R. Westbrook (bad pass; steal by J. Crowder),16,17
72,1,3:47.0,J. Crowder makes 2-pt layup from 1 ft (assist by J. Ingles),,18,17
73,1,3:34.0,,R. Westbrook misses 2-pt jump shot from 20 ft,18,17
74,1,3:32.0,Defensive rebound by R. Gobert,,18,17
75,1,3:28.0,Shooting foul by J. Huestis (drawn by J. Crowder),,18,17
76,1,3:28.0,J. Crowder misses free throw 1 of 2,,18,17
77,1,3:28.0,Offensive rebound by Team,,18,17
78,1,3:28.0,J. Crowder makes free throw 2 of 2,,19,17
79,1,3:19.0,,R. Westbrook misses 2-pt jump shot from 12 ft,19,17
80,1,3:17.0,,Offensive rebound by Team,19,17
81,1,3:17.0,,Turnover by R. Westbrook (traveling),19,17
82,1,3:17.0,,P. George enters the game for S. Adams,19,17
83,1,3:17.0,,C. Anthony enters the game for J. Huestis,19,17
84,1,3:02.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by J. Crowder),,22,17
85,1,2:41.0,,R. Westbrook makes 2-pt layup at rim,22,19
86,1,2:27.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,25,19
87,1,2:26.0,,Oklahoma City full timeout,25,19
88,1,2:26.0,,Á. Abrines enters the game for C. Brewer,25,19
89,1,2:26.0,D. Favors enters the game for R. Gobert,,25,19
90,1,2:14.0,,P. George misses 2-pt layup at rim,25,19
91,1,2:12.0,,Offensive rebound by J. Grant,25,19
92,1,2:12.0,,J. Grant makes 2-pt layup at rim,25,21
93,1,1:51.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by J. Crowder),,28,21
94,1,1:28.0,,Shooting foul by D. Favors (drawn by P. George),28,21
95,1,1:28.0,,P. George misses free throw 1 of 2,28,21
96,1,1:28.0,,Offensive rebound by Team,28,21
97,1,1:28.0,,R. Felton enters the game for R. Westbrook,28,21
98,1,1:28.0,D. Exum enters the game for D. Mitchell,,28,21
99,1,1:28.0,,P. George makes free throw 2 of 2,28,22
100,1,1:17.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by J. Ingles),,31,22
101,1,1:05.0,,C. Anthony misses 3-pt jump shot from 25 ft,31,22
102,1,1:01.0,,Offensive rebound by P. George,31,22
103,1,0:52.0,,P. George makes 2-pt jump shot from 16 ft (assist by R. Felton),31,24
104,1,0:34.0,R. O'Neale misses 3-pt jump shot from 26 ft,,31,24
105,1,0:31.0,,Defensive rebound by C. Anthony,31,24
106,1,0:20.0,,R. Felton makes 2-pt jump shot from 2 ft,31,26
107,1,0:05.0,J. Ingles makes 3-pt jump shot from 24 ft,,34,26
108,1,0:00.0,,P. George makes 3-pt jump shot from 26 ft,34,29
109,2,11:53.0,Personal foul by R. Felton (drawn by D. Exum),,34,29
110,2,11:46.0,Turnover by D. Favors (bad pass; steal by Á. Abrines),,34,29
111,2,11:41.0,,P. George misses 3-pt jump shot from 26 ft,34,29
112,2,11:38.0,Defensive rebound by D. Favors,,34,29
113,2,11:19.0,J. Ingles misses 3-pt jump shot from 25 ft,,34,29
114,2,11:16.0,,Defensive rebound by R. Felton,34,29
115,2,11:13.0,,Personal foul by J. Ingles (drawn by C. Anthony),34,29
116,2,11:01.0,,Turnover by R. Felton (bad pass),34,29
117,2,11:01.0,R. Rubio enters the game for D. Exum,,34,29
118,2,10:41.0,J. Crowder misses 3-pt jump shot from 24 ft,,34,29
119,2,10:37.0,,Defensive rebound by Á. Abrines,34,29
120,2,10:31.0,,Turnover by P. George (bad pass),34,29
121,2,10:22.0,Personal foul by P. George (drawn by D. Favors),,34,29
122,2,10:09.0,D. Favors makes 2-pt layup at rim (assist by R. Rubio),,36,29
123,2,9:43.0,,R. Felton misses 2-pt jump shot from 14 ft,36,29
124,2,9:41.0,Defensive rebound by R. Rubio,,36,29
