,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:48.0,,Turnover by M. Chriss (lost ball; steal by G. Hill),0,0
1,1,11:39.0,B. Hield makes 2-pt layup at rim,,2,0
2,1,11:25.0,,T. Chandler makes 2-pt layup from 1 ft (assist by M. James),2,2
3,1,11:11.0,Z. Randolph misses 2-pt jump shot from 18 ft,,2,2
4,1,11:08.0,,Defensive rebound by T. Chandler,2,2
5,1,10:59.0,,M. Chriss makes 2-pt hook shot from 3 ft,2,4
6,1,10:41.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Booker),,2,4
7,1,10:31.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Booker),2,7
8,1,10:11.0,W. Cauley-Stein misses 2-pt jump shot from 9 ft,,2,7
9,1,10:08.0,,Defensive rebound by M. Chriss,2,7
10,1,10:02.0,,D. Booker makes 2-pt jump shot from 13 ft,2,9
11,1,9:45.0,J. Jackson misses 3-pt jump shot from 24 ft,,2,9
12,1,9:42.0,,Defensive rebound by T. Chandler,2,9
13,1,9:36.0,,D. Booker makes 2-pt jump shot from 13 ft,2,11
14,1,9:20.0,G. Hill misses 3-pt jump shot from 25 ft,,2,11
15,1,9:17.0,,Defensive rebound by T. Chandler,2,11
16,1,9:14.0,,D. Booker misses 3-pt jump shot from 26 ft,2,11
17,1,9:09.0,Defensive rebound by B. Hield,,2,11
18,1,9:06.0,B. Hield misses 3-pt jump shot from 25 ft,,2,11
19,1,9:03.0,,Defensive rebound by T. Warren,2,11
20,1,8:55.0,,Turnover by M. James (bad pass; steal by W. Cauley-Stein),2,11
21,1,8:53.0,Turnover by B. Hield (out of bounds lost ball),,2,11
22,1,8:39.0,,D. Booker misses 2-pt layup at rim,2,11
23,1,8:37.0,Defensive rebound by Z. Randolph,,2,11
24,1,8:34.0,B. Hield misses 2-pt layup from 2 ft (block by T. Warren),,2,11
25,1,8:34.0,,Defensive rebound by Team,2,11
26,1,8:25.0,,Personal foul by B. Hield (drawn by D. Booker),2,11
27,1,8:19.0,,T. Chandler misses 2-pt hook shot from 1 ft,2,11
28,1,8:17.0,,Offensive rebound by T. Chandler,2,11
29,1,8:17.0,,T. Chandler misses 2-pt layup at rim,2,11
30,1,8:16.0,Defensive rebound by Z. Randolph,,2,11
31,1,8:07.0,Z. Randolph misses 2-pt jump shot from 19 ft,,2,11
32,1,8:04.0,,Defensive rebound by M. Chriss,2,11
33,1,7:53.0,,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),2,13
34,1,7:47.0,Sacramento full timeout,,2,13
35,1,7:29.0,J. Jackson makes 2-pt jump shot from 2 ft (assist by Z. Randolph),,4,13
36,1,7:07.0,,T. Warren makes 2-pt jump shot from 16 ft (assist by M. James),4,15
37,1,6:41.0,Turnover by J. Jackson (bad pass; steal by T. Warren),,4,15
38,1,6:33.0,,T. Chandler makes 2-pt dunk at rim (assist by M. James),4,17
39,1,6:11.0,B. Hield makes 2-pt layup at rim (assist by W. Cauley-Stein),,6,17
40,1,5:57.0,,D. Booker makes 2-pt jump shot from 5 ft,6,19
41,1,5:43.0,W. Cauley-Stein makes 2-pt hook shot from 7 ft,,8,19
42,1,5:19.0,,M. James makes 3-pt jump shot from 26 ft,8,22
43,1,5:04.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by G. Hill),,10,22
44,1,4:54.0,,M. Chriss makes 3-pt jump shot from 26 ft (assist by D. Booker),10,25
45,1,4:28.0,G. Hill misses 2-pt jump shot from 9 ft,,10,25
46,1,4:24.0,Offensive rebound by G. Hill,,10,25
47,1,4:14.0,Personal foul by D. Booker (drawn by G. Hill),,10,25
48,1,4:14.0,,A. Len enters the game for T. Warren,10,25
49,1,4:14.0,,D. Bender enters the game for M. Chriss,10,25
50,1,4:14.0,,J. Jackson enters the game for T. Chandler,10,25
51,1,3:59.0,B. Hield misses 2-pt jump shot from 17 ft,,10,25
52,1,3:56.0,,Defensive rebound by A. Len,10,25
53,1,3:50.0,,J. Jackson makes 2-pt dunk at rim (assist by M. James),10,27
54,1,3:39.0,Personal foul by D. Bender (drawn by Z. Randolph),,10,27
55,1,3:39.0,D. Fox enters the game for B. Hield,,10,27
56,1,3:27.0,Turnover by Z. Randolph (traveling),,10,27
57,1,3:21.0,,Turnover by A. Len (bad pass; steal by G. Hill),10,27
58,1,3:11.0,D. Fox misses 2-pt jump shot from 21 ft,,10,27
59,1,3:06.0,,Defensive rebound by A. Len,10,27
60,1,2:59.0,,Shooting foul by Z. Randolph (drawn by A. Len),10,27
61,1,2:59.0,,Phoenix full timeout,10,27
62,1,2:59.0,,T. Ulis enters the game for M. James,10,27
63,1,2:59.0,S. Labissière enters the game for G. Hill,,10,27
64,1,2:59.0,B. Bogdanović enters the game for J. Jackson,,10,27
65,1,2:59.0,G. Temple enters the game for Z. Randolph,,10,27
66,1,2:59.0,,A. Len makes free throw 1 of 2,10,28
67,1,2:59.0,,A. Len makes free throw 2 of 2,10,29
