,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,K. Leonard misses 3-pt jump shot from 22 ft,0,0
1,1,11:43.0,Defensive rebound by C. Williams,,0,0
2,1,11:32.0,J. Wilson makes 2-pt jump shot from 16 ft (assist by C. Williams),,2,0
3,1,11:17.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),2,2
4,1,10:57.0,D. Jordan misses 2-pt layup from 1 ft,,2,2
5,1,10:55.0,,Defensive rebound by P. Gasol,2,2
6,1,10:43.0,,L. Aldridge misses 2-pt jump shot from 11 ft,2,2
7,1,10:39.0,Defensive rebound by D. Jordan,,2,2
8,1,10:32.0,J. Wilson misses 3-pt jump shot from 25 ft,,2,2
9,1,10:29.0,,Defensive rebound by P. Gasol,2,2
10,1,10:25.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by T. Parker),2,4
11,1,10:25.0,,Shooting foul by J. Wilson (drawn by L. Aldridge),2,4
12,1,10:25.0,,L. Aldridge misses free throw 1 of 1,2,4
13,1,10:22.0,Defensive rebound by D. Jordan,,2,4
14,1,10:00.0,A. Rivers misses 2-pt jump shot from 18 ft,,2,4
15,1,9:56.0,,Defensive rebound by K. Leonard,2,4
16,1,9:49.0,,K. Leonard makes 2-pt jump shot from 12 ft,2,6
17,1,9:43.0,C. Williams misses 3-pt jump shot from 24 ft,,2,6
18,1,9:43.0,,Defensive rebound by B. Forbes,2,6
19,1,9:28.0,,Turnover by T. Parker (bad pass; steal by J. Wilson),2,6
20,1,9:16.0,A. Rivers misses 2-pt layup from 1 ft (block by P. Gasol),,2,6
21,1,9:12.0,,Defensive rebound by K. Leonard,2,6
22,1,9:07.0,,P. Gasol misses 2-pt jump shot from 13 ft,2,6
23,1,9:07.0,,Offensive rebound by K. Leonard,2,6
24,1,8:51.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),2,8
25,1,8:30.0,C. Williams makes 2-pt layup from 1 ft (assist by D. Jordan),,4,8
26,1,8:15.0,,T. Parker misses 2-pt layup at rim,4,8
27,1,8:15.0,Defensive rebound by M. Teodosić,,4,8
28,1,8:09.0,C. Williams misses 3-pt jump shot from 24 ft,,4,8
29,1,8:09.0,,Defensive rebound by L. Aldridge,4,8
30,1,7:42.0,,P. Gasol misses 3-pt jump shot from 22 ft,4,8
31,1,7:42.0,Defensive rebound by D. Jordan,,4,8
32,1,7:23.0,M. Teodosić misses 2-pt jump shot from 15 ft,,4,8
33,1,7:23.0,,Defensive rebound by B. Forbes,4,8
34,1,7:14.0,,T. Parker makes 3-pt jump shot from 23 ft (assist by K. Leonard),4,11
35,1,7:13.0,LA Clippers full timeout,,4,11
36,1,6:59.0,D. Jordan misses 2-pt layup at rim,,4,11
37,1,6:57.0,,Defensive rebound by P. Gasol,4,11
38,1,6:44.0,,K. Leonard misses 2-pt jump shot from 13 ft,4,11
39,1,6:44.0,Defensive rebound by D. Jordan,,4,11
40,1,6:35.0,M. Teodosić misses 3-pt jump shot from 23 ft,,4,11
41,1,6:32.0,,Defensive rebound by L. Aldridge,4,11
42,1,6:25.0,,T. Parker makes 2-pt layup at rim,4,13
43,1,6:13.0,J. Wilson misses 3-pt jump shot from 25 ft,,4,13
44,1,6:06.0,Offensive rebound by D. Jordan,,4,13
