,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:43.0,,J. Jackson makes 3-pt jump shot from 28 ft (assist by M. Chriss),0,3
1,1,11:24.0,A. Horford makes 2-pt jump shot from 6 ft,,2,3
2,1,11:12.0,,D. Bender misses 3-pt jump shot from 27 ft,2,3
3,1,11:08.0,,Offensive rebound by T. Daniels,2,3
4,1,11:03.0,,J. Jackson misses 2-pt jump shot from 15 ft,2,3
5,1,11:02.0,Defensive rebound by Team,,2,3
6,1,11:02.0,,Loose ball foul by D. Bender (drawn by A. Horford),2,3
7,1,10:50.0,J. Brown misses 2-pt layup from 1 ft,,2,3
8,1,10:48.0,Offensive rebound by J. Brown,,2,3
9,1,10:48.0,J. Brown misses 2-pt layup from 3 ft (block by D. Bender),,2,3
10,1,10:48.0,Offensive rebound by Team,,2,3
11,1,10:46.0,T. Rozier misses 2-pt jump shot from 18 ft,,2,3
12,1,10:43.0,,Defensive rebound by M. Chriss,2,3
13,1,10:38.0,,E. Payton misses 2-pt layup from 2 ft,2,3
14,1,10:37.0,Defensive rebound by A. Horford,,2,3
15,1,10:30.0,Personal foul by E. Payton (drawn by T. Rozier),,2,3
16,1,10:14.0,J. Tatum makes 2-pt jump shot from 21 ft (assist by A. Horford),,4,3
17,1,9:55.0,,Shooting foul by T. Rozier (drawn by J. Jackson),4,3
18,1,9:55.0,,J. Jackson makes free throw 1 of 2,4,4
19,1,9:55.0,,J. Jackson makes free throw 2 of 2,4,5
20,1,9:35.0,J. Tatum makes 2-pt jump shot from 14 ft (assist by A. Horford),,6,5
21,1,9:15.0,,T. Daniels misses 3-pt jump shot from 29 ft,6,5
22,1,9:12.0,Defensive rebound by J. Tatum,,6,5
23,1,9:06.0,J. Tatum makes 3-pt jump shot from 27 ft,,9,5
24,1,8:45.0,,J. Jackson misses 2-pt jump shot from 5 ft,9,5
25,1,8:42.0,Defensive rebound by A. Horford,,9,5
26,1,8:31.0,Turnover by J. Tatum (bad pass; steal by D. Bender),,9,5
27,1,8:28.0,,J. Jackson makes 2-pt dunk at rim (assist by E. Payton),9,7
28,1,8:08.0,J. Tatum makes 2-pt jump shot from 21 ft (assist by A. Baynes),,11,7
29,1,7:54.0,,Personal foul by A. Baynes (drawn by M. Chriss),11,7
30,1,7:50.0,,T. Daniels misses 2-pt jump shot from 16 ft,11,7
31,1,7:48.0,Defensive rebound by Team,,11,7
32,1,7:34.0,A. Horford misses 2-pt jump shot from 12 ft,,11,7
33,1,7:32.0,,Defensive rebound by M. Chriss,11,7
34,1,7:25.0,,J. Jackson makes 2-pt jump shot from 15 ft,11,9
35,1,6:59.0,A. Horford misses 2-pt hook shot from 9 ft,,11,9
36,1,6:58.0,,Defensive rebound by D. Bender,11,9
37,1,6:50.0,,D. Bender misses 3-pt jump shot from 25 ft,11,9
38,1,6:47.0,Defensive rebound by T. Rozier,,11,9
39,1,6:36.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Brown),,14,9
