,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:41.0,B. Simmons makes 2-pt jump shot from 6 ft (assist by J. Embiid),,2,0
1,1,11:24.0,,Turnover by D. Nwaba (bad pass; steal by J. Embiid),2,0
2,1,11:21.0,J. Embiid misses 2-pt layup from 2 ft,,2,0
3,1,11:18.0,,Defensive rebound by D. Nwaba,2,0
4,1,11:14.0,,C. Felício makes 2-pt dunk at rim (assist by D. Nwaba),2,2
5,1,11:06.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Redick),,5,2
6,1,10:42.0,,L. Markkanen misses 3-pt jump shot from 24 ft,5,2
7,1,10:42.0,,Offensive rebound by D. Nwaba,5,2
8,1,10:37.0,,Turnover by Team (shot clock),5,2
9,1,10:23.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by D. Šarić),,8,2
10,1,10:00.0,,K. Dunn misses 2-pt jump shot from 16 ft,8,2
11,1,9:57.0,Defensive rebound by J. Redick,,8,2
12,1,9:49.0,B. Simmons misses 2-pt jump shot from 2 ft,,8,2
13,1,9:39.0,Offensive rebound by B. Simmons,,8,2
14,1,9:39.0,B. Simmons makes 2-pt layup at rim,,10,2
15,1,9:35.0,,K. Dunn misses 2-pt jump shot from 5 ft (block by B. Simmons),10,2
16,1,9:35.0,Defensive rebound by J. Embiid,,10,2
17,1,9:31.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,13,2
18,1,9:15.0,,C. Felício makes 2-pt jump shot from 2 ft,13,4
19,1,9:15.0,,Shooting foul by D. Šarić (drawn by C. Felício),13,4
20,1,9:15.0,,C. Felício makes free throw 1 of 1,13,5
21,1,8:58.0,J. Redick misses 2-pt jump shot from 19 ft,,13,5
22,1,8:54.0,,Defensive rebound by D. Nwaba,13,5
23,1,8:49.0,,D. Nwaba misses 2-pt jump shot from 6 ft,13,5
24,1,8:47.0,Defensive rebound by J. Embiid,,13,5
25,1,8:40.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,16,5
26,1,8:16.0,,Shooting foul by R. Covington (drawn by L. Markkanen),16,5
27,1,8:16.0,,L. Markkanen misses free throw 1 of 2,16,5
28,1,8:16.0,,Offensive rebound by Team,16,5
29,1,8:16.0,,L. Markkanen makes free throw 2 of 2,16,6
30,1,8:03.0,Personal foul by C. Felício (drawn by J. Embiid),,16,6
31,1,8:03.0,T. McConnell enters the game for J. Redick,,16,6
32,1,7:54.0,Shooting foul by C. Felício (drawn by J. Embiid),,16,6
33,1,7:54.0,J. Embiid makes free throw 1 of 2,,17,6
34,1,7:54.0,,B. Portis enters the game for C. Felício,17,6
35,1,7:54.0,J. Embiid makes free throw 2 of 2,,18,6
36,1,7:40.0,,Shooting foul by T. McConnell (drawn by Z. LaVine),18,6
37,1,7:40.0,,Z. LaVine misses free throw 1 of 2,18,6
38,1,7:40.0,,Offensive rebound by Team,18,6
39,1,7:40.0,,Z. LaVine makes free throw 2 of 2,18,7
40,1,7:28.0,Personal foul by K. Dunn (drawn by T. McConnell),,18,7
41,1,7:21.0,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),,20,7
42,1,7:13.0,,K. Dunn misses 2-pt jump shot from 12 ft,20,7
43,1,7:06.0,Defensive rebound by B. Simmons,,20,7
44,1,7:06.0,B. Simmons makes 2-pt layup from 2 ft,,22,7
45,1,7:06.0,Shooting foul by D. Nwaba (drawn by B. Simmons),,22,7
46,1,7:06.0,A. Johnson enters the game for J. Embiid,,22,7
47,1,7:06.0,B. Simmons misses free throw 1 of 1,,22,7
48,1,7:03.0,,Defensive rebound by L. Markkanen,22,7
49,1,6:56.0,,Personal foul by R. Covington (drawn by L. Markkanen),22,7
50,1,6:56.0,,Chicago full timeout,22,7
51,1,6:52.0,,Z. LaVine misses 2-pt layup at rim,22,7
52,1,6:49.0,Defensive rebound by D. Šarić,,22,7
53,1,6:43.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),,25,7
54,1,6:26.0,,D. Nwaba makes 2-pt dunk at rim,25,9
55,1,6:07.0,B. Simmons misses 2-pt jump shot from 18 ft,,25,9
56,1,6:03.0,,Defensive rebound by D. Nwaba,25,9
57,1,5:56.0,,B. Portis makes 2-pt layup at rim,25,11
58,1,5:56.0,,Shooting foul by A. Johnson (drawn by B. Portis),25,11
59,1,5:56.0,M. Belinelli enters the game for R. Covington,,25,11
60,1,5:56.0,,B. Portis makes free throw 1 of 1,25,12
61,1,5:43.0,D. Šarić misses 2-pt layup from 20 ft,,25,12
62,1,5:41.0,Offensive rebound by A. Johnson,,25,12
63,1,5:38.0,Turnover by D. Šarić (bad pass; steal by D. Nwaba),,25,12
64,1,5:34.0,,D. Nwaba misses 2-pt layup at rim,25,12
65,1,5:34.0,,Offensive rebound by B. Portis,25,12
66,1,5:28.0,,B. Portis makes 2-pt layup at rim,25,14
67,1,5:16.0,Turnover by B. Simmons (traveling),,25,14
68,1,4:59.0,,D. Nwaba makes 2-pt dunk at rim (assist by Z. LaVine),25,16
69,1,4:58.0,Philadelphia full timeout,,25,16
70,1,4:58.0,T. Booker enters the game for D. Šarić,,25,16
71,1,4:39.0,B. Simmons makes 2-pt jump shot from 9 ft (assist by T. Booker),,27,16
72,1,4:22.0,,K. Dunn misses 2-pt jump shot from 6 ft,27,16
73,1,4:20.0,,Offensive rebound by L. Markkanen,27,16
74,1,4:18.0,,L. Markkanen misses 3-pt jump shot from 22 ft,27,16
75,1,4:14.0,Defensive rebound by M. Belinelli,,27,16
76,1,4:03.0,M. Belinelli misses 3-pt jump shot from 26 ft,,27,16
77,1,3:59.0,Offensive rebound by T. Booker,,27,16
78,1,3:55.0,T. McConnell makes 3-pt jump shot from 25 ft (assist by A. Johnson),,30,16
79,1,3:45.0,,B. Portis misses 3-pt jump shot from 25 ft,30,16
80,1,3:43.0,Defensive rebound by B. Simmons,,30,16
81,1,3:39.0,Turnover by T. McConnell (traveling),,30,16
82,1,3:39.0,,D. Valentine enters the game for Z. LaVine,30,16
83,1,3:39.0,,C. Payne enters the game for K. Dunn,30,16
84,1,3:39.0,J. Embiid enters the game for A. Johnson,,30,16
85,1,3:39.0,J. Redick enters the game for B. Simmons,,30,16
86,1,3:26.0,,D. Nwaba makes 3-pt jump shot from 25 ft (assist by C. Payne),30,19
87,1,3:14.0,J. Redick misses 3-pt jump shot from 25 ft,,30,19
88,1,3:11.0,,Defensive rebound by C. Payne,30,19
89,1,3:03.0,,L. Markkanen misses 3-pt jump shot from 24 ft,30,19
90,1,3:00.0,,Offensive rebound by D. Nwaba,30,19
91,1,2:57.0,,D. Valentine makes 3-pt jump shot from 24 ft (assist by D. Nwaba),30,22
92,1,2:45.0,M. Belinelli misses 3-pt jump shot from 23 ft,,30,22
93,1,2:41.0,,Defensive rebound by D. Valentine,30,22
94,1,2:35.0,,D. Valentine misses 2-pt jump shot from 3 ft,30,22
95,1,2:32.0,,Offensive rebound by B. Portis,30,22
96,1,2:30.0,,B. Portis makes 2-pt layup from 2 ft,30,24
97,1,2:00.0,J. Redick misses 3-pt jump shot from 25 ft,,30,24
98,1,1:57.0,,Defensive rebound by B. Portis,30,24
99,1,1:57.0,Offensive charge foul by D. Valentine (drawn by J. Redick),,30,24
100,1,1:57.0,,Turnover by D. Valentine (offensive foul),30,24
101,1,1:57.0,,P. Zipser enters the game for D. Nwaba,30,24
102,1,1:57.0,,N. Vonleh enters the game for L. Markkanen,30,24
103,1,1:38.0,T. Booker misses 3-pt jump shot from 23 ft,,30,24
104,1,1:36.0,,Defensive rebound by N. Vonleh,30,24
105,1,1:23.0,,C. Payne makes 2-pt jump shot from 7 ft,30,26
106,1,1:04.0,J. Embiid makes 2-pt layup from 1 ft,,32,26
107,1,0:54.0,,C. Payne misses 3-pt jump shot from 25 ft,32,26
108,1,0:54.0,Defensive rebound by Team,,32,26
109,1,0:40.0,Shooting foul by B. Portis (drawn by J. Embiid),,32,26
110,1,0:40.0,J. Embiid misses free throw 1 of 2,,32,26
111,1,0:40.0,Offensive rebound by Team,,32,26
112,1,0:40.0,J. Embiid makes free throw 2 of 2,,33,26
113,1,0:25.0,,D. Valentine makes 3-pt jump shot from 22 ft (assist by P. Zipser),33,29
114,1,0:07.0,J. Redick misses 2-pt jump shot from 15 ft,,33,29
115,1,0:03.0,Offensive rebound by J. Embiid,,33,29
116,1,0:01.0,Turnover by Team (shot clock),,33,29
117,1,0:00.0,,C. Payne misses 3-pt jump shot from 43 ft,33,29
118,1,0:00.0,,Offensive rebound by Team,33,29
119,2,11:46.0,,D. Valentine misses 2-pt jump shot from 5 ft,33,29
120,2,11:46.0,Defensive rebound by J. Embiid,,33,29
121,2,11:36.0,T. Booker makes 2-pt layup from 2 ft (assist by J. Redick),,35,29
122,2,11:14.0,,Turnover by B. Portis (traveling),35,29
123,2,10:58.0,J. Embiid misses 2-pt jump shot from 21 ft,,35,29
124,2,10:58.0,,Defensive rebound by Team,35,29
125,2,10:56.0,Loose ball foul by T. Booker (drawn by N. Vonleh),,35,29
126,2,10:56.0,R. Covington enters the game for M. Belinelli,,35,29
127,2,10:46.0,,B. Portis misses 2-pt layup from 6 ft (block by J. Embiid),35,29
128,2,10:43.0,Defensive rebound by R. Covington,,35,29
129,2,10:40.0,Turnover by T. McConnell (bad pass; steal by C. Payne),,35,29
130,2,10:35.0,,P. Zipser makes 2-pt jump shot from 20 ft (assist by C. Payne),35,31
131,2,10:16.0,J. Embiid makes 2-pt jump shot from 15 ft,,37,31
132,2,10:08.0,,Turnover by C. Payne (bad pass; steal by T. McConnell),37,31
133,2,9:49.0,J. Embiid makes 2-pt jump shot from 11 ft,,39,31
134,2,9:34.0,,Personal foul by T. Booker (drawn by N. Vonleh),39,31
135,2,9:31.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by D. Valentine),39,34
136,2,9:10.0,T. McConnell misses 2-pt jump shot from 9 ft,,39,34
137,2,9:08.0,,Defensive rebound by N. Vonleh,39,34
138,2,9:01.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by P. Zipser),39,37
139,2,8:59.0,Philadelphia full timeout,,39,37
140,2,8:59.0,B. Simmons enters the game for J. Redick,,39,37
141,2,8:59.0,D. Šarić enters the game for T. Booker,,39,37
142,2,8:42.0,J. Embiid makes 2-pt jump shot from 14 ft,,41,37
143,2,8:30.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by C. Payne),41,40
144,2,8:18.0,D. Šarić makes 2-pt jump shot from 21 ft (assist by B. Simmons),,43,40
145,2,8:05.0,,B. Portis misses 2-pt jump shot from 21 ft,43,40
146,2,8:01.0,Defensive rebound by D. Šarić,,43,40
147,2,7:56.0,R. Covington misses 3-pt jump shot from 26 ft,,43,40
148,2,7:52.0,,Defensive rebound by N. Vonleh,43,40
149,2,7:41.0,,N. Vonleh misses 2-pt hook shot from 3 ft,43,40
