,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
0,1,11:44.0,,A. Horford makes 2-pt hook shot from 5 ft (assist by T. Rozier),0,2
1,1,11:26.0,J. Henson makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,2,2
2,1,11:12.0,,J. Brown misses 3-pt jump shot from 25 ft,2,2
3,1,11:10.0,Defensive rebound by J. Henson,,2,2
4,1,11:02.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,2,2
5,1,10:59.0,,Defensive rebound by J. Tatum,2,2
6,1,10:52.0,,Personal foul by E. Bledsoe (drawn by T. Rozier),2,2
7,1,10:40.0,,J. Brown makes 2-pt layup from 1 ft,2,4
8,1,10:23.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),,2,4
9,1,10:05.0,,J. Brown misses 2-pt layup from 1 ft,2,4
10,1,10:04.0,,Offensive rebound by Team,2,4
11,1,9:59.0,,J. Tatum makes 2-pt jump shot from 18 ft (assist by A. Baynes),2,6
12,1,9:39.0,E. Bledsoe misses 2-pt layup from 3 ft,,2,6
13,1,9:38.0,,Defensive rebound by A. Baynes,2,6
14,1,9:30.0,,T. Rozier misses 3-pt jump shot from 25 ft,2,6
15,1,9:27.0,Defensive rebound by K. Middleton,,2,6
16,1,9:21.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,4,6
17,1,9:08.0,,A. Baynes misses 2-pt jump shot from 18 ft,4,6
18,1,9:05.0,Defensive rebound by G. Antetokounmpo,,4,6
19,1,9:01.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,4,6
20,1,9:01.0,G. Antetokounmpo makes free throw 1 of 2,,5,6
21,1,9:01.0,G. Antetokounmpo makes free throw 2 of 2,,6,6
22,1,8:47.0,,Turnover by J. Brown (traveling),6,6
23,1,8:30.0,Turnover by J. Henson (lost ball; steal by A. Horford),,6,6
24,1,8:26.0,,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),6,8
25,1,8:07.0,K. Middleton makes 2-pt layup from 2 ft,,8,8
26,1,7:53.0,,A. Baynes misses 2-pt jump shot from 15 ft,8,8
27,1,7:50.0,Defensive rebound by T. Snell,,8,8
28,1,7:43.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,8,8
29,1,7:41.0,,Defensive rebound by J. Brown,8,8
30,1,7:33.0,,T. Rozier makes 2-pt layup from 2 ft,8,10
31,1,7:13.0,K. Middleton makes 2-pt jump shot from 9 ft,,10,10
32,1,6:57.0,,J. Brown misses 3-pt jump shot from 25 ft,10,10
33,1,6:54.0,Defensive rebound by E. Bledsoe,,10,10
34,1,6:40.0,J. Henson makes 2-pt hook shot from 10 ft (assist by G. Antetokounmpo),,12,10
35,1,6:24.0,,A. Baynes misses 2-pt dunk from 1 ft (block by J. Henson),12,10
36,1,6:22.0,Defensive rebound by J. Henson,,12,10
37,1,6:18.0,Turnover by E. Bledsoe (lost ball; steal by T. Rozier),,12,10
38,1,6:11.0,,Boston full timeout,12,10
39,1,5:58.0,,Turnover by J. Tatum (out of bounds lost ball),12,10
40,1,5:37.0,J. Henson makes 2-pt dunk from 1 ft (assist by K. Middleton),,14,10
41,1,5:10.0,,J. Tatum makes 2-pt jump shot from 13 ft,14,12
42,1,4:48.0,Turnover by E. Bledsoe (bad pass; steal by J. Tatum),,14,12
43,1,4:43.0,,J. Brown misses 2-pt layup from 1 ft,14,12
